0x003E mi 
0x043E ma 
0x083E mu 
0x0C3E me 
0x103E mo 
0x143E m6 
0x005E ki 
0x045E ka 
0x085E ku 
0x0C5E ke 
0x105E ko 
0x145E k6 
0x007E yi 
0x047E ya 
0x087E yu 
0x0C7E ye 
0x107E yo 
0x147E y6 
0x009E pi 
0x049E pa 
0x089E pu 
0x0C9E pe 
0x109E po 
0x149E p6 
0x00BE wi 
0x04BE wa 
0x08BE wu 
0x0CBE we 
0x10BE wo 
0x14BE w6 
0x00DE ni 
0x04DE na 
0x08DE nu 
0x0CDE ne 
0x10DE no 
0x14DE n6 
0x013E si 
0x053E sa 
0x093E su 
0x0D3E se 
0x113E so 
0x153E s6 
0x015E ti 
0x055E ta 
0x095E tu 
0x0D5E te 
0x115E to 
0x155E t6 
0x017E li 
0x057E la 
0x097E lu 
0x0D7E le 
0x117E lo 
0x157E l6 
0x019E fi 
0x059E fa 
0x099E fu 
0x0D9E fe 
0x119E fo 
0x159E f6 
0x01BE ci 
0x05BE ca 
0x09BE cu 
0x0DBE ce 
0x11BE co 
0x15BE c6 
0x01DE ri 
0x05DE ra 
0x09DE ru 
0x0DDE re 
0x11DE ro 
0x15DE r6 
0x023E bi 
0x063E ba 
0x0A3E bu 
0x0E3E be 
0x123E bo 
0x163E b6 
0x025E gi 
0x065E ga 
0x0A5E gu 
0x0E5E ge 
0x125E go 
0x165E g6 
0x027E di 
0x067E da 
0x0A7E du 
0x0E7E de 
0x127E do 
0x167E d6 
0x029E zi 
0x069E za 
0x0A9E zu 
0x0E9E ze 
0x129E zo 
0x169E z6 
0x02BE ji 
0x06BE ja 
0x0ABE ju 
0x0EBE je 
0x12BE jo 
0x16BE j6 
0x02DE vi 
0x06DE va 
0x0ADE vu 
0x0EDE ve 
0x12DE vo 
0x16DE v6 
0x033E qi 
0x073E qa 
0x0B3E qu 
0x0F3E qe 
0x133E qo 
0x173E q6 
0x035E xi 
0x075E xa 
0x0B5E xu 
0x0F5E xe 
0x135E xo 
0x175E x6 
0x037E 1i 
0x077E 1a 
0x0B7E 1u 
0x0F7E 1e 
0x137E 1o 
0x177E 16 
0x039E 8i 
0x079E 8a 
0x0B9E 8u 
0x0F9E 8e 
0x139E 8o 
0x179E 86 
0x203E mi7 
0x403E mi_ 
0x243E ma7 
0x443E ma_ 
0x283E mu7 
0x483E mu_ 
0x2C3E me7 
0x4C3E me_ 
0x303E mo7 
0x503E mo_ 
0x343E m67 
0x543E m6_ 
0x205E ki7 
0x405E ki_ 
0x245E ka7 
0x445E ka_ 
0x285E ku7 
0x485E ku_ 
0x2C5E ke7 
0x4C5E ke_ 
0x305E ko7 
0x505E ko_ 
0x345E k67 
0x545E k6_ 
0x207E yi7 
0x407E yi_ 
0x247E ya7 
0x447E ya_ 
0x287E yu7 
0x487E yu_ 
0x2C7E ye7 
0x4C7E ye_ 
0x307E yo7 
0x507E yo_ 
0x347E y67 
0x547E y6_ 
0x209E pi7 
0x409E pi_ 
0x249E pa7 
0x449E pa_ 
0x289E pu7 
0x489E pu_ 
0x2C9E pe7 
0x4C9E pe_ 
0x309E po7 
0x509E po_ 
0x349E p67 
0x549E p6_ 
0x20BE wi7 
0x40BE wi_ 
0x24BE wa7 
0x44BE wa_ 
0x28BE wu7 
0x48BE wu_ 
0x2CBE we7 
0x4CBE we_ 
0x30BE wo7 
0x50BE wo_ 
0x34BE w67 
0x54BE w6_ 
0x20DE ni7 
0x40DE ni_ 
0x24DE na7 
0x44DE na_ 
0x28DE nu7 
0x48DE nu_ 
0x2CDE ne7 
0x4CDE ne_ 
0x30DE no7 
0x50DE no_ 
0x34DE n67 
0x54DE n6_ 
0x213E si7 
0x413E si_ 
0x253E sa7 
0x453E sa_ 
0x293E su7 
0x493E su_ 
0x2D3E se7 
0x4D3E se_ 
0x313E so7 
0x513E so_ 
0x353E s67 
0x553E s6_ 
0x215E ti7 
0x415E ti_ 
0x255E ta7 
0x455E ta_ 
0x295E tu7 
0x495E tu_ 
0x2D5E te7 
0x4D5E te_ 
0x315E to7 
0x515E to_ 
0x355E t67 
0x555E t6_ 
0x217E li7 
0x417E li_ 
0x257E la7 
0x457E la_ 
0x297E lu7 
0x497E lu_ 
0x2D7E le7 
0x4D7E le_ 
0x317E lo7 
0x517E lo_ 
0x357E l67 
0x557E l6_ 
0x219E fi7 
0x419E fi_ 
0x259E fa7 
0x459E fa_ 
0x299E fu7 
0x499E fu_ 
0x2D9E fe7 
0x4D9E fe_ 
0x319E fo7 
0x519E fo_ 
0x359E f67 
0x559E f6_ 
0x21BE ci7 
0x41BE ci_ 
0x25BE ca7 
0x45BE ca_ 
0x29BE cu7 
0x49BE cu_ 
0x2DBE ce7 
0x4DBE ce_ 
0x31BE co7 
0x51BE co_ 
0x35BE c67 
0x55BE c6_ 
0x21DE ri7 
0x41DE ri_ 
0x25DE ra7 
0x45DE ra_ 
0x29DE ru7 
0x49DE ru_ 
0x2DDE re7 
0x4DDE re_ 
0x31DE ro7 
0x51DE ro_ 
0x35DE r67 
0x55DE r6_ 
0x223E bi7 
0x423E bi_ 
0x263E ba7 
0x463E ba_ 
0x2A3E bu7 
0x4A3E bu_ 
0x2E3E be7 
0x4E3E be_ 
0x323E bo7 
0x523E bo_ 
0x363E b67 
0x563E b6_ 
0x225E gi7 
0x425E gi_ 
0x265E ga7 
0x465E ga_ 
0x2A5E gu7 
0x4A5E gu_ 
0x2E5E ge7 
0x4E5E ge_ 
0x325E go7 
0x525E go_ 
0x365E g67 
0x565E g6_ 
0x227E di7 
0x427E di_ 
0x267E da7 
0x467E da_ 
0x2A7E du7 
0x4A7E du_ 
0x2E7E de7 
0x4E7E de_ 
0x327E do7 
0x527E do_ 
0x367E d67 
0x567E d6_ 
0x229E zi7 
0x429E zi_ 
0x269E za7 
0x469E za_ 
0x2A9E zu7 
0x4A9E zu_ 
0x2E9E ze7 
0x4E9E ze_ 
0x329E zo7 
0x529E zo_ 
0x369E z67 
0x569E z6_ 
0x22BE ji7 
0x42BE ji_ 
0x26BE ja7 
0x46BE ja_ 
0x2ABE ju7 
0x4ABE ju_ 
0x2EBE je7 
0x4EBE je_ 
0x32BE jo7 
0x52BE jo_ 
0x36BE j67 
0x56BE j6_ 
0x22DE vi7 
0x42DE vi_ 
