hi li hu  be li ha ya
ha li hu  ob li ha ya
hu li hu  su li ha ya
mi li hu  me li ha ya
ma li hu  what li ha ya
mu li hu  masculine li ha ya
ki li hu  and li ha ya
ka li hu  as li ha ya
ku li hu  if li ha ya
yi li hu  this li ha ya
ya li hu  ya li ha ya
yu li hu  you ha ya
pi li hu  of li ha ya
pa li hu  that li ha ya
pu li hu  did li ha ya
wi li hu  we li ha ya
wa li hu  or li ha ya
wu li hu  by li ha ya
ni li hu  in li ha ya
na li hu  numeral li ha ya
nu li hu  now li ha ya
si li hu  them li ha ya
sa li hu  the li ha ya
su li hu  from li ha ya
ti li hu  it li ha ya
ta li hu  to li ha ya
tu li hu  thee li ha ya
li li hu  li li ha ya
la li hu  hey li ha ya
lu li hu  plural ha ya
fi li hu  feminine ha ya
fa li hu  about li ha ya
fu li hu  will-be li ha ya
ci li hu  eh? li ha  eh? li ha ya
ca li hu  neuter ha ya
cu li hu  and/or li ha ya
myi li hu  many li ha ya
mya li hu  maybe li ha ya
mwa li hu  with li ha ya
kyi li hu  near li ha ya
kya li hu  aside li ha ya
kyu li hu  because li ha ya
kwa li hu  that-which li ha ya
ksi li hu  extreme li ha ya
ksa li hu  unquote li ha ya
ksu li hu  than li ha ya
kli li hu  exclusive-or li ha ya
kla li hu  but li ha ya
klu li hu  clause-tail li ha ya
kfa li hu  adjective-affix li ha ya
kca li hu  there li ha ya
pyi li hu  verb-affix li ha ya
pya li hu  on li ha ya
pwa li hu  yaor li ha ya
psi li hu  before ha ya
psa li hu  former li ha ya
psu li hu  from-source li ha ya
pli li hu  for-example ha ya
pfi li hu  binary-value li ha ya
pci li hu  also ha ya
pca li hu  should li ha ya
nya li hu  namely ha ya
nyi li hu  not li ha ya
nyu li hu  an ha ya
syi li hu  very ha ya
sya li hu  singular li ha ya
syu li hu  so li ha ya
swi li hu  while li ha ya
swa li hu  otherwise li ha ya
swu li hu  so li ha ya
sli li hu  else-if ha ya
sla li hu  hello li ha ya
tyi li hu  quote li ha ya
tya li hu  after ha ya
tyu li hu  him li ha ya
twa li hu  then li ha ya
twu li hu  dual li ha ya
tsi li hu  yes li ha ya
tsa li hu  untill li ha ya
tsu li hu  noun-affix li ha ya
tli li hu  ord li ha ya
tla li hu  for li ha ya
tfa li hu  at li ha ya
tci li hu  here li ha ya
tcu li hu  out li ha ya
fyu li hu  few li ha ya
fwa li hu  for li ha ya
cyi li hu  her li ha ya
cya li hu  else ha ya
cwa li hu  byebye li ha ya
mik hu  make ha ya
miy hu  memory ha ya
mip hu  past ha ya
min hu  less ha ya
mit hu  middle ha ya
mic hu  machine li ha ya
mak hu  word ha ya
man hu  faith li ha ya
mas hu  mass ha ya
mat hu  mother ha ya
mac hu  mix li ha ya
mun hu  month li ha ya
mus hu  male ha ya
mut hu  help ha ya
mul hu  full ha ya
kim hu  compare ha ya
kiy hu  go li ha  go li ha ya
kip hu  capable ha ya
kin hu  main ha ya
kis hu  high ha ya
kic hu  each li ha ya
kam hu  come ha ya
kap hu  head ha ya
kan hu  know ha ya
kas hu  cause ha ya
kat hu  get ha ya
kal hu  all ha ya
kaf hu  cathode ha ya
kum hu  trade ha ya
kuy hu  grow ha ya
kup hu  buy ha ya
kun hu  red ha ya
kus hu  food ha ya
kul hu  goal ha ya
kuc hu  small ha ya
yik hu  negate ha ya
yis hu  write ha ya
yit hu  wait ha ya
yak hu  some ha ya
yat hu  read ha ya
yac hu  width ha ya
yum hu  limb ha ya
yup hu  up ha  good ha ya
yuw hu  year ha ya
yun hu  subtract ha ya
yus hu  use ha ya
yul hu  whole ha ya
yuc hu  good ha ya
pis hu  multiply ha ya
pit hu  white ha ya
pic hu  piss ha ya
pam hu  arm ha ya
pak hu  body ha ya
pay hu  more ha ya
paw hu  place ha ya
pan hu  meet ha ya
pas hu  pass ha ya
pat hu  father ha ya
pac hu  joy ha ya
pum hu  path li ha ya
puk hu  bad ha ya
puy hu  child ha ya
pus hu  poo ha ya
put hu  sell ha ya
pul hu  blue ha ya
puc hu  empty ha ya
wik hu  week li ha ya
win hu  win ha ya
wit hu  level li ha ya
wap hu  tail ha ya
wut hu  light ha ya
wul hu  big ha ya
nim hu  name ha ya
nik hu  yet li ha ya
niy hu  need ha ya
nip hu  without li ha ya
nit hu  net ha ya
nic hu  energy li ha  energy ha ya
nam hu  number ha ya
nay hu  exhale ha ya
naw hu  present ha ya
nas hu  sibling li ha ya
nat hu  night ha ya
nal hu  bare ha ya
nuy hu  new ha ya
nut hu  anode ha ya
nul hu  null ha ya
sim hu  similar ha ya
sik hu  height ha ya
sip hu  sip ha ya
sit hu  set ha ya
sil hu  easy ha ya
sam hu  same ha ya
sak hu  agree ha ya
say hu  say ha ya
sap hu  simple ha ya
saw hu  black ha ya
san hu  self ha ya
sat hu  sound ha ya
saf hu  space li ha ya
suk hu  suck li ha ya
suy hu  lose ha ya
sup hu  pay ha ya
sun hu  own li ha ya
sut hu  size ha ya
tim hu  team ha ya
tik hu  hold ha ya
tiy hu  day ha ya
tip hu  start ha ya
tiw hu  wall ha ya
tin hu  see ha ya
tis hu  inhale ha ya
til hu  low ha ya
tam hu  topic ha ya
tak hu  add ha ya
tay hu  put ha ya
tap hu  touch ha ya
taw hu  via li ha ya
tan hu  give ha ya
tas hu  choose ha ya
tal hu  tie ha ya
tac hu  below li ha ya
tum hu  temperature ha ya
tuk hu  drink ha ya
tuy hu  repeat ha ya
tup hu  depth ha ya
tun hu  down ha ya
tus hu  result li ha ya
tul hu  tool ha ya
tuf hu  difficult ha ya
tuc hu  toy ha ya
lik hu  charge ha ya
lin hu  inside li ha ya
lis hu  live ha ya
lit hu  glyph ha ya
lif hu  left ha ya
lat hu  end li ha ya
lac hu  love li ha ya
fin hu  female ha ya
fit hu  fit ha ya
fam hu  family ha ya
fas hu  happen li ha ya
fuy hu  above li ha ya
fut hu  future ha ya
cim hu  hear ha ya
cik hu  move li ha ya
ciy hu  green ha ya
cin hu  sign ha ya
cis hu  life ha ya
cit hu  must li ha ya
cif hu  divide ha ya
cam hu  home li ha ya
cak hu  thing ha ya
cay hu  right ha ya
can hu  chance ha ya
cat hu  hit ha ya
cum hu  shape ha ya
cus hu  show li ha ya
myin hu  dream ha ya
myit hu  remember ha ya
myil hu  ally ha ya
myan hu  soft ha ya
myat hu  math ha ya
myal hu  value li ha ya
myac hu  venture li ha ya
myun hu  employ ha ya
myut hu  import ha ya
myul hu  moral ha ya
myuf hu  oppose li ha ya
mwis hu  average li ha ya
mwit hu  member li ha ya
mwas hu  wet li ha ya
mwat hu  substance li ha ya
mwut hu  resist ha ya
kyim hu  game ha ya
kyip hu  cloth ha ya
kyin hu  general ha ya
kyis hu  than li ha ya
kyit hu  credit li ha ya
kyil hu  circle ha ya
kyic hu  corporation li ha ya
kyam hu  carry ha ya
kyas hu  to-close li ha ya
kyat hu  hard ha ya
kyac hu  emergency li ha ya
kyup hu  group ha ya
kyus hu  fun ha ya
kyul hu  rule ha ya
kyuc hu  excuse li ha ya
kwit hu  gravity ha ya
kwic hu  village li ha ya
kwat hu  strong ha ya
kwul hu  call li ha ya
ksim hu  expect li ha ya
ksiy hu  expert ha ya
ksip hu  access ha ya
ksin hu  context ha ya
ksit hu  exit ha ya
ksil hu  crystal ha ya
ksic hu  compete ha ya
ksam hu  dark ha ya
ksay hu  tell li ha ya
ksap hu  rope ha ya
ksan hu  advise ha ya
ksat hu  exact ha ya
ksal hu  explain li ha ya
ksaf hu  accident li ha ya
ksac hu  exercise li ha ya
ksum hu  communicate ha ya
ksuy hu  strange li ha ya
ksup hu  brief li ha ya
ksun hu  contract li ha ya
ksut hu  collect ha ya
ksul hu  school ha ya
ksuf hu  dry li ha ya
ksuc hu  fall li ha ya
klim hu  science ha ya
kliy hu  clear ha ya
klin hu  electron ha ya
klic hu  key li ha ya
klam hu  labour li ha ya
klay hu  cry li ha ya
klap hu  clap li ha ya
klaw hu  laugh ha ya
klan hu  colony li ha ya
klas hu  class ha ya
klat hu  clause ha ya
klaf hu  claim li ha ya
klac hu  except ha ya
klum hu  column ha ya
klup hu  global li ha ya
klun hu  hunger ha ya
klus hu  closet li ha ya
klut hu  exclude ha ya
kluc hu  crime li ha ya
kfin hu  config ha ya
kfit hu  effect ha ya
kfan hu  confirm ha ya
kfat hu  adjective ha ya
kfac hu  ear li ha ya
kfup hu  cup li ha ya
kfun hu  conference li ha ya
