abako                         abacus
abata                         abbatial
abata-jurisdikcio             abbacy
abateco                       abbacy
abateja                       abbatial
abatejo                       abbey
abatino                       abbess
abato                         abbot
abceso                        abscess
abdiki                        abdicate, resign
abdiko                        abdication
abdomena                      abdominal
abdomeno                      abdomen
abduktoro                     abductor
abelejo                       apiary
abelisto                      bee-keeper
abelkulturo                   bee-keeping
abelo                         bee
abelujo                       beehive, bee-hive
abelvakso                     beeswax
aberacii                      deviate
aberacio                      aberration
abhxaza                       Abkhazian
Abhxazio                      Abkhazia
abhxazo                       Abkhazian
Abhxazujo                     Abkhazia
abia                          deal
Abintono                      Abington
abio                          fir
abiogenezo                    abiogenesis
abisena                       Abyssinian, Ethiopian
Abisenio                      Abyssinia, Ethiopia
abiseno                       Abyssinian, Ethiopian
Abisenujo                     Abyssinia, Ethiopia
abismo                        abyss, chasm
abiturienta diplomo           leaving-certificate
abiturienta ekzameno          final examination
abjxuri                       abjure, abnegate
abjxuro                       abjuration
ablativo                      ablative
abnegacii                     abnegate, deny oneself
abnegacio                     abnegation
abnorma                       abnormal
abnormajxo                    abnormality, abnormity
abnormeco                     abnormality, abnormity
aboco                         ABC, alphabet
aboli                         abolish, abrogate
abolicii                      abolish, abrogate
abolicio                      abolition, abrogation
abolo                         abolition, abrogation
abomaso                       rennet-stomach
abomena                       dismal, dreary, ghastly, hideous, horrible, nasty
abomenajxo                    abomination
abomeni                       abhor, abominate, loathe
abomeninda                    abhorrent, abominable, alien, awful, hideous, horrible, gruesome
abomenindajxo                 abhorrence, abomination, atrocity, horror
abomeno                       abhorrence, abomination, horror
abonanto                      subscriber
aboni                         subscribe
abono                         subscription
aborigeno                     aboriginal
aborti                        abort, miscarry
abortigi                      abort
abortigisto                   abortionist
abortigo                      abortion
aborto                        abortion
Abrahamo                      Abraham
abraziigxi                    cave in
abreviacio                    abbreviation
abrikoto                      apricot
abrogacio                     abrogation
abrupta                       abrupt
abrupte                       abruptly
absceso                       abscess
absciso                       abscissa
absejli                       abseil
absintajxo                    absinth
absintlikvoro                 absinth
absinto                       absinth
absoluta                      absolute
absolute                      absolutely
absolutismo                   absolutism
absolvi                       absolve
absolvo                       absolution
absorba                       absorbent
absorbi                       absorb
absorbilo                     absorbent
absorbita de                  absorbed in
absorbo                       absorption
abstemio                      teetotalism
abstinenco                    abstinence, teetotalism
abstinenculo                  total abstainer
abstini                       abstain
abstrakta                     abstract
abstraktajxo                  abstraction
abstrakti                     abstract
absurda                       absurd
absurdajxo                    absurdity
absurdeco                     absurdity
abunda                        abundant
abunde                        abundantly
abundeco                      abundance
abundi                        abound
abundo                        abundance, plenty
acera                         maple, maple-, of a maple
acerba                        acerbic, acid, harsh, sour, tart
acero                         maple, sycamore
acetato                       acetate
acetileno                     acetylene
aceto                         acetic acid
acetono                       acetone
acida                         acid, sour, tart
acida cxerizo                 morello
acidi                         be acid, be sour
acidigxi                      sour, grow sour, turn
acido                         acid
Acoroj                        Azores
acxetado                      acquisition, purchase
acxetajxo                     purchase
acxetakiri                    acquire, buy, purchase
acxetanta regiono             market, outlet
acxetanto                     buyer, client, purchaser
acxetebla                     for sale
acxeti                        buy, purchase
