ﺭﺪﺼﻤﻟﺍ-ﺔﻐﻴﺻ: hnit
ﺪﻋﺍﻮﻗ-ﻊﻓﺭ-ﺔﻟﺎﺣ: hnak
ﺐﺼﻨﻟﺍ-ﺔﻟﺎﺣ-ﺔﻟﺎﺣ: hkak
ﻉﻮﺿﻮﻣ-ﺔﻟﺎﺣ: htak
ﻡﻷ﻿ﺍ: hmat
ﺏﺃ: hpap
ﻲﻣﺃ: hmam
ﻼ﻿ﻫﺃ: hnat
ﻒﻠﺳ: htat
ﺪﺟ: hyat
ﻊﺋﺎﺟ: hcac
ﻑﺎﻀﻣ-ﺔﻟﺎﺣ: hnik
ﺔﻔﺻ: hcit
ﻭ: hwan
ﺎﻧﺃ: hmic
ﺖﻧﺃ: hnan
ﺎﻨﻟ: hnam
ﻮﻫ: hyic
ﺩﻮﺼﻘﻤﻟﺍ-ﻥﺎﻜﻤﻟﺍ-ﺔﻟﺎﺣ: htas
ﺐﺼﻨﻟﺍ-ﻝﺎﺣ-ﻲﻓ ﺔﻌﻗﺍﻭ ﺔﻤﻠﻛ ﺔﻟﺎﺣ: htik
ﻲﻠﺧﺍﺩ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: htis
ﺺﺨﺷ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hpak
ﻊﺑﺎﺗ-ﺪﻨﺑ: htan
ﻦﺴﺤﺘﻣ-ﺐﻧﺎﺟ: htap
ﻲﺿﺎﻤﻟﺍ-ﺮﺗﻮﺗ: hkat
ﺮﻛﺬﻣ-ﺚﻴﻧﺄﺗ-ﻭﺃ ﺮﻴﻛﺬﺗ ﺲﻨﺟ: hsan
comitative-ﺔﻟﺎﺣ: hmik
ﺮﺿﺎﺣ-ﺮﺗﻮﺗ: hyan
benefactive-ﺔﻟﺎﺣ: hpik
essive-ﺔﻟﺎﺣ: swik
ﺲﻴﻟ: hnic
ﺎﻬﻧﺍ: hsis
ﺢﻄﺳ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hsak
adpositional-ﺔﻟﺎﺣ: hpan
ﻊﻗﻮﻣ-ﺔﻟﺎﺣ: hwak
ءﺎﻀﻔﻟﺍ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hnos
ﻖﻳﺮﻃ-ﺔﻟﺎﺣ: hrak
ﻝﺎﻌﻓ-ﺭﻭﺩ-ﺔﻟﺎﺣ: hsik
ﻲﺘﻟﺍ: hkan
ﻲﻣﺎﻬﻔﺘﺳﺍ-ﺝﺍﺰﻣ: hnim
ﻭ-ﻭﺃ: htam
ﻭﺃ-ﻱﺮﺼﺣ: hkit
ﺭﺪﺼﻣ-ﺔﻟﺎﺣ: hsok
ﺮﺠﻟﺍ-ﺔﻟﺎﺣ: hlak
ﻲﻧﺎﻫﺮﺑ: hdit
ﻦﻜﻟ: hlan
ﻊﻴﻤﺟ: hsut
ﺚﻧﺆﻤﻟﺍ-ﺚﻴﻧﺄﺗ-ﻭﺃ ﺮﻴﻛﺬﺗ ﺲﻨﺟ: hnin
ﻢﻬﻧﺃ: hwin
ﻊﻤﺠﻟﺍ-ﺔﻐﻴﺻ-ﺩﺪﻋ: hlun
ﺪﺣﺍﻭ: hyik
ﻞﺒﻘﺘﺴﻣ-ﺮﺗﻮﺗ: hwet
ﻲﻋﺎﻤﺘﺟﺍ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hson
ﻰﺘﻣ: hkap
imperfective-ﺐﻧﺎﺟ: hmap
ﻙﺎﻨﻫ: hkac
ﻲﻃﺮﺷ-ﺝﺍﺰﻣ: hcan
ﺮﺜﻛﺃ: hdoc
ﺝﺭﺎﺧ: htac
ﺐﻳﺮﻗ-ﺔﻟﺎﺣ: hrik
illative-ﺔﻟﺎﺣ: hlik
ﻞﻌﻓ: hkas
ﺕﺎﻬﻴﺟﻮﺗ-ﺝﺍﺰﻣ: hden
deontic-ﺝﺍﺰﻣ: hdim
ﻝﺍﺆﺳ-ﺔﻤﻠﻛ: hwac
ﻂﺑﺍﺮﻟﺍ-ﻞﻌﻔﻟﺍ: hkok
ﺺﺨﺷ: hpon
ﺮﻛﺫ: hman
ﻉﺎﻄﺘﺳﺍ: kwat
ﺮﺧﻵ﻿ﺍ: hcon
ﺩﺪﻋ: hnoc
ﺍﺪﺟ: tcac
ﺓﺮﻣ: htim
ﺓﺮﻣ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: htos
ﻞﺋﺍﺯ-ﺔﻟﺎﺣ: hmak
ﻝﻮﺣ: hkam
ﻲﻓﺮﻌﻤﻟﺍ-ﺝﺍﺰﻣ: hsim
ﻂﻘﻓ: htun
ﻞﻴﻠﻘﻟﺍ: hcak
ﻢﺛ: pcan
hortative-ﺝﺍﺰﻣ: hton
ءﺍﺭﻮﻟﺍ-ﻰﻟﺍ-ﻊﻠﻄﺘﻣ ﺐﻧﺎﺟ: hrip
ﺔﻌﺋﺍﺭ: hcat
volitive-ﺝﺍﺰﻣ: hlim
ﻞﺒﻗ: hsec
ﺐﺠﻳ: pcic
ﻥﺎﻨﺛﺍ: htut
ﺪﻫﺎﺷ: tcan
ﻢﻠﻋ: hsat
ﻞﻔﺳﺃ: hcin
ﺪﻌﺑ: hcas
ﻝﻭﻷ﻿ﺍ: hpas
ﻚﻠﺘﻤﻳ: hpun
ﻞﻳﻮﺤﺘﻠﻟ-ﻞﺑﺎﻗ-ﺓﺯﺎﻴﺣ: hlic
ﺍﺪﺑﺃ: hnac
ﻞﻳﻮﻤﺘﻟﺍ-ﻭ-ﺓﺭﺩﺎﺼﻤﻠﻟ ﻞﺑﺎﻗ ﺮﻴﻏ ﺓﺯﺎﻴﺣ: hkic
ﻢﻳﺪﻗ: hwat
ﻝﻭﺍﺪﺗ-ﺝﺍﺰﻣ: hcim
ﻡﻮﻳ: htin
ﻦﻳﺃ: hnap
ﻝﺎﻌﺗ: hlat
ﻖﻳﺮﻃ: hyas
ﻞﻤﻋ: hkaf
ﻙﺮﺤﺘﻣ-ﻑﺮﺣ: hwaf
ﺐﻫﺫﺍ: hkun
perlative-ﺔﻟﺎﺣ: pwik
ﺔﻴﻣﺪﻘﺗ-ﺐﻧﺎﺟ: hpip
ﻞﻳﻮﻃ: hlac
ﻞﻗ: hsac
ﻒﻴﻛ: hkin
ﻰﺘﺣ: hpit
ﻒﻠﺨﻟﺍ-ﻰﻟﺍ: hwap
ﺎﻨﻫ: hcic
ﻲﻓ-ﺮﻜﻓ: hcik
ﻪﺴﻔﻧ: hsam
ﺮﺧﺁ: kcac
ﺍﺪﻴﻌﺑ: twan
ﺖﺤﺗ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hnas
ﺬﺧﺃ: htit
ﺕﺪﺟﻭ: hfan
ﺪﻳ: cyat
ﺏﺎﺷ: hyac
ﻥﺃ-ﻢﻏﺭ: hyap
ﺢﻨﻣ: hkik
ﻪﻠﻟﺍ: hmac
delative-ﺔﻟﺎﺣ: lwak
ﻰﺷ-ﻻ﻿: hmin
ﺢﻴﺤﺼﻟﺍ: hyit
ﺓﺮﻣ-ﺕﺍﺫ: hyam
semelfactive-ﺐﻧﺎﺟ: fwip
ءﺰﺟ: hpat
ﺭﺎﺸﻨﻣ: htic
ﺖﻴﺑ: hfas
ﻢﻟﺎﻌﻟﺍ: tcat
ﺱﺃﺭ: hcaf
ﺔﺛﻼ﻿ﺛ: tyin
ﺩﺪﺠﻟﺍ: hnon
ﺰﻛﺮﺗ: hcok
ﺐﺤﻟﺍ: hpac
ﺎﻤﺋﺍﺩ: hsit
ﻞﻴﻟ: hwit
ﻞﻛ: hmit
ﻚﻠﻣ: hyak
ﻦﻴﺑ-ﺎﻣ: hsin
ﺐﻠﻗ: cyin
paucal-ﺩﺪﻋ: plom
ﺐﺒﺴﺑ: hyok
ﻲﺒﺒﺳ-ﺔﻟﺎﺣ: ksak
ءﻲﺷ: hkis
