berfenw: ni
enwol-achos: na
accusative-achos: ka
pwnc-achos: ta
Helo: ca
genidol-achos: sa
ansoddair: ci
ac: wa
mi: mi
chi: ya
ni: nlah
mae'n: yi
cyrchfan-achos: ti
derbyniol-achos: pa
tu-cyd-destun: tu
person-cyd-destun: pi
dibynnol-cymal: yu
perfective-agwedd: fa
gorffennol-amser: ki
gwrywaidd-rhyw: si
comitative-achos: mwih
yn-bresennol-amser: ma
benefactive-achos: pwah
essive-achos: swih
Ni: nu
ei: tsih
wyneb-cyd-destun: su
adpositional-achos: pu
lleoliad-achos: te
gofod-cyd-destun: no
ffordd-achos: ra
offerynnol-achos: se
gofynnol-hwyliau: ri
ac-neu: to
exclusive---neu: ku
ffynhonnell-achos: so
abladol-achos: lwah
dangosol: di
ond: la
feminine-rhyw: ne
plural-rhif: lu
dyfodol-amser: we
cymdeithasol-cyd-destun: mo
imperfective-agwedd: me
yno: klah
amodol-hwyliau: co
mwy: kcoh
perthynas-achos: nwih
illative-achos: lwih
gyfarwyddeb-hwyliau: de
deontic-hwyliau: da
cwestiwn-gair: slah
copula: ksah
person: psoh
eraill: tcoh
rhif: do
iawn: tcah
amser: trah
amser-cyd-destun: ro
tymhorol-achos: mrah
am: ke
epistemic-hwyliau: pe
yn-unig: twuh
yna,: pcah
hortative-hwyliau: twah
ôl-weithredol-agwedd: rwih
volitive-hwyliau: li
cyn: tceh
ar-ôl: ba
alienable-meddiant: lyih
anaralladwy-meddiant: nlih
cydgynghorol-hwyliau: drih
perlative-achos: pwih
blaengar-agwedd: psih
yma: tcih
dan-cyd-destun: ce
delative-achos: dwih
semelfactive-agwedd: mweh
neo: nyoh
ffocws: fo
caru: pyah
paucal-rhif: ploh
achos: yo
achosol-achos: ksih
enw: gi
priodol-noun: tsah
hortative: re
yn-weladwy-tystiolaethol: crih
desiderative-hwyliau: dwah
terminative-achos: twih
inessive-achos: nweh
hanfodol-hwyliau: prih
yn-credu: kcah
wladwriaeth-cyd-destun: ga
gobeithio: cwah
factive-tystiolaethol: fwih
eith-hwyliau: pcih
realis-hwyliau: le
potensial-hwyliau: tlah
allative-achos: lweh
anthropic-rhyw: fi
pwnc: wo
yr-un-pwnc marciwr: cyah
gwahanol-pwnc: fe
ofn: ko
amheuaeth: cu
dubitative-hwyliau: tweh
llog: nyih
vialis-achos: wi
rhyfedd: trih
newid: ryih
hapus: clah
ac-eithrio: swah
dymuniad: kwah
hyd: lo
tebygolrwydd: bi
cytundeb: grah
trafferth: mlah
quotative-achos: kwih
gynhwysol-person: lwoh
precative-hwyliau: rwah
gwrtais-gofrestru: brih
darpar-agwedd: tfah
gnomic-agwedd: go
inchoative-agwedd: zi
jussive-hwyliau: jwih
caniataol-hwyliau: mwah
priodol: kcih
distal-dangosol: tseh
dosbarthol-achos: nwah
benderfynir: treh
poen: droh
ddoeth: ja
meddiannol-marciwr: srah
commissive-hwyliau: mu
syndod: crah
completive-agwedd: kweh
dicter: nrah
balchder: brah
n-chwith: pceh
dewrder: krah
gras: nreh
symudiad: mroh
bryderus: cwih
rhoi'r-gorau-i agwedd: za
intensifier: tfih
tystiolaethol-achos: ryah
drist: syah
fel-arall: tyah
zoic-rhyw: zo
eventive-hwyliau: nwoh
yr-un-digwyddiad marciwr: cwoh
lluosogol-achos: plah
synnu: prah
biti: lyah
màs: mlih
bodlon: srih
rhinwedd: be
hapfasnachol-hwyliau: po
cyfarwydd-gofrestru: krih
glwyfo: frah
tristwch: proh
eh?: nyah
diolch: kyah
cywilydd: ru
