berfenw: hnit
enwol-achos: hnak
accusative-achos: hkak
pwnc-achos: htak
rhiant: hmat
dad: hpap
mom: hmam
Helo: hnat
hynafiad: htat
cu: hyat
llwglyd: hcac
genidol-achos: hnik
ansoddair: hcit
ac: hwan
mi: hmic
chi: hnan
ni: hnam
mae'n: hyic
cyrchfan-achos: htas
derbyniol-achos: htik
tu-cyd-destun: htis
person-cyd-destun: hpak
dibynnol-cymal: htan
perfective-agwedd: htap
gorffennol-amser: hkat
gwrywaidd-rhyw: hsan
comitative-achos: hmik
yn-bresennol-amser: hyan
benefactive-achos: hpik
essive-achos: swik
Ni: hnic
ei: hsis
wyneb-cyd-destun: hsak
adpositional-achos: hpan
lleoliad-achos: hwak
gofod-cyd-destun: hnos
ffordd-achos: hrak
offerynnol-achos: hsik
sy'n: hkan
gofynnol-hwyliau: hnim
ac-neu: htam
exclusive---neu: hkit
ffynhonnell-achos: hsok
abladol-achos: hlak
dangosol: hdit
ond: hlan
i-gyd: hsut
feminine-rhyw: hnin
maent: hwin
plural-rhif: hlun
un: hyik
dyfodol-amser: hwet
cymdeithasol-cyd-destun: hson
pryd: hkap
imperfective-agwedd: hmap
yno: hkac
amodol-hwyliau: hcan
mwy: hdoc
allan: htac
perthynas-achos: hrik
illative-achos: hlik
gwneud: hkas
gyfarwyddeb-hwyliau: hden
deontic-hwyliau: hdim
cwestiwn-gair: hwac
copula: hkok
person: hpon
gwrywaidd: hman
gallai: kwat
eraill: hcon
rhif: hnoc
iawn: tcac
amser: htim
amser-cyd-destun: htos
tymhorol-achos: hmak
am: hkam
epistemic-hwyliau: hsim
yn-unig: htun
ychydig: hcak
yna,: pcan
hortative-hwyliau: hton
ôl-weithredol-agwedd: hrip
mawr: hcat
volitive-hwyliau: hlim
cyn: hsec
rhaid-i: pcic
dau: htut
gweld: tcan
yn-gwybod: hsat
i-lawr: hcin
ar-ôl: hcas
yn-gyntaf: hpas
hun: hpun
alienable-meddiant: hlic
byth: hnac
anaralladwy-meddiant: hkic
oed: hwat
cydgynghorol-hwyliau: hcim
diwrnod: htin
lle: hnap
dod: hlat
ffordd: hyas
gwaith: hkaf
llafariad: hwaf
mynd: hkun
perlative-achos: pwik
blaengar-agwedd: hpip
hir: hlac
dweud: hsac
sut: hkin
hyd-yn-oed: hpit
yn-ôl: hwap
yma: hcic
meddwl: hcik
un-fath: hsam
diwethaf: kcac
i-ffwrdd: twan
dan-cyd-destun: hnas
cymryd: htit
dod-o-hyd: hfan
llaw: cyat
ifanc: hyac
er: hyap
rhoi: hkik
duw: hmac
delative-achos: lwak
dim-byd: hmin
hawl: hyit
unwaith: hyam
semelfactive-agwedd: fwip
rhan: hpat
gwelodd: htic
tŷ: hfas
byd: tcat
pen: hcaf
tri: tyin
neo: hnon
ffocws: hcok
caru: hpac
bob-amser: hsit
nos: hwit
pob-un: hmit
Brenin: hyak
rhwng: hsin
galon: cyin
paucal-rhif: plom
achos: hyok
achosol-achos: ksak
beth: hkis
set: swat
enw: hnem
priodol-noun: hran
hortative: hrat
gwlad: hlit
gofynnwyd-i: hput
yn-weladwy-tystiolaethol: crit
gwell: pcac
ochr: psac
cwrs: hkus
benywaidd: hfin
digon: kyat
yn-fuan: hpuc
llawn: hcun
ystafell: hfac
bron: hlap
Ni-all: nyat
dŵr: hwik
desiderative-hwyliau: hdin
golau: lyak
nac: hnun
gair: slat
drws: tyan
defnydd: hpus
bore: hsap
terminative-achos: twik
pŵer: hkuk
eu-hunain: hmis
bresennol: hyin
llais: hwas
gwyn: hpis
arian: tlan
nesaf: kyak
gwael: hyis
marwolaeth: hmut
ffurflen: hfam
inessive-achos: nwik
math: tyac
yn-aml: tsan
blwyddyn: nwan
ffrind: myat
gorchymyn: hyut
hanfodol-hwyliau: hpim
rownd: hcut
yn-credu: hban
cyhoeddus: hpin
wladwriaeth-cyd-destun: hsas
mab: psat
cant: hmas
plant: hcis
a-thrwy-hynny: tyak
gobeithio: hcap
uchod: hyip
annwyl: pyin
darllen: pyac
dinas: hsic
eisoes: hpic
ffaith: hfat
factive-tystiolaethol: hfit
clywed: hsun
lleiaf: hmim
efallai: pyat
agored: kcat
corff: tcic
aer: cwac
natur: nyit
helpu: mlat
llythyr: lyat
pedwar: ksat
eith-hwyliau: hpam
tân: hfak
felly,: hyif
awr: hcam
rhad-ac-am ddim: tyit
rhyfel: syat
p'un-a: hsaf
rheswm: kyan
unedig: hnut
galwad: hkuc
pam: hwam
gollwyd: hkut
mil: tsas
teulu: hfic
enaid: twam
cwestiwn: swac
gofal: kcan
realis-hwyliau: hlin
golygu: mwit
potensial-hwyliau: hten
tuag-at: cyan
allative-achos: lwik
anthropic-rhyw: hrin
byr: kyut
gallu: hyuk
byw: hkip
pwnc: hsek
yr-un-pwnc marciwr: hcek
gwahanol-pwnc: hfek
ateb: tsat
môr: mwat
ofn: hcoc
deall: pcat
caled: kyin
termau: tyut
amheuaeth: hdac
dubitative-hwyliau: twin
gofyn: psan
breichiau: tcas
du: clis
dod-â: tyat
hardd: ksis
tywyll: tcak
cynnal: psak
deg: htaf
sioe: pyan
stori: hkif
cyffredin: kwan
llyfr: hkup
electronig: lyin
sgwrs: plak
marc: myac
llog: nyis
ysgrifennu: kcit
gwely: pwat
angenrheidiol: syis
syniad: hwis
