Infinitiv: hnit
Nominativ-Fall: hnak
Akkusativ-Fall: hkak
Thema-Fall: htak
Elternteil: hmat
Papa: hpap
Mama: hmam
Hallo: hnat
Vorfahr: htat
Großeltern-eltern~~POS=HEADCOMP: hyat
hungrig: hcac
Genitiv-Fall: hnik
Adjektiv: hcit
und: hwan
mich: hmic
Sie: hnan
uns: hnam
es: hyic
Reiseziel-Fall: htas
Dativ-Fall: htik
Innere-Kontext: htis
Person-Kontext: hpak
abhängig-Klausel: htan
perfektiv-Aspekt: htap
Vergangenheit-Tempus: hkat
männlich-Geschlecht: hsan
Komitativ-Fall: hmik
Geschenk-Tempus: hyan
benefactive-Fall: hpik
Essiv-Fall: swik
nicht: hnic
seine: hsis
Oberfläche-Kontext: hsak
adpositional-Fall: hpan
Lage-Fall: hwak
Raum-Kontext: hnos
Weg-Fall: hrak
instrumental-Fall: hsik
was: hkan
fragend-Stimmung: hnim
und-oder: htam
Exklusiv-oder: hkit
Quelle-Fall: hsok
Ablativ-Fall: hlak
demonstrativ: hdit
aber: hlan
alle: hsut
feminin-Geschlecht: hnin
sie: hwin
Plural--Nummer: hlun
ein: hyik
Zukunft-Tempus: hwet
Sozial--Kontext: hson
wenn: hkap
imperfective-Aspekt: hmap
Dort: hkac
bedingt-Stimmung: hcan
Mehr: hdoc
aus: htac
relativ-Fall: hrik
illative-Fall: hlik
machen: hkas
Direktive-Stimmung: hden
deontische-Stimmung: hdim
Frage-Wort: hwac
Kopula: hkok
Person: hpon
männlich: hman
könnte: kwat
andere: hcon
Anzahl: hnoc
sehr: tcac
Zeit: htim
Zeit-Kontext: htos
temporal-Fall: hmak
etwa: hkam
epistemischen-Stimmung: hsim
nur: htun
kleine: hcak
dann: pcan
anspornend-Stimmung: hton
retrospektiv-Aspekt: hrip
groß: hcat
volitive-Stimmung: hlim
Vor: hsec
Muss: pcic
zwei: htut
sehen: tcan
kennt: hsat
nach-unten: hcin
nach: hcas
erste: hpas
besitzen: hpun
veräußerlich-Besitz: hlic
nie: hnac
unveräußerlich-Besitz: hkic
alt: hwat
deliberativen-Stimmung: hcim
Tag: htin
woher: hnap
kommen: hlat
Weg: hyas
Arbeit: hkaf
Vokal: hwaf
gehen: hkun
perlative-Fall: pwik
progressiv-Aspekt: hpip
lange: hlac
sagen: hsac
Wie: hkin
sogar: hpit
Zurück: hwap
Hier: hcic
denken: hcik
gleich: hsam
letzte: kcac
ein-Weg: twan
unter-Kontext: hnas
nehmen: htit
gefunden: hfan
Hand: cyat
jung: hyac
obwohl: hyap
geben: hkik
Gott: hmac
delative-Fall: lwak
gar-nichts: hmin
Recht: hyit
einmal: hyam
semelfactive-Aspekt: fwip
Teil: hpat
sah: htic
Haus: hfas
Welt: tcat
Kopf: hcaf
drei: tyin
Neo: hnon
Fokus: hcok
Liebe: hpac
immer: hsit
Nacht-: hwit
jede-einzelne: hmit
König: hyak
zwischen: hsin
Herz: cyin
paucal-Nummer: plom
da: hyok
kausal-Fall: ksak
Ding: hkis
Set: swat
Name: hnem
richtig-Substantiv: hran
anspornend: hrat
Land: hlit
fragte: hput
sichtbar-beweiskräftig: crit
besser: pcac
Seite: psac
Kurs: hkus
weiblich: hfin
genug: kyat
bald: hpuc
voll: hcun
Zimmer: hfac
fast: hlap
kann-nicht: nyat
Wasser: hwik
desiderative-Stimmung: hdin
Licht: lyak
noch: hnun
Wort: slat
Tür: tyan
benutzen: hpus
Morgen-: hsap
terminative-Fall: twik
Power: hkuk
sich: hmis
Geschenk: hyin
Stimme: hwas
Weiß: hpis
Geld: tlan
Nächster: kyak
Arm: hyis
Tod: hmut
Form: hfam
Inessiv-Fall: nwik
Art: tyac
des-öfteren: tsan
Jahr: nwan
Freund: myat
Auftrag: hyut
Imperativ-Stimmung: hpim
runden: hcut
glauben: hban
Öffentlichkeit: hpin
Bundesland-Kontext: hsas
Sohn: psat
hundert: hmas
Kinder: hcis
so: tyak
Hoffnung: hcap
über: hyip
sehr-geehrter: pyin
lesen: pyac
Stadt: hsic
bereits: hpic
Tatsache: hfat
Factive-beweiskräftig: hfit
hören: hsun
am-wenigsten: hmim
vielleicht: pyat
öffnen: kcat
Körper: tcic
Luft: cwac
Natur: nyit
Hilfe: mlat
Brief: lyat
vier: ksat
Optativ-Stimmung: hpam
Feuer: hfak
deshalb: hyif
Stunde: hcam
frei: tyit
Krieg: syat
ob: hsaf
Grund: kyan
vereinigt: hnut
Anruf: hkuc
Wieso-den: hwam
hat-verloren: hkut
tausend: tsas
Familie: hfic
Seele: twam
Frage: swac
Pflege: kcan
realis-Stimmung: hlin
