απαρέμφατο: ni
ονομαστική-πτώση-περίπτωση: na
αιτιατική-περίπτωση: ka
θέμα-περίπτωση: ta
Χαίρετε: ca
γενική-περίπτωση: sa
επίθετο: ci
και: wa
μου: mi
εσείς: ya
μας: nlah
το: yi
προορισμός-περίπτωση: ti
δοτική-πτώση-περίπτωση: pa
εσωτερικό-συμφραζόμενα: tu
πρόσωπο-συμφραζόμενα: pi
εξαρτώμενος-ρήτρα: yu
τελειοποιητικός-άποψη: fa
το-παρελθόν-σε υπερένταση: ki
αρρενωπός-γένος: si
comitative-περίπτωση: mwih
παρόν-σε-υπερένταση: ma
benefactive-περίπτωση: pwah
essive-περίπτωση: swih
δεν: nu
του: tsih
επιφάνεια-συμφραζόμενα: su
adpositional-περίπτωση: pu
τοποθεσία-περίπτωση: te
χώρος-συμφραζόμενα: no
τρόπος-περίπτωση: ra
ενόργανος-περίπτωση: se
ερωτηματικός-διάθεση: ri
και-ή: to
αποκλειστικού-ή: ku
πηγή-περίπτωση: so
αφαιρετική-πτώση-περίπτωση: lwah
εκδηλωτικός: di
αλλά: la
θηλυκός-γένος: ne
πληθυντικός-αριθμός: lu
μελλοντικός-σε-υπερένταση: we
κοινωνικός-συμφραζόμενα: mo
ατελή-άποψη: me
εκεί: klah
υποθετικός-διάθεση: co
περισσότερο: kcoh
σχετικός-περίπτωση: nwih
illative-περίπτωση: lwih
διευθυντικός-διάθεση: de
δεοντικό-διάθεση: da
ερώτηση-λέξη: slah
συνδετικό-ρήμα: ksah
πρόσωπο: psoh
άλλα: tcoh
αριθμός: do
πολύ: tcah
φορά: trah
χρόνος-συμφραζόμενα: ro
χρονικός-περίπτωση: mrah
για: ke
επιστημονικές-διάθεση: pe
μόνο: twuh
έπειτα: pcah
παραινετικός-διάθεση: twah
αναδρομικός-άποψη: rwih
θελητικός-διάθεση: li
πριν: tceh
μετά: ba
απαλλοτριώσιμος-κατοχή: lyih
αναπαλλοτρίωτος-κατοχή: nlih
συμβουλευτικός-διάθεση: drih
perlative-περίπτωση: pwih
προοδευτικός-άποψη: psih
εδώ: tcih
κάτω-από-συμφραζόμενα: ce
delative-περίπτωση: dwih
semelfactive-άποψη: mweh
Νέο: nyoh
εστία: fo
αγάπη: pyah
paucal-αριθμός: ploh
επειδή: yo
αιτιώδης-συνάφεια-περίπτωση: ksih
όνομα: gi
κατάλληλος-ουσιαστικό: tsah
παραινετικός: re
ορατός-αποδεικτικός: crih
desiderative-διάθεση: dwah
ληκτικός-περίπτωση: twih
inessive-περίπτωση: nweh
επιτακτικός-διάθεση: prih
πιστεύω: kcah
κατάσταση-συμφραζόμενα: ga
ελπίδα: cwah
Factive-αποδεικτικός: fwih
ευκτικός-διάθεση: pcih
REALIS-διάθεση: le
δυνητικός-διάθεση: tlah
allative-περίπτωση: lweh
ανθρωπική-γένος: fi
θέμα: wo
ίδιο-θέμα-σημάδι: cyah
διαφορετικός-θέμα: fe
φόβος: ko
αμφιβολία: cu
dubitative-διάθεση: tweh
ενδιαφέρον: nyih
vialis-περίπτωση: wi
παράξενος: trih
αλλαγή: ryih
ευτυχισμένος: clah
εκτός: swah
επιθυμία: kwah
μήκος: lo
πιθανότητα: bi
συμφωνία: grah
ταλαιπωρία: mlah
quotative-περίπτωση: kwih
περιεκτικός-πρόσωπο: lwoh
precative-διάθεση: rwah
ευγενικός-μητρώο: brih
υποψήφιος-άποψη: tfah
gnomic-άποψη: go
εναρκτικός-άποψη: zi
jussive-διάθεση: jwih
επιτρεπτικός-διάθεση: mwah
κατάλληλος: kcih
άπω-εκδηλωτικός: tseh
διανεμητικές-περίπτωση: nwah
αποφασισμένος: treh
πόνος: droh
σοφός: ja
κτητικός-σημάδι: srah
commissive-διάθεση: mu
έκπληξη: crah
completive-άποψη: kweh
θυμός: nrah
υπερηφάνεια: brah
Συγνώμη: pceh
θάρρος: krah
χάρη: nreh
κίνηση: mroh
ανήσυχος: cwih
παύση-άποψη: za
ενισχυτή: tfih
αποδεικτικός-περίπτωση: ryah
λυπημένος: syah
αλλιώς: tyah
ζωικός-γένος: zo
eventive-διάθεση: nwoh
ίδιο-συμβάν-σημάδι: cwoh
πολλαπλασιαστική-περίπτωση: plah
έκπληκτος: prah
κρίμα: lyah
μάζα: mlih
ικανοποιημένοι: srih
αρετή: be
κερδοσκοπικός-διάθεση: po
οικείος-μητρώο: krih
τραυματίας: frah
λύπη: proh
ε;: nyah
ευχαριστώ: kyah
ντροπή: ru
φράση-σημάδι: fyah
πιστός: cyih
έξαψη: tyeh
hesternal-σε-υπερένταση: tleh
μισώ: tyih
λογικός-γένος: tlih
άκρο: kreh
φυτικός-γένος: slih
περιέργεια: kyih
έντρομος: kcuh
άρθρο: myah
ευλογία-διάθεση: bwih
ένοχος: dlih
αμαθής: nrih
γενναιόδωρος: drah
πρωτοβουλία-περίπτωση: twoh
καθυστέρηση-επιτακτικός: ji
αναφερθεί-αποδεικτικός: psah
ευθύνη: dlah
μιζέρια: kfah
ενικός-αριθμός: gu
συγχωρώ: pfah
υπομονή: je
αναφορικός: freh
μοναχικός: kyoh
γοητεία: croh
ενθουσιασμός: tsuh
επαγωγικός-διάθεση: tcuh
ομιλία-συμφραζόμενα: ye
κλητική-πτώση-περίπτωση: bo
περιφρόνηση: grih
νουθεσία-διάθεση: tyuh
φιλοδοξία: bwah
συνεχής-άποψη: nyeh
απευθείας-αποδεικτικός: troh
φοβισμένος-διάθεση: pcoh
σοκ: cruh
πρόσφατος-το-παρελθόν σε υπερένταση: clih
σαφής-άρθρο: klih
ζηλιάρης: ryuh
imprecatory-διάθεση: mrih
αδιαφορία: du
assumptive-διάθεση: syih
βλάβη: kroh
PROTASIS: rwoh
εχθρικός: cyuh
μιμητικός: mreh
δηλαδή: gwih
hodiernal-σε-υπερένταση: dloh
delimitative-άποψη: dweh
αποκλειστικός-πρόσωπο: kwuh
telic-άποψη: tfeh
atelic-άποψη: tsoh
απαγορευτικός-διάθεση: jrih
βασανιστήριο: nroh
πίστη: nloh
momentane-άποψη: myeh
συγχώρεση: jrah
ταπεινός-μητρώο: myih
πρώην-μακαρίτης: frih
παραθέτω: wu
ενόχληση: zrah
συνήθης-άποψη: bu
επακόλουθος: kseh
επιμέλεια: dyih
επίσημος-μητρώο: sreh
ακουστικός-αποδεικτικός: creh
σύνδεση: ksoh
επαγωγική-αποδεικτικός: flih
βλαστήμια: sleh
sublative-περίπτωση: swoh
δηλωτικός-διάθεση: ksuh
προφορικός: kceh
καταφατικός-διάθεση: fwah
δυσαρέσκεια: dyah
ιδιόφωνο: dyoh
υπερβολικό-περίπτωση: zwah
irrealis-διάθεση: ze
συστολή: cyoh
προσαρμογή: pyih
αντωνυμία-σημάδι: ryeh
καταπιέζω: zroh
γαλήνη: jyah
pegative-περίπτωση: pweh
διωκτικών-περίπτωση: pwuh
έγνοια: byah
μετοχή: pfih
μακρινός-το-παρελθόν σε υπερένταση: dzah
ιστορικός-σε-υπερένταση: sroh
υστερία: syeh
διπλός-αριθμός: dluh
αισθητήριος-αποδεικτικός-διάθεση: xi
κίνηση-ανηφορικός: ryoh
αναδρομικός: txih
κίνηση-κατηφορικός: myoh
κλιτές: blih
superessive-περίπτωση: psuh
μεταβατικός: t6
ματαίωση: xrah
κίνηση-ποτάμι: truh
κίνηση-κατάντη: txah
διαχώριση: xo
απότομη-πτώση: tloh
ρεύμα-συνάφεια-σημάδι: xa
ακρώνυμο: qi
αρκτικόλεξο: nl6h
γερούνδιο: ge
preterite: preh
αόριστος: broh
μεριστικός-περίπτωση: pxih
θεοφάνεια: pf6h
αυξητικός: xe
φοβία: xyoh
determiner: txeh
κατηγορηματικός: plih
prolative-περίπτωση: pxah
φιλαληθής: vyih
δυαδική-τιμή: vrih
πεπερασμένος-ρήμα: vi
δίκη-αριθμός: pc6h
pro-πρόταση: r6
φιλία: va
gnomic-διάθεση: kxih
κεντρικός-περίπτωση: dreh
προ-hodiernal: x6
ασθενής-περίπτωση: qa
λοξός-περίπτωση: bwoh
μέσο-φωνή: tyoh
αναγνωρίσιμα: xyah
στόχος-σκανδάλη: groh
τική-περίπτωση: dvah
μη-ανθρώπινος: n6
attenuative: nyuh
multal-αριθμός: mloh
trans-αριθμός: ts6h
γαλαξίας-γένος: gjah
Αντίο: jwah
abessive-περίπτωση: bvah
adessive-περίπτωση: dvih
να-περίπτωση: kxah
agentive-περίπτωση: dveh
μέσο-σκανδάλη: greh
ηθοποιός-ρόλος: nruh
κοινός-γένος: k6
συνοδός: kloh
παθητικός-φωνή: pyoh
αστέρι-γένος: qrah
παραπομπή-μορφή: xu
προφορικός-ουσιαστικό: xlih
Ρήτρα---ουρά: kluh
απευθείας-αντικείμενο: rweh
ergative-περίπτωση: gvih
στη-γλώσσα: byih
τοπική-πτώση-περίπτωση: kwoh
επιρρηματικός-περίπτωση: vlah
τελικός-σωματίδιο: nluh
evitative-περίπτωση: ve
κτητικός-περίπτωση: kfih
ονομαστικοποίησης: mleh
κατεχόμενος-περίπτωση: djah
βοηθητικός-ρήμα: fyih
πρωταρχικός-αντικείμενο: myuh
antessive-περίπτωση: nleh
έμψυχος-γένος: xrih
subessive-περίπτωση: bvih
όχημα-γένος: vlih
ορυκτό-γένος: xwih
ρήμα---κατάληξη: kxeh
κατανόηση-χαρά: pfeh
αλλαγή-του-συμβάν: qrih
διαφορετικός-συμβάν: txoh
σύμπαν-γένος: bjih
τοποθεσία-γένος: lyeh
έρευνα-γένος: txuh
καλλιτεχνικός-γένος: s6
crastinal-σε-υπερένταση: sl6h
περίληψη-γένος: sruh
exocentric-περίπτωση: zrih
μεταβατικός-ρήμα: tfoh
το-παρελθόν-τελειοποιητικός: tr6h
έμμεσος-ομιλία: dyeh
δεύτερος-γλώσσα: sr6h
συλλογικός-ουσιαστικό: kxoh
absolutive-περίπτωση: bvuh
ασθενής-σκανδάλη: pruh
εαυτός-εμπιστοσύνη: swuh
αυτοπαθής-φωνή: flah
απρόσωπος-ρήμα: pseh
τροπικός-περίπτωση: dleh
άψυχος-γένος: djih
αιτιολογικός: kruh
propositive-διάθεση: pxoh
ηλεκτρικός-ρεύμα: breh
συνειρμική-περίπτωση: sloh
υπερθετικός-περίπτωση: sluh
πλανητικός-γένος: pxeh
αμοιβαίος-φωνή: syoh
πυρήνας-benefactive: kfeh
else-if: kyeh
διαδοχικός-ρήτρα: lyoh
σύντομα-μελλοντικός-σε υπερένταση: rwuh
applicative-φωνή: pyuh
antipassive-φωνή: ps6h
continuative-άποψη: tfuh
necessitative-διάθεση: nr6h
μονόκλινο-δράση-ρήμα: qyah
υπερθετικός-βαθμός: tluh
υπαρξιακός-ρήτρα: sy6h
παρόν-μετοχή: vrah
φωτεινός-ένταση: kyuh
singulative-αριθμός: glih
παθητικός-μετοχή: pfoh
υπερβολικό-διάρκεια: kxuh
ποσό-του-ουσία: m6
postpositional-περίπτωση: pwoh
αιρετός-quantifier: vwih
epenthetic-μόρφημα: p6
άνευ-αντικειμένου-με quantifier: gwah
συνδετικός-σωματίδιο: qyih
μακρινός-μελλοντικός-σε υπερένταση: tl6h
frequentative-άποψη: f6
διανεμητικές-αντωνυμία: bzih
Ο-μιλία-συμφωνία: ks6h
παγκόσμιος-quantifier: xlah
floating-point---αριθμός: fu
υπαρξιακός-quantifier: sweh
εναλλακτική-λύση-quantifier: l6
το-παρελθόν-παθητικός μετοχή: xyih
τοπική-πτώση-κατευθυντήριος περίπτωση: kfoh
αντιπαραδειγμάτων-υποθετικός: fyoh
