απαρέμφατο: hnit
ονομαστική-πτώση-περίπτωση: hnak
αιτιατική-περίπτωση: hkak
θέμα-περίπτωση: htak
μητρική-εταιρεία: hmat
μπαμπάς: hpap
μαμά: hmam
Χαίρετε: hnat
πρόγονος: htat
παππούς-και-γιαγιά: hyat
πεινασμένος: hcac
γενική-περίπτωση: hnik
επίθετο: hcit
και: hwan
μου: hmic
εσείς: hnan
μας: hnam
το: hyic
προορισμός-περίπτωση: htas
δοτική-πτώση-περίπτωση: htik
εσωτερικό-συμφραζόμενα: htis
πρόσωπο-συμφραζόμενα: hpak
εξαρτώμενος-ρήτρα: htan
τελειοποιητικός-άποψη: htap
το-παρελθόν-σε υπερένταση: hkat
αρρενωπός-γένος: hsan
comitative-περίπτωση: hmik
παρόν-σε-υπερένταση: hyan
benefactive-περίπτωση: hpik
essive-περίπτωση: swik
δεν: hnic
του: hsis
επιφάνεια-συμφραζόμενα: hsak
adpositional-περίπτωση: hpan
τοποθεσία-περίπτωση: hwak
χώρος-συμφραζόμενα: hnos
τρόπος-περίπτωση: hrak
ενόργανος-περίπτωση: hsik
ο-οποίος: hkan
ερωτηματικός-διάθεση: hnim
και-ή: htam
αποκλειστικού-ή: hkit
πηγή-περίπτωση: hsok
αφαιρετική-πτώση-περίπτωση: hlak
εκδηλωτικός: hdit
αλλά: hlan
όλοι: hsut
θηλυκός-γένος: hnin
αυτοί: hwin
πληθυντικός-αριθμός: hlun
ένας: hyik
μελλοντικός-σε-υπερένταση: hwet
κοινωνικός-συμφραζόμενα: hson
πότε: hkap
ατελή-άποψη: hmap
εκεί: hkac
υποθετικός-διάθεση: hcan
περισσότερο: hdoc
έξω: htac
σχετικός-περίπτωση: hrik
illative-περίπτωση: hlik
κάνω: hkas
διευθυντικός-διάθεση: hden
δεοντικό-διάθεση: hdim
ερώτηση-λέξη: hwac
συνδετικό-ρήμα: hkok
πρόσωπο: hpon
αρσενικός: hman
θα-μπορούσε-να: kwat
άλλα: hcon
αριθμός: hnoc
πολύ: tcac
φορά: htim
χρόνος-συμφραζόμενα: htos
χρονικός-περίπτωση: hmak
για: hkam
επιστημονικές-διάθεση: hsim
μόνο: htun
λίγο: hcak
έπειτα: pcan
παραινετικός-διάθεση: hton
αναδρομικός-άποψη: hrip
εξαιρετική: hcat
θελητικός-διάθεση: hlim
πριν: hsec
πρέπει: pcic
δυο: htut
βλέπω: tcan
ξέρω: hsat
κάτω: hcin
μετά: hcas
πρώτα: hpas
ίδιος: hpun
απαλλοτριώσιμος-κατοχή: hlic
ποτέ: hnac
αναπαλλοτρίωτος-κατοχή: hkic
παλιός: hwat
συμβουλευτικός-διάθεση: hcim
ημέρα: htin
που: hnap
Έλα: hlat
τρόπος: hyas
δουλειά: hkaf
φωνήεν: hwaf
πάω: hkun
perlative-περίπτωση: pwik
προοδευτικός-άποψη: hpip
μακρύς: hlac
λέγω: hsac
πως: hkin
ακόμη-και: hpit
πίσω: hwap
εδώ: hcic
νομίζω: hcik
ίδιο: hsam
τελευταίος: kcac
μακριά: twan
κάτω-από-συμφραζόμενα: hnas
παίρνω: htit
θεμελιώ: hfan
χέρι: cyat
νέος: hyac
αν-και: hyap
δίνω: hkik
θεός: hmac
delative-περίπτωση: lwak
τίποτα: hmin
δικαίωμα: hyit
μια-φορά: hyam
semelfactive-άποψη: fwip
μέρος: hpat
είδε: htic
σπίτι: hfas
κόσμος: tcat
κεφάλι: hcaf
τρία: tyin
Νέο: hnon
εστία: hcok
αγάπη: hpac
πάντοτε: hsit
νύχτα: hwit
κάθε: hmit
βασιλιάς: hyak
μεταξύ: hsin
καρδιά: cyin
paucal-αριθμός: plom
επειδή: hyok
αιτιώδης-συνάφεια-περίπτωση: ksak
πράγμα: hkis
σειρά: swat
όνομα: hnem
κατάλληλος-ουσιαστικό: hran
παραινετικός: hrat
χώρα: hlit
ερωτηθείς: hput
ορατός-αποδεικτικός: crit
καλύτερα: pcac
πλευρά: psac
πορεία: hkus
θηλυκός: hfin
αρκετά: kyat
σύντομα: hpuc
γεμάτος: hcun
δωμάτιο: hfac
σχεδόν: hlap
δεν-μπορώ: nyat
νερό: hwik
desiderative-διάθεση: hdin
ελαφρης: lyak
ούτε: hnun
λέξη: slat
θύρα: tyan
χρήση: hpus
πρωί: hsap
ληκτικός-περίπτωση: twik
εξουσία: hkuk
εαυτούς: hmis
παρόν: hyin
φωνή: hwas
άσπρο: hpis
χρήματα: tlan
επόμενος: kyak
φτωχός: hyis
θάνατος: hmut
μορφή: hfam
inessive-περίπτωση: nwik
είδος: tyac
συχνά: tsan
έτος: nwan
φίλος: myat
παραγγελία: hyut
επιτακτικός-διάθεση: hpim
γύρος: hcut
πιστεύω: hban
δημόσιο: hpin
κατάσταση-συμφραζόμενα: hsas
υιός: psat
εκατό: hmas
παιδιά: hcis
έτσι: tyak
ελπίδα: hcap
πάνω-από: hyip
αγαπητός: pyin
ανάγνωση: pyac
πόλη: hsic
ήδη: hpic
γεγονός: hfat
Factive-αποδεικτικός: hfit
ακούω: hsun
ελάχιστα: hmim
ίσως: pyat
ανοιχτό: kcat
σώμα: tcic
αέρας: cwac
φύση: nyit
βοήθεια: mlat
επιστολή: lyat
τέσσερα: ksat
ευκτικός-διάθεση: hpam
φωτιά: hfak
επομένως: hyif
ώρα: hcam
δωρεάν: tyit
πόλεμος: syat
αν: hsaf
λόγος: kyan
ενωμένος: hnut
κλήση: hkuc
Γιατί: hwam
χαμένος: hkut
χίλια: tsas
οικογένεια: hfic
ψυχή: twam
ερώτηση: swac
φροντίδα: kcan
REALIS-διάθεση: hlin
μέσο: mwit
δυνητικός-διάθεση: hten
προς: cyan
allative-περίπτωση: lwik
ανθρωπική-γένος: hrin
μικρός: kyut
ικανός: hyuk
ζω: hkip
θέμα: hsek
ίδιο-θέμα-σημάδι: hcek
διαφορετικός-θέμα: hfek
απάντηση: tsat
θάλασσα: mwat
φόβος: hcoc
καταλαβαίνω: pcat
σκληρά: kyin
όροι: tyut
αμφιβολία: hdac
dubitative-διάθεση: twin
παρακαλώ: psan
όπλα: tcas
μαύρος: clis
φέρω: tyat
όμορφος: ksis
σκοτάδι: tcak
Κρατήστε: psak
δέκα: htaf
προβολή: pyan
ιστορία: hkif
κοινός: kwan
βιβλίο: hkup
ηλεκτρονικός: lyin
ομιλία: plak
σημάδι: myac
ενδιαφέρον: nyis
γράφω: kcit
κρεβάτι: pwat
απαραίτητος: syis
ιδέα: hwis
τέχνη: klat
vialis-περίπτωση: hlas
αδελφός: pyak
μερικές-φορές: ksas
γραμμή: lyan
τραπέζι: tlas
ποτάμι: nwit
μάτι: kyac
πληροφορίες: fyin
ξαφνικά: tfan
παράξενος: hgan
βαθύς: ksan
αλλαγή: hrit
συναίσθημα: nwac
συναντώ: mlit
σκοπός: htuc
ευτυχισμένος: hcuc
φαίνομαι: syit
αίμα: cyac
τριαντάφυλλο: kwas
νότος: swan
κρύο: tlat
προς-τα-εμπρός: myik
θέση: psis
αργά: tyam
στάση: syan
υποθέτω: nlas
κόρη: pyit
ορυχείο: myan
τομή: hkim
αντίγραφο: hfap
σύζυγος: hgat
έξι: hlis
θυμάμαι: twat
αποτέλεσμα: hyaf
πτώση: htuk
εκτός: hsip
μαλλιά: hpaf
πέρασμα: pyas
πνευματική-ιδιοκτησία: pcit
στρατός: cyit
τρέξιμο: kcak
άλογο: kcas
μελλοντικός: hwic
Δύση: pcak
πληρωμή: plit
κόκκινος: hyun
χρυσός: tcun
επιθυμία: hdan
παιχνίδι: plin
κύριος: mwas
γραφείο: hfus
κυβέρνηση: syak
εκκλησία: kyas
μήκος: hlen
εταιρεία: ksin
χαρτί: kyis
πιθανότητα: hbin
ειδικά: cyas
αρκούδα: pcas
παράθυρο: cyak
συμφωνία: hgac
ομορφιά: syac
δασμός: tfac
στέλνω: fyan
απόσταση: htif
σιωπή: slan
πόδι: fyat
άγριος: kyik
καλούπι: myam
αποθηκεύσετε: pfan
πράσινος: kcin
ταλαιπωρία: mlan
χαμόγελο: myak
λανθασμένος: clat
διάφορος: pcin
ύπνος: slit
quotative-περίπτωση: kwik
αρχή: cwan
δράση: kfan
επίσκεψη: fwat
ακολουθώ: nlan
δοκιμή: tcis
παρουσία: psit
γλυκός: tlit
πλούσιος: tcin
εχθρός: tcam
πλοίο: hcip
κατάσταση: kyit
συμπεριλαμβανομένου: hkum
περιεκτικός-πρόσωπο: hlon
μυστικό: kwit
precative-διάθεση: pwim
ευγενικός-μητρώο: hbit
κακό: pwac
Μάρτιος: myas
οτιδήποτε: kwac
διαμονή: hlam
αντί: plat
μπλε: plan
αδύνατος: psap
σχολείο: hsuk
ευκαιρία: ksac
παντρεμένος: nwat
τροφή: hcuk
είκοσι: tsis
ησυχία: tcit
εύκολα: hnis
υποψήφιος-άποψη: hrap
γλώσσα: lyac
έκφραση: syas
εβδομάδα: hsus
αίθουσα: hcum
κίνδυνος: kcic
ιδιοκτησία: myit
γεννημένος: nyan
δικαστήριο: kcut
γενικά: tyap
gnomic-άποψη: hmip
αξία: tyas
απλός: syap
δέντρο: pyic
πάλη: pyap
τείχος: twit
ουρανός: cwak
εναρκτικός-άποψη: htip
jussive-διάθεση: hjin
τόνος: twun
σχέση: klan
αναμένεται: pcik
μήνας: hmaf
εμπειρία: nyap
εντελώς: nyac
φρέσκο: tsac
δούκας: hnuk
σκεπαστός: kwak
όριο: hyim
Ανατολή: tyuk
πέτρα: pwan
κάπως: kfat
κατεύθυνση: tlac
καρέκλα: kwis
υποστήριξη: syut
ημερομηνία: tyic
χωριό: klac
πεδίο: clit
άδεια: nwin
επιτρεπτικός-διάθεση: hmom
επιτυχία: slak
κατάλληλος: hric
λόφος: clin
μουσική: ksik
άπω-εκδηλωτικός: hdat
απόγευμα: htup
κραυγή: hyuc
τιμή: hnaf
επτά: swit
ιδιωτικός: pfat
νέα: nwas
σκηνή: slac
κήπος: cyam
αγώνας: htus
διανεμητικές-περίπτωση: twak
μαθαίνω: clan
πολιτικός: syik
ψέμα: kcun
εκμαγείο: tsak
φάω: kcam
πάτωμα: hlaf
άρρωστος: pwin
πρωτότυπο: mlin
καλοκαίρι: kyam
θρησκεία: tlam
εικόνα: ksit
διαφυγή: plap
συγγραφέας: hlut
καστανός: pyun
αποφασισμένος: htem
πόνος: hdon
άνοιξη: psin
αιώνας: syic
μαλακός: mwan
γωνία: kyun
παράγω: psas
γέλιο: cyaf
ξεχνώ: flat
Ευρώπη: hyup
οκτώ: lwat
φόρεμα: lwac
τρομερός: cyap
αναπνοή: syaf
σοφός: hbas
κτητικός-σημάδι: srak
μνήμη: myin
σύγχρονος: fwan
σημείο: tcap
αύξηση: hyus
διακοπή: pyik
πενήντα: hfis
νησί: tlap
επαφή: hsuc
υπόσχεση: pcam
commissive-διάθεση: mwin
βαθμός: tfat
σχέδιο: plac
συμπεριφορά: nyak
έκπληξη: cran
λεπτό: hmun
βολή: hwut
χειρότερος: pcap
ποτήρι: klak
παράδειγμα: tlin
ασφαλής: hsif
γιατρός: tsit
completive-άποψη: hmep
αλλεπάλληλος: tyun
στρατιωτικός: slin
ζεστός: nyam
ποτό: pfin
ερωτήσεις: pcaf
θυμός: nran
κατευθείαν: tyik
καπέλο: hcup
σκύλος: kwap
υπηρέτης: hnuc
υπερηφάνεια: hram
πλήθος: tcuc
τρένο: nyin
ηθικός: myut
σχετίζονται: kyim
εισάγω: fyak
κανόνας: nyas
σπαθί: cwat
επίθεση: kfak
υγεία: clac
παράγραφος: pyaf
κοινωνικός: hsum
επιστροφή-χρημάτων: tfit
Συγνώμη: hpec
θάρρος: krac
χάρη: hnen
επίσημος-ανώτερος-υπάλληλος: hfaf
υπό-την-προϋπόθεση: tsik
αίτηση: pwit
ματιά: klas
κίνηση: hyon
αναμένω: cwit
απέναντι: psam
δώδεκα: tyaf
αρραβωνιασμένος: nyut
κρασί: hwun
γεύση: swut
σίδερο: fyac
διανέμω: syin
εμπόριο: myap
πλεονέκτημα: twac
ρούχα: kfip
δικαστής: fwak
διαφορά: tfaf
ανήσυχος: kcis
καπετάνιος: kwin
πεπερασμένος: nlat
παύση-άποψη: hsep
περίεργος: kyic
αλλοδαπός: kwic
ενισχυτή: hnif
σπουδαιότητα: myun
τελικά: hfim
νομοσχέδιο: fwin
αποδεικνύω: hpuk
αποτρέψει: flan
λαιμός: cyun
νομικός: hfik
ξηρός: swak
σερβίρισμα: syam
χάνω: pcut
απόδειξη: pyut
αποδεικτικός-περίπτωση: hdak
πρόοδος: pyis
κτίριο: klit
έρευνα: syuc
λυπημένος: hrac
αμαρτία: psip
τριάντα: tfis
τίμιος: tsin
κλειστός: kyap
τράπεζα: pcun
μοίρα: cyik
δάσος: hfun
μέτρο: mlac
αλλιώς: htoc
ρεύμα: lyam
ψωμί: hpup
επιπλέον: tfak
επιλέγω: twas
ζώο: nwam
ζωικός-γένος: hzin
eventive-διάθεση: hwim
ίδιο-συμβάν-σημάδι: hcom
πολλαπλασιαστική-περίπτωση: tlak
πυκνός: hmus
πλάσμα: hyum
βροχή: myic
επιφάνεια: pfas
άγιος: swis
Ιούλιος: clim
έκθεση: hfut
ακτή: pwas
αρχείο: hfif
ώμος: cwut
έκπληκτος: kran
βασιλικός: klik
τραγούδι: hkuf
άνεση: kfaf
κάποιος: nyic
γρασίδι: kcap
ισοπαλία: cwik
άνοιγμα: cyic
Ιούνιος: cwun
ψάρι: mlic
κεφάλαιο: klin
στήθος: cyut
χιόνι: hcif
εκπαίδευση: tlik
αιχμηρός: tcaf
κρίμα: hdam
δαπάνη: fyas
δικό-σου: hmuc
εκατομμύριο: mlun
κουρασμένος: tcik
σκοτώνω: ksam
σκιά: cwap
βάρος: plas
μάζα: mlas
καθιερωμένος: tlip
γενναίος: pyam
λεπτός: plic
ικανοποιημένοι: srat
έλεγχος: kcik
αρετή: hdet
εθνικός: nyaf
θεϊκός: swin
κοιλάδα: clak
εικασία: kwam
κερδοσκοπικός-διάθεση: hken
κίτρινος: clas
λείψανα: mwac
κλίση: nlac
κουτί: pwak
εποχή: tsim
επιστήμη: slas
οπή: kcuc
θείος: hmuk
λίστα: lyit
Αύγουστος: ksut
δημοφιλής: hlup
άγνωστος: fyit
οικείος: flak
οικείος-μητρώο: krit
αναγνώστης: tsut
προσέγγιση: pcuc
δυο-φορές: tsap
διανοούμενος: tfik
όντως: tsam
παπάς: pcis
τραυματίας: fran
λύπη: hpom
παλάτι: kfas
ρυθμός: clap
ε;: hnec
ανόητος: myuk
άκρη: pfac
εννέα: nwun
έκρηξη: psut
υποφέρω: tfas
θόρυβος: hcus
βιβλιογραφία: lyic
συμβουλή: swas
αδειάζω: kcuk
τάξη: psik
καταιγίδα: tcut
τσέπη: kyip
φαντασία: nlin
ποινή: cwas
Νοέμβριος: nwap
Δεκέμβριος: tsip
απουσία: psic
ευχαριστώ: ryak
διεύθυνση: tyis
πουλί: pyuc
ιδιοκτήτης: mlik
παλτό: kwut
προετοιμάζω: tyip
συγγένειες: lwan
καπνός: htum
Ιανουάριος: nwak
μηχανή: clic
περιεχόμενο: nyik
δόντια: tlis
ντροπή: hcet
κόλπος: kcaf
εγκέφαλος: pyuk
δαχτυλίδι: klic
φράση-σημάδι: frak
πλατεία: ksap
καρπός: fyut
τσάι: tsic
εξηγώ: slam
καλωσόρισμα: cwam
ποίηση: pwis
αγορά: klam
πιστός: hdic
έξαψη: hcen
σαράντα: klis
Απρίλιος: pyip
ευγενώς: kfit
