infinitive: ni
nominative-case: na
accusative-case: ka
topic-case: ta
hello: ca
genitive-case: sa
adjective: ci
and: wa
me: mi
you: ya
us: nlah
it: yi
destination-case: ti
dative-case: pa
interior-context: tu
person-context: pi
dependent-clause: yu
perfective-aspect: fa
past-tense: ki
masculine-gender: si
comitative-case: mwih
present-tense: ma
benefactive-case: pwah
essive-case: swih
not: nu
its: tsih
surface-context: su
adpositional-case: pu
location-case: te
space-context: no
way-case: ra
instrumental-case: se
interrogative-mood: ri
and-or: to
exclusive-or: ku
source-case: so
ablative-case: lwah
demonstrative: di
but: la
feminine-gender: ne
plural-number: lu
future-tense: we
social-context: mo
imperfective-aspect: me
there: klah
conditional-mood: co
more: kcoh
elative-case: nwih
illative-case: lwih
directive-mood: de
deontic-mood: da
question-word: slah
copula: ksah
person: psoh
other: tcoh
number: do
very: tcah
time: trah
time-context: ro
temporal-case: mrah
about: ke
epistemic-mood: pe
only: twuh
then: pcah
hortative-mood: twah
retrospective-aspect: rwih
volitive-mood: li
before: tceh
after: ba
alienable-possession: lyih
inalienable-possession: nlih
deliberative-mood: drih
perlative-case: pwih
progressive-aspect: psih
here: tcih
under-context: ce
delative-case: dwih
semelfactive-aspect: mweh
neo: nyoh
focus: fo
love: pyah
paucal-number: ploh
because: yo
causal-case: ksih
name: gi
proper-noun: tsah
hortative: re
visible-evidential: crih
desiderative-mood: dwah
terminative-case: twih
inessive-case: nweh
imperative-mood: prih
believe: kcah
state-context: ga
hope: cwah
factive-evidential: fwih
optative-mood: pcih
realis-mood: le
potential-mood: tlah
allative-case: lweh
anthropic-gender: fi
subject: wo
same-subject-marker: cyah
different-subject: fe
fear: ko
doubt: cu
dubitative-mood: tweh
interest: nyih
vialis-case: wi
strange: trih
change: ryih
happy: clah
except: swah
desire: kwah
length: lo
probability: bi
agreement: grah
trouble: mlah
quotative-case: kwih
inclusive-person: lwoh
precative-mood: rwah
polite-register: brih
prospective-aspect: tfah
gnomic-aspect: go
inchoative-aspect: zi
jussive-mood: jwih
permissive-mood: mwah
proper: kcih
distal-demonstrative: tseh
distributive-case: nwah
determined: treh
pain: droh
wise: ja
possessive-marker: srah
commissive-mood: mu
surprise: crah
completive-aspect: kweh
anger: nrah
pride: brah
sorry: pceh
courage: krah
grace: nreh
movement: mroh
anxious: cwih
cessative-aspect: za
intensifier: tfih
evidential-case: ryah
sad: syah
otherwise: tyah
zoic-gender: zo
eventive-mood: nwoh
same-event-marker: cwoh
multiplicative-case: plah
surprised: prah
pity: lyah
mass: mlih
satisfied: srih
virtue: be
speculative-mood: po
familiar-register: krih
wounded: frah
sorrow: proh
eh?: nyah
thank: kyah
shame: ru
phrase-marker: fyah
faithful: cyih
excitement: tyeh
hesternal-tense: tleh
hate: tyih
rational-gender: tlih
extreme: kreh
vegetal-gender: slih
curiosity: kyih
frightened: kcuh
article: myah
benedictive-mood: bwih
guilty: dlih
ignorant: nrih
generous: drah
initiative-case: twoh
delayed-imperative: ji
reported-evidential: psah
blame: dlah
misery: kfah
singular-number: gu
forgive: pfah
patience: je
referential: freh
lonely: kyoh
charm: croh
enthusiasm: tsuh
inductive-mood: tcuh
discourse-context: ye
vocative-case: bo
contempt: grih
admonitive-mood: tyuh
ambition: bwah
continuous-aspect: nyeh
direct-evidential: troh
apprehensive-mood: pcoh
shock: cruh
recent-past-tense: clih
definite-article: klih
jealous: ryuh
imprecative-mood: mrih
indifference: du
assumptive-mood: syih
injury: kroh
protasis: rwoh
hostile: cyuh
mimetic: mreh
namely: gwih
hodiernal-tense: dloh
delimitative-aspect: dweh
exclusive-person: kwuh
telic-aspect: tfeh
atelic-aspect: tsoh
prohibitive-mood: jrih
torture: nroh
loyalty: nloh
momentane-aspect: myeh
forgiveness: jrah
humble-register: myih
former-deceased: frih
quote: wu
annoyance: zrah
habitual-aspect: bu
consequential: kseh
diligence: dyih
formal-register: sreh
auditory-evidential: creh
conjunction: ksoh
inferential-evidential: flih
expletive: sleh
sublative-case: swoh
declarative-mood: ksuh
verbal: kceh
affirmative-mood: fwah
dissatisfaction: dyah
ideophone: dyoh
exessive-case: zwah
irrealis-mood: ze
shyness: cyoh
adaptation: pyih
pronoun-marker: ryeh
oppress: zroh
equanimity: jyah
pegative-case: pweh
prosecutive-case: pwuh
preoccupation: byah
participle: pfih
remote-past-tense: dzah
historic-tense: sroh
hysteria: syeh
dual-number: dluh
sensory-evidential-mood: xi
motion-uphill: ryoh
retrospective: txih
motion-downhill: myoh
inflected: blih
superessive-case: psuh
transitive: t6
frustration: xrah
motion-upriver: truh
motion-downriver: txah
disjunction: xo
anticlimax: tloh
current-relevance-marker: xa
acronym: qi
initialism: nl6h
gerund: ge
preterite: preh
aorist: broh
partitive-case: pxih
epiphany: pf6h
augmentative: xe
phobia: xyoh
determiner: txeh
predicative: plih
prolative-case: pxah
veridical: vyih
binary-value: vrih
finite-verb: vi
trial-number: pc6h
pro-sentence: r6
friendship: va
gnomic-mood: kxih
centric-case: dreh
prehodiernal: x6
patient-case: qa
oblique-case: bwoh
middle-voice: tyoh
identifiable: xyah
goal-trigger: groh
lative-case: dvah
non-human: n6
attenuative: nyuh
multal-number: mloh
trans-numeral: ts6h
galaxy-gender: gjah
byebye: jwah
abessive-case: bvah
adessive-case: dvih
to-case: kxah
agentive-case: dveh
agent-trigger: greh
actor-role: nruh
common-gender: k6
accompanier: kloh
passive-voice: pyoh
star-gender: qrah
citation-form: xu
verbal-noun: xlih
clause-tail: kluh
direct-object: rweh
ergative-case: gvih
in-language: byih
locative-case: kwoh
adverbial-case: vlah
final-particle: nluh
evitative-case: ve
posessive-case: kfih
