infinitive: hnit
nominative-case: hnak
accusative-case: hkak
topic-case: htak
parent: hmat
dad: hpap
mom: hmam
hello: hnat
ancestor: htat
grandparent: hyat
hungry: hcac
genitive-case: hnik
adjective: hcit
and: hwan
me: hmic
you: hnan
us: hnam
it: hyic
destination-case: htas
dative-case: htik
interior-context: htis
person-context: hpak
dependent-clause: htan
perfective-aspect: htap
past-tense: hkat
masculine-gender: hsan
comitative-case: hmik
present-tense: hyan
benefactive-case: hpik
essive-case: swik
not: hnic
its: hsis
surface-context: hsak
adpositional-case: hpan
location-case: hwak
space-context: hnos
way-case: hrak
instrumental-case: hsik
which: hkan
interrogative-mood: hnim
and-or: htam
exclusive-or: hkit
source-case: hsok
ablative-case: hlak
demonstrative: hdit
but: hlan
all: hsut
feminine-gender: hnin
they: hwin
plural-number: hlun
one: hyik
future-tense: hwet
social-context: hson
when: hkap
imperfective-aspect: hmap
there: hkac
conditional-mood: hcan
more: hdoc
out: htac
elative-case: hrik
illative-case: hlik
do: hkas
directive-mood: hden
deontic-mood: hdim
question-word: hwac
copula: hkok
person: hpon
male: hman
could: kwat
other: hcon
number: hnoc
very: tcac
time: htim
time-context: htos
temporal-case: hmak
about: hkam
epistemic-mood: hsim
only: htun
little: hcak
then: pcan
hortative-mood: hton
retrospective-aspect: hrip
great: hcat
volitive-mood: hlim
before: hsec
must: pcic
two: htut
see: tcan
know: hsat
down: hcin
after: hcas
first: hpas
own: hpun
alienable-possession: hlic
never: hnac
inalienable-possession: hkic
old: hwat
deliberative-mood: hcim
day: htin
where: hnap
come: hlat
way: hyas
work: hkaf
vowel: hwaf
go: hkun
perlative-case: pwik
progressive-aspect: hpip
long: hlac
say: hsac
how: hkin
even: hpit
back: hwap
here: hcic
think: hcik
same: hsam
last: kcac
away: twan
under-context: hnas
take: htit
found: hfan
hand: cyat
young: hyac
though: hyap
give: hkik
god: hmac
delative-case: lwak
nothing: hmin
right: hyit
once: hyam
semelfactive-aspect: fwip
part: hpat
saw: htic
house: hfas
world: tcat
head: hcaf
three: tyin
neo: hnon
focus: hcok
love: hpac
always: hsit
night: hwit
each: hmit
king: hyak
between: hsin
heart: cyin
paucal-number: plom
because: hyok
causal-case: ksak
thing: hkis
set: swat
name: hnem
proper-noun: hran
hortative: hrat
country: hlit
asked: hput
