infinitivo: ni
nominativo-caso: na
acusativo-caso: ka
tema-caso: ta
Hola: ca
genitivo-caso: sa
adjetivo: ci
y: wa
yo: mi
usted: ya
nos: nlah
ello: yi
destino-caso: ti
dativo-caso: pa
interior-contexto: tu
persona-contexto: pi
dependiente-cláusula: yu
perfectivo-aspecto: fa
pasado-tiempo: ki
masculino-género: si
comitative-caso: mwih
presente-tiempo: ma
benefactivo-caso: pwah
essive-caso: swih
no: nu
sus: tsih
superficie-contexto: su
adpositional-caso: pu
ubicación-caso: te
espacio-contexto: no
camino-caso: ra
instrumental-caso: se
interrogativo-estado-animico: ri
y-o: to
exclusivo-o: ku
fuente-caso: so
ablativo-caso: lwah
demostrativo: di
pero: la
femenino-género: ne
plural-número: lu
futuro-tiempo: we
social-contexto: mo
imperfective-aspecto: me
allí: klah
condicional-estado-animico: co
Más: kcoh
relativo-caso: nwih
ilativo-caso: lwih
directiva-estado-animico: de
deóntica-estado-animico: da
pregunta-palabra: slah
cópula: ksah
la-persona: psoh
otro: tcoh
número: do
muy: tcah
hora: trah
hora-contexto: ro
temporal-caso: mrah
acerca-de: ke
epistémica-estado-animico: pe
sólo: twuh
en-ese-caso: pcah
hortative-estado-animico: twah
retrospectivo-aspecto: rwih
volitivo-estado-animico: li
antes-de: tceh
después: ba
alienable-posesión: lyih
inalienable-posesión: nlih
deliberativo-estado-animico: drih
perlative-caso: pwih
progresivo-aspecto: psih
aquí: tcih
debajo-contexto: ce
delative-caso: dwih
semelfactive-aspecto: mweh
neo: nyoh
atención: fo
amor: pyah
paucal-número: ploh
porque: yo
causal-caso: ksih
nombre: gi
apropiado-sustantivo: tsah
hortative: re
visible-probatorio: crih
desiderativo-estado-animico: dwah
terminative-caso: twih
inesivo-caso: nweh
imperativo-estado-animico: prih
creer: kcah
estado-contexto: ga
esperanza: cwah
Factive-probatorio: fwih
optativo-estado-animico: pcih
realis-estado-animico: le
potencial-estado-animico: tlah
allativo-caso: lweh
antrópico-género: fi
sujeto: wo
mismo-tema-marcador: cyah
diferente-tema: fe
miedo: ko
duda: cu
dubitativo-estado-animico: tweh
interesar: nyih
vialis-caso: wi
extraño: trih
cambiar: ryih
feliz: clah
excepto: swah
deseo: kwah
largo: lo
probabilidad: bi
acuerdo: grah
problema: mlah
de-citación-caso: kwih
inclusivo-la-persona: lwoh
precative-estado-animico: rwah
Cortés-registro: brih
futuro-aspecto: tfah
gnomic-aspecto: go
incoativo-aspecto: zi
yusivo-estado-animico: jwih
permisivo-estado-animico: mwah
apropiado: kcih
distal-demostrativo: tseh
distributivo-caso: nwah
determinado: treh
dolor: droh
sabio: ja
posesivo-marcador: srah
comisivos-estado-animico: mu
sorpresa: crah
definitivo-aspecto: kweh
enfado: nrah
orgullo: brah
lo-lamento: pceh
valor: krah
gracia: nreh
movimiento: mroh
ansioso: cwih
cesación-aspecto: za
intensificador: tfih
probatorio-caso: ryah
triste: syah
de-otra-manera: tyah
zoico-género: zo
eventivo-estado-animico: nwoh
mismo-evento-marcador: cwoh
multiplicativo-caso: plah
sorprendido: prah
lástima: lyah
masa: mlih
satisfecho: srih
virtud: be
especulativo-estado-animico: po
familiar-registro: krih
herido: frah
dolor: proh
¿eh?: nyah
gracias: kyah
vergüenza: ru
frase-marcador: fyah
fiel: cyih
emoción: tyeh
hesternal-tiempo: tleh
odio: tyih
racional-género: tlih
extremo: kreh
vegetal-género: slih
curiosidad: kyih
asustado: kcuh
artículo: myah
bendición-estado-animico: bwih
culpable: dlih
ignorante: nrih
generoso: drah
iniciativa-caso: twoh
retrasado-imperativo: ji
reportado-probatorio: psah
culpa: dlah
miseria: kfah
singular-número: gu
perdonar: pfah
paciencia: je
referencial: freh
solitaria: kyoh
encanto: croh
entusiasmo: tsuh
inductivo-estado-animico: tcuh
discurso-contexto: ye
vocativo-caso: bo
desprecio: grih
amonestación-estado-animico: tyuh
ambición: bwah
continuo-aspecto: nyeh
directo-probatorio: troh
aprensivo-estado-animico: pcoh
choque: cruh
reciente-pasado-tiempo: clih
definido-artículo: klih
celoso: ryuh
imprecatorio-estado-animico: mrih
indiferencia: du
assumptive-estado-animico: syih
lesión: kroh
protasis: rwoh
hostil: cyuh
mimético: mreh
a-saber: gwih
hodierno-tiempo: dloh
delimitative-aspecto: dweh
exclusivo-la-persona: kwuh
télica-aspecto: tfeh
atelic-aspecto: tsoh
prohibitivo-estado-animico: jrih
tortura: nroh
lealtad: nloh
momentane-aspecto: myeh
perdón: jrah
humilde-registro: myih
ex-fallecido: frih
citar: wu
molestia: zrah
habitual-aspecto: bu
consecuente: kseh
diligencia: dyih
formal-registro: sreh
auditivo-probatorio: creh
conjunción: ksoh
inferencial-probatorio: flih
expletivo: sleh
Sublative-caso: swoh
declarativo-estado-animico: ksuh
verbal: kceh
afirmativo-estado-animico: fwah
insatisfacción: dyah
idiophone: dyoh
excesivo-caso: zwah
irrealis-estado-animico: ze
timidez: cyoh
adaptación: pyih
pronombre-marcador: ryeh
oprimir: zroh
ecuanimidad: jyah
pegative-caso: pweh
prosecutive-caso: pwuh
preocupación: byah
participio: pfih
remoto-pasado-tiempo: dzah
histórico-tiempo: sroh
histeria: syeh
dual-número: dluh
sensorial-probatorio-estado animico: xi
movimiento-cuesta-arriba: ryoh
retrospectivo: txih
movimiento-cuesta-abajo: myoh
declinada: blih
superessive-caso: psuh
transitivo: t6
frustración: xrah
movimiento-río-arriba: truh
movimiento-río-abajo: txah
disyunción: xo
anticlímax: tloh
corriente-pertinencia-marcador: xa
acrónimo: qi
initialism: nl6h
gerundio: ge
pretérito: preh
aoristo: broh
partitivo-caso: pxih
Epifanía: pf6h
aumentativo: xe
fobia: xyoh
determinador: txeh
predicativo: plih
prolative-caso: pxah
verídico: vyih
binary--valor: vrih
finito-verbo: vi
prueba-número: pc6h
Pro-frase: r6
amistad: va
gnomic-estado-animico: kxih
céntrico-caso: dreh
hodierno-pre: x6
paciente-caso: qa
oblicuo-caso: bwoh
medio-voz: tyoh
identificable: xyah
Gol-desencadenar: groh
lative-caso: dvah
no-humano: n6
atenuantes: nyuh
multal-número: mloh
trans-número: ts6h
galaxia-género: gjah
adiós: jwah
abessive-caso: bvah
adesivo-caso: dvih
a-caso: kxah
agentiva-caso: dveh
agente-desencadenar: greh
actor-papel: nruh
común-género: k6
acompañante: kloh
pasivo-voz: pyoh
estrella-género: qrah
citación-formar: xu
verbal-sustantivo: xlih
cláusula-de-la cola: kluh
directo-objeto: rweh
ergative-caso: gvih
en-su-idioma: byih
locativo-caso: kwoh
adverbial-caso: vlah
final-partícula: nluh
evitative-caso: ve
posesivo-caso: kfih
nominalización: mleh
poseído-caso: djah
auxiliar-verbo: fyih
primario-objeto: myuh
antessive-caso: nleh
animar-género: xrih
subessive-caso: bvih
vehículo-género: vlih
mineral-género: xwih
verbo---sufijo: kxeh
empático-alegría: pfeh
cambio-de-evento: qrih
diferente-evento: txoh
universo-género: bjih
localidad-género: lyeh
investigación-género: txuh
artístico-género: s6
crastinal-tiempo: sl6h
abstracto-género: sruh
exocéntrica-caso: zrih
transitivo-verbo: tfoh
pasado-perfectivo: tr6h
indirecto-habla: dyeh
segundo-idioma: sr6h
colectivo-sustantivo: kxoh
absolutive-caso: bvuh
paciente-desencadenar: pruh
yo-confianza: swuh
reflexivo-voz: flah
impersonal-verbo: pseh
modal-caso: dleh
inanimado-género: djih
causante: kruh
propositiva-estado-animico: pxoh
eléctrico-corriente: breh
de-asociación-caso: sloh
superlativo-caso: sluh
planetario-género: pxeh
recíproco-voz: syoh
núcleo-benefactivo: kfeh
else-if: kyeh
sucesivo-cláusula: lyoh
pronto-futuro-tiempo: rwuh
aplicativo-voz: pyuh
antipasiva-voz: ps6h
continuativas-aspecto: tfuh
necessitative-estado-animico: nr6h
soltero-acción-verbo: qyah
superlativo-la-licenciatura: tluh
existencial-cláusula: sy6h
presente-participio: vrah
luminoso-intensidad: kyuh
singulativo-número: glih
pasivo-participio: pfoh
excesivo-duración: kxuh
cantidad-de-sustancia: m6
postposicional-caso: pwoh
electivo-cuantificador: vwih
epentético-morfema: p6
negativo-cuantificador: gwah
conectivo-partícula: qyih
remoto-futuro-tiempo: tl6h
frecuentativo-aspecto: f6
distributivo-pronombre: bzih
alocución-acuerdo: ks6h
universal-cuantificador: xlah
de-punto-flotante de números: fu
existencial-cuantificador: sweh
alternativa-cuantificador: l6
