infinitivo: hnit
nominativo-caso: hnak
acusativo-caso: hkak
tema-caso: htak
padre: hmat
padre: hpap
mamá: hmam
Hola: hnat
antepasado: htat
abuelo: hyat
hambriento: hcac
genitivo-caso: hnik
adjetivo: hcit
y: hwan
yo: hmic
usted: hnan
nos: hnam
ello: hyic
destino-caso: htas
dativo-caso: htik
interior-contexto: htis
persona-contexto: hpak
dependiente-cláusula: htan
perfectivo-aspecto: htap
pasado-tiempo: hkat
masculino-género: hsan
comitative-caso: hmik
presente-tiempo: hyan
benefactivo-caso: hpik
essive-caso: swik
no: hnic
sus: hsis
superficie-contexto: hsak
adpositional-caso: hpan
ubicación-caso: hwak
espacio-contexto: hnos
camino-caso: hrak
instrumental-caso: hsik
cual: hkan
interrogativo-estado-animico: hnim
y-o: htam
exclusivo-o: hkit
fuente-caso: hsok
ablativo-caso: hlak
demostrativo: hdit
pero: hlan
todas: hsut
femenino-género: hnin
ellos: hwin
plural-número: hlun
uno: hyik
futuro-tiempo: hwet
social-contexto: hson
cuando: hkap
imperfective-aspecto: hmap
allí: hkac
condicional-estado-animico: hcan
Más: hdoc
fuera: htac
relativo-caso: hrik
ilativo-caso: hlik
hacer: hkas
directiva-estado-animico: hden
deóntica-estado-animico: hdim
pregunta-palabra: hwac
cópula: hkok
la-persona: hpon
masculino: hman
podría: kwat
otro: hcon
número: hnoc
muy: tcac
hora: htim
hora-contexto: htos
temporal-caso: hmak
acerca-de: hkam
epistémica-estado-animico: hsim
sólo: htun
pequeña: hcak
en-ese-caso: pcan
hortative-estado-animico: hton
retrospectivo-aspecto: hrip
estupendo: hcat
volitivo-estado-animico: hlim
antes-de: hsec
debe: pcic
dos: htut
ver: tcan
saber: hsat
abajo: hcin
después: hcas
primero: hpas
propio: hpun
alienable-posesión: hlic
Nunca: hnac
inalienable-posesión: hkic
antiguo: hwat
deliberativo-estado-animico: hcim
día: htin
donde: hnap
ven: hlat
camino: hyas
trabajo: hkaf
vocal: hwaf
ir: hkun
perlative-caso: pwik
progresivo-aspecto: hpip
largo: hlac
decir: hsac
cómo: hkin
incluso: hpit
atrás: hwap
aquí: hcic
pensar: hcik
mismo: hsam
último: kcac
fuera: twan
debajo-contexto: hnas
llevar: htit
encontrado: hfan
mano: cyat
joven: hyac
aunque: hyap
dar: hkik
Dios: hmac
delative-caso: lwak
nada: hmin
correcto: hyit
una-vez: hyam
semelfactive-aspecto: fwip
parte: hpat
Sierra: htic
casa: hfas
mundo: tcat
cabeza: hcaf
Tres: tyin
neo: hnon
atención: hcok
amor: hpac
siempre: hsit
noche: hwit
cada: hmit
Rey: hyak
Entre: hsin
corazón: cyin
paucal-número: plom
porque: hyok
causal-caso: ksak
cosa: hkis
conjunto: swat
nombre: hnem
apropiado-sustantivo: hran
hortative: hrat
país: hlit
preguntó: hput
visible-probatorio: crit
mejor: pcac
lado: psac
