ﺭﺪﺼﻣ: ni
ﯽﻠﻋﺎﻓ-ﺩﺭﻮﻣ: na
ﯽﻣﺎﻬﺗﺍ-ﺩﺭﻮﻣ: ka
ﻉﻮﺿﻮﻣ-ﺩﺭﻮﻣ: ta
ﺩﻭﺭﺩ: ca
ﻪﯿﻟﺍ-ﻑﺎﻀﻣ-ﺖﻟﺎﺣ ﺩﺭﻮﻣ: sa
ﺖﻔﺻ: ci
ﻭ: wa
ﻦﻣ-ﻪﺑ: mi
ﺎﻤﺷ: ya
ﺎﻣ: nlah
IT: yi
ﺪﺼﻘﻣ-ﺩﺭﻮﻣ: ti
ﯽﻟﻮﻌﻔﻣ-ﺖﻟﺎﺣ-ﺩﺭﻮﻣ: pa
ﯽﻠﺧﺍﺩ-ﻪﻨﯿﻣﺯ: tu
ﺺﺨﺷ-ﻪﻨﯿﻣﺯ: pi
ﻪﺘﺴﺑﺍﻭ-ﺪﻨﺑ: yu
perfective-ﻪﺒﻨﺟ: fa
ﻪﺘﺷﺬﮔ-ﺖﻔﺳ: ki
ﻪﻧﺍﺩﺮﻣ-ﺲﻨﺟ: si
comitative-ﺩﺭﻮﻣ: mwih
ﺮﺿﺎﺣ-ﺖﻔﺳ: ma
benefactive-ﺩﺭﻮﻣ: pwah
essive-ﺩﺭﻮﻣ: swih
ﻪﻧ: nu
ﻥﺁ: tsih
ﺢﻄﺳ-ﻪﻨﯿﻣﺯ: su
adpositional-ﺩﺭﻮﻣ: pu
ﻞﺤﻣ-ﺩﺭﻮﻣ: te
ﺎﻀﻓ-ﻪﻨﯿﻣﺯ: no
ﺮﯿﺴﻣ-ﺩﺭﻮﻣ: ra
ﻪﻠﯿﺳﻭ-ﺩﺭﻮﻣ: se
ﯽﺸﺳﺮﭘ-ﺖﻟﺎﺣ: ri
ﻭ-ﺎﯾ: to
ﺎﯾ-ﺩﺮﻓ-ﻪﺑ ﺮﺼﺤﻨﻣ: ku
ﻊﺒﻨﻣ-ﺩﺭﻮﻣ: so
ﻊﻓﺍﺭ-ﺩﺭﻮﻣ: lwah
ﯽﺸﯾﺎﻤﻧ: di
ﺎﻣﺍ: la
ﻪﻧﺎﻧﺯ-ﺲﻨﺟ: ne
ﻊﻤﺟ-ﺩﺪﻋ: lu
ﻩﺪﻨﯾﺁ-ﺖﻔﺳ: we
ﯽﻋﺎﻤﺘﺟﺍ-ﻪﻨﯿﻣﺯ: mo
ﺏﻮﯿﻌﻣ-ﻪﺒﻨﺟ: me
ﺎﺠﻧﺁ: klah
ﻁﻭﺮﺸﻣ-ﺖﻟﺎﺣ: co
ﺶﯿﺑ: kcoh
ﯽﻠﯿﻣﺎﻓ-ﺖﺒﺴﻧ-ﺩﺭﻮﻣ: nwih
ﯽﻃﺎﺒﻨﺘﺳﺍ-ﺩﺭﻮﻣ: lwih
ﺩﻮﻤﻨﻫﺭ-ﺖﻟﺎﺣ: de
deontic-ﺖﻟﺎﺣ: da
ﻝﺍﻮﺳ-ﻪﻤﻠﮐ: slah
ﻂﺑﺍﺭ-ﻮﻀﻋ: ksah
ﺺﺨﺷ: psoh
ﺮﮕﯾﺩ: tcoh
ﺩﺪﻋ: do
ﺭﺎﯿﺴﺑ: tcah
ﻥﺎﻣﺯ: trah
ﻥﺎﻣﺯ-ﻪﻨﯿﻣﺯ: ro
ﯽﻧﺎﻣﺯ-ﺩﺭﻮﻣ: mrah
ﻩﺭﺎﺑ-ﺭﺩ: ke
ﯽﺘﻓﺮﻌﻣ-ﺖﻟﺎﺣ: pe
ﻂﻘﻓ: twuh
ﻊﻗﻮﻣ-ﻥﻭﺍ: pcah
ﺰﯿﻣﺍ-ﺖﺤﯿﺼﻧ-ﺖﻟﺎﺣ: twah
ﺮﮕﻧ-ﻪﺘﺷﺬﮔ-ﻪﺒﻨﺟ: rwih
volitive-ﺖﻟﺎﺣ: li
ﺯﺍ-ﻞﺒﻗ: tceh
ﺯﺍ-ﺪﻌﺑ: ba
ﻝﺎﻘﺘﻧﺍ-ﻞﺑﺎﻗ-ﻦﺘﺷﺍﺩ ﺭﺎﯿﺘﺧﺍ ﺭﺩ: lyih
ﺍﺰﺠﺘﯾﻻ﻿-ﻦﺘﺷﺍﺩ-ﺭﺎﯿﺘﺧﺍ ﺭﺩ: nlih
ﯽﺗﺭﻮﺸﻣ-ﺖﻟﺎﺣ: drih
perlative-ﺩﺭﻮﻣ: pwih
ﯽﻗﺮﺘﻣ-ﻪﺒﻨﺟ: psih
ﺎﺠﻨﯾﺍ: tcih
ﺮﯾﺯ-ﻪﻨﯿﻣﺯ: ce
delative-ﺩﺭﻮﻣ: dwih
semelfactive-ﻪﺒﻨﺟ: mweh
ﻮﺌﻧ: nyoh
ﺰﮐﺮﻤﺗ: fo
