ﺭﺪﺼﻣ: hnit
ﯽﻠﻋﺎﻓ-ﺩﺭﻮﻣ: hnak
ﯽﻣﺎﻬﺗﺍ-ﺩﺭﻮﻣ: hkak
ﻉﻮﺿﻮﻣ-ﺩﺭﻮﻣ: htak
ﻦﯾﺪﻟﺍﻭ: hmat
ﺭﺪﭘ: hpap
ﺭﺩﺎﻣ: hmam
ﺩﻭﺭﺩ: hnat
ﺪﺟ: htat
ﻩﺪﺟ-ﺎﯾ-ﺪﺟ: hyat
ﻪﻨﺳﺮﮔ: hcac
ﻪﯿﻟﺍ-ﻑﺎﻀﻣ-ﺖﻟﺎﺣ ﺩﺭﻮﻣ: hnik
ﺖﻔﺻ: hcit
ﻭ: hwan
ﻦﻣ-ﻪﺑ: hmic
ﺎﻤﺷ: hnan
ﺎﻣ: hnam
IT: hyic
ﺪﺼﻘﻣ-ﺩﺭﻮﻣ: htas
ﯽﻟﻮﻌﻔﻣ-ﺖﻟﺎﺣ-ﺩﺭﻮﻣ: htik
ﯽﻠﺧﺍﺩ-ﻪﻨﯿﻣﺯ: htis
ﺺﺨﺷ-ﻪﻨﯿﻣﺯ: hpak
ﻪﺘﺴﺑﺍﻭ-ﺪﻨﺑ: htan
perfective-ﻪﺒﻨﺟ: htap
ﻪﺘﺷﺬﮔ-ﺖﻔﺳ: hkat
ﻪﻧﺍﺩﺮﻣ-ﺲﻨﺟ: hsan
comitative-ﺩﺭﻮﻣ: hmik
ﺮﺿﺎﺣ-ﺖﻔﺳ: hyan
benefactive-ﺩﺭﻮﻣ: hpik
essive-ﺩﺭﻮﻣ: swik
ﻪﻧ: hnic
ﻥﺁ: hsis
ﺢﻄﺳ-ﻪﻨﯿﻣﺯ: hsak
adpositional-ﺩﺭﻮﻣ: hpan
ﻞﺤﻣ-ﺩﺭﻮﻣ: hwak
ﺎﻀﻓ-ﻪﻨﯿﻣﺯ: hnos
ﺮﯿﺴﻣ-ﺩﺭﻮﻣ: hrak
ﻪﻠﯿﺳﻭ-ﺩﺭﻮﻣ: hsik
ﻪﮐ: hkan
ﯽﺸﺳﺮﭘ-ﺖﻟﺎﺣ: hnim
ﻭ-ﺎﯾ: htam
ﺎﯾ-ﺩﺮﻓ-ﻪﺑ ﺮﺼﺤﻨﻣ: hkit
ﻊﺒﻨﻣ-ﺩﺭﻮﻣ: hsok
ﻊﻓﺍﺭ-ﺩﺭﻮﻣ: hlak
ﯽﺸﯾﺎﻤﻧ: hdit
ﺎﻣﺍ: hlan
ﻪﻤﻫ: hsut
ﻪﻧﺎﻧﺯ-ﺲﻨﺟ: hnin
ﺎﻬﻧﺁ: hwin
ﻊﻤﺟ-ﺩﺪﻋ: hlun
ﮏﯾ: hyik
ﻩﺪﻨﯾﺁ-ﺖﻔﺳ: hwet
ﯽﻋﺎﻤﺘﺟﺍ-ﻪﻨﯿﻣﺯ: hson
ﯽﻧﺎﻣﺯ-ﻪﭼ: hkap
ﺏﻮﯿﻌﻣ-ﻪﺒﻨﺟ: hmap
