infinitiivi: hnit
nominatiivi-tapaus: hnak
akkusatiivi-tapaus: hkak
aihe-tapaus: htak
vanhempi: hmat
isä: hpap
äiti: hmam
Hei: hnat
kantaisä: htat
isovanhempi: hyat
nälkäinen: hcac
genetiivi-tapaus: hnik
adjektiivi: hcit
ja: hwan
minulle: hmic
sinä: hnan
meille: hnam
se: hyic
määränpää-tapaus: htas
datiivi-tapaus: htik
sisusta-konteksti: htis
henkilö-konteksti: hpak
riippuvainen-lauseke: htan
perfektiivinen-näkökohta: htap
ohi-jännittynyt: hkat
maskuliini--sukupuoli: hsan
komitatiivi-tapaus: hmik
esittää-jännittynyt: hyan
benefactive-tapaus: hpik
essiivi-tapaus: swik
ei: hnic
sen: hsis
pinta--konteksti: hsak
adpositional-tapaus: hpan
sijainti-tapaus: hwak
tila-konteksti: hnos
tapa-tapaus: hrak
instrumentaalinen-tapaus: hsik
joka: hkan
kysyvä-mieliala: hnim
ja-tai: htam
XOR-: hkit
lähde-tapaus: hsok
ablatiivi-tapaus: hlak
demonstratiivinen: hdit
mutta: hlan
kaikki: hsut
naisellinen-sukupuoli: hnin
ne: hwin
monikko-määrä: hlun
yksi: hyik
tulevaisuus-jännittynyt: hwet
sosiaalinen-konteksti: hson
milloin: hkap
imperfective-näkökohta: hmap
siellä: hkac
ehdollinen-mieliala: hcan
lisää: hdoc
ulos: htac
suhteellinen-tapaus: hrik
illatiivi-tapaus: hlik
tehdä: hkas
direktiivi-mieliala: hden
deontic-mieliala: hdim
kysymys-sana: hwac
copula: hkok
henkilö: hpon
uros-: hman
voisi: kwat
muut: hcon
määrä: hnoc
erittäin: tcac
aika: htim
aika-konteksti: htos
ajallinen-tapaus: hmak
noin: hkam
episteemiset-mieliala: hsim
vain: htun
vähän: hcak
sitten: pcan
hortative-mieliala: hton
takautuva-näkökohta: hrip
suuri: hcat
tahallisuutta-mieliala: hlim
ennen: hsec
täytyy: pcic
kaksi: htut
nähdä: tcan
tietää: hsat
alas: hcin
jälkeen: hcas
ensimmäinen: hpas
oma: hpun
riistää-hallinta: hlic
ei-ikinä: hnac
luovuttamaton-hallinta: hkic
vanha: hwat
neuvotteleva-mieliala: hcim
päivä: htin
missä: hnap
tulla: hlat
tapa: hyas
tehdä-työtä: hkaf
vokaali: hwaf
mennä: hkun
perlative-tapaus: pwik
etenevä-näkökohta: hpip
pitkä: hlac
sanoa: hsac
miten: hkin
jopa: hpit
takaisin: hwap
tässä: hcic
ajatella: hcik
sama: hsam
kestää: kcac
pois: twan
alle-konteksti: hnas
ottaa: htit
löytyi: hfan
käsi: cyat
nuori: hyac
vaikka: hyap
antaa: hkik
jumala: hmac
delative-tapaus: lwak
ei-mitään: hmin
oikea: hyit
kerran: hyam
semelfactive-näkökohta: fwip
osa: hpat
saha: htic
talo: hfas
maailman-: tcat
pää-: hcaf
kolme: tyin
neo: hnon
fokus: hcok
rakkaus: hpac
aina: hsit
yö-: hwit
kukin: hmit
kuningas: hyak
välillä: hsin
sydän: cyin
paucal-määrä: plom
koska: hyok
kausaalinen-tapaus: ksak
asia: hkis
sarja: swat
nimi: hnem
asianmukainen-substantiivi: hran
hortative: hrat
maa: hlit
pyysi: hput
näkyvä-todistusarvo: crit
paremmin: pcac
puoli: psac
kurssi: hkus
naaras-: hfin
tarpeeksi: kyat
pian: hpuc
koko: hcun
huone: hfac
melkein: hlap
ei-pysty: nyat
vesi: hwik
desiderative-mieliala: hdin
valo: lyak
eikä-myöskään: hnun
sana: slat
ovi: tyan
käyttää: hpus
aamu: hsap
terminative-tapaus: twik
