infinitiivi: ni
nominatiivi-tapaus: na
akkusatiivi-tapaus: ka
aihe-tapaus: ta
Hei: ca
genetiivi-tapaus: sa
adjektiivi: ci
ja: wa
minulle: mi
sinä: ya
meille: nlah
se: yi
määränpää-tapaus: ti
datiivi-tapaus: pa
sisusta-konteksti: tu
henkilö-konteksti: pi
riippuvainen-lauseke: yu
perfektiivinen-näkökohta: fa
ohi-jännittynyt: ki
maskuliini--sukupuoli: si
komitatiivi-tapaus: mwih
esittää-jännittynyt: ma
benefactive-tapaus: pwah
essiivi-tapaus: swih
ei: nu
sen: tsih
pinta--konteksti: su
adpositional-tapaus: pu
sijainti-tapaus: te
tila-konteksti: no
tapa-tapaus: ra
instrumentaalinen-tapaus: se
kysyvä-mieliala: ri
ja-tai: to
XOR-: ku
lähde-tapaus: so
ablatiivi-tapaus: lwah
demonstratiivinen: di
mutta: la
naisellinen-sukupuoli: ne
monikko-määrä: lu
tulevaisuus-jännittynyt: we
sosiaalinen-konteksti: mo
imperfective-näkökohta: me
siellä: klah
ehdollinen-mieliala: co
lisää: kcoh
suhteellinen-tapaus: nwih
illatiivi-tapaus: lwih
direktiivi-mieliala: de
deontic-mieliala: da
kysymys-sana: slah
copula: ksah
henkilö: psoh
muut: tcoh
määrä: do
erittäin: tcah
aika: trah
aika-konteksti: ro
ajallinen-tapaus: mrah
noin: ke
episteemiset-mieliala: pe
vain: twuh
sitten: pcah
hortative-mieliala: twah
takautuva-näkökohta: rwih
tahallisuutta-mieliala: li
ennen: tceh
jälkeen: ba
riistää-hallinta: lyih
luovuttamaton-hallinta: nlih
neuvotteleva-mieliala: drih
perlative-tapaus: pwih
etenevä-näkökohta: psih
tässä: tcih
alle-konteksti: ce
delative-tapaus: dwih
semelfactive-näkökohta: mweh
neo: nyoh
fokus: fo
rakkaus: pyah
paucal-määrä: ploh
koska: yo
kausaalinen-tapaus: ksih
nimi: gi
asianmukainen-substantiivi: tsah
hortative: re
näkyvä-todistusarvo: crih
desiderative-mieliala: dwah
terminative-tapaus: twih
inessiivi-tapaus: nweh
pakottava-mieliala: prih
uskoa: kcah
osavaltio-konteksti: ga
toivoa: cwah
factive-todistusarvo: fwih
optative-mieliala: pcih
REALIS-mieliala: le
mahdollinen-mieliala: tlah
allative-tapaus: lweh
ihmisen-toiminnasta-sukupuoli: fi
aihe: wo
sama-aihe-merkki: cyah
eri-aihe: fe
pelko: ko
epäillä: cu
dubitative-mieliala: tweh
kiinnostaa: nyih
Vialis-tapaus: wi
outo: trih
muuttaa: ryih
onnellinen: clah
paitsi: swah
halu: kwah
pituus: lo
todennäköisyys: bi
sopimus: grah
vaivata: mlah
quotative-tapaus: kwih
täydellinen-henkilö: lwoh
precative-mieliala: rwah
kohtelias-ilmoittautua: brih
mahdollinen-näkökohta: tfah
genomisen-näkökohta: go
inchoative-näkökohta: zi
jussive-mieliala: jwih
salliva-mieliala: mwah
asianmukainen: kcih
distaalinen-demonstratiivinen: tseh
jakelu-tapaus: nwah
määritetty: treh
kipu: droh
viisas: ja
omistushaluinen-merkki: srah
commissive-mieliala: mu
yllätys: crah
completive-näkökohta: kweh
suututtaa: nrah
ylpeys: brah
anteeksi: pceh
rohkeus: krah
armo: nreh
liike: mroh
