infinitif: ni
nominatif-cas: na
accusatif-cas: ka
sujet-cas: ta
Salut: ca
génitif-cas: sa
adjectif: ci
et: wa
moi: mi
toi: ya
nous: nlah
ce: yi
destination-cas: ti
datif-cas: pa
intérieur-le-contexte: tu
personne-le-contexte: pi
dépendant-clause: yu
perfectif-aspect: fa
passé-tendu: ki
masculin-le-genre: si
comitative-cas: mwih
présent-tendu: ma
benefactive-cas: pwah
essive-cas: swih
pas: nu
ses: tsih
surface-le-contexte: su
adpositional-cas: pu
emplacement-cas: te
espace-le-contexte: no
façon-cas: ra
instrumental-cas: se
interrogatif-humeur: ri
et-ou: to
OU-exclusif: ku
la-source-cas: so
ablatif-cas: lwah
démonstratif: di
mais: la
féminin-le-genre: ne
pluriel-nombre: lu
avenir-tendu: we
social-le-contexte: mo
non-accompli-aspect: me
Là: klah
conditionnel-humeur: co
plus: kcoh
relatif-cas: nwih
illatif-cas: lwih
directif-humeur: de
déontique-humeur: da
question-mot: slah
copule: ksah
la-personne: psoh
autre: tcoh
nombre: do
très: tcah
temps: trah
temps-le-contexte: ro
temporel-cas: mrah
environ: ke
épistémique-humeur: pe
seulement: twuh
puis: pcah
il-revêt-humeur: twah
rétrospective-aspect: rwih
volitive-humeur: li
avant: tceh
après: ba
aliénable-possession: lyih
inaliénable-possession: nlih
délibérant-humeur: drih
perlative-cas: pwih
progressive-aspect: psih
ici: tcih
en-dessous-de le contexte: ce
delative-cas: dwih
semelfactive-aspect: mweh
néo: nyoh
concentrer: fo
aimer: pyah
paucal-nombre: ploh
en-raison: yo
causal-cas: ksih
prénom: gi
correct-nom: tsah
il-revêt: re
visible-évident: crih
désidératif-humeur: dwah
terminative-cas: twih
inessif-cas: nweh
impératif-humeur: prih
croire: kcah
Etat-le-contexte: ga
espoir: cwah
factive-évident: fwih
optatif-humeur: pcih
realis-humeur: le
potentiel-humeur: tlah
allative-cas: lweh
anthropique-le-genre: fi
assujettir: wo
même-assujettir-marqueur: cyah
différent-assujettir: fe
la-crainte: ko
doute: cu
dubitative-humeur: tweh
intérêt: nyih
vialis-cas: wi
étrange: trih
changement: ryih
content: clah
mis-à-part: swah
désir: kwah
longueur: lo
probabilité: bi
une-entente: grah
difficulté: mlah
quotative-cas: kwih
compris-la-personne: lwoh
