infinitif: hnit
nominatif-cas: hnak
accusatif-cas: hkak
sujet-cas: htak
parent: hmat
papa: hpap
maman: hmam
Salut: hnat
ancêtre: htat
grand-parent: hyat
affamé: hcac
génitif-cas: hnik
adjectif: hcit
et: hwan
moi: hmic
toi: hnan
nous: hnam
ce: hyic
destination-cas: htas
datif-cas: htik
intérieur-le-contexte: htis
personne-le-contexte: hpak
dépendant-clause: htan
perfectif-aspect: htap
passé-tendu: hkat
masculin-le-genre: hsan
comitative-cas: hmik
présent-tendu: hyan
benefactive-cas: hpik
essive-cas: swik
pas: hnic
ses: hsis
surface-le-contexte: hsak
adpositional-cas: hpan
emplacement-cas: hwak
espace-le-contexte: hnos
façon-cas: hrak
instrumental-cas: hsik
laquelle: hkan
interrogatif-humeur: hnim
et-ou: htam
OU-exclusif: hkit
la-source-cas: hsok
ablatif-cas: hlak
démonstratif: hdit
mais: hlan
tous: hsut
féminin-le-genre: hnin
ils: hwin
pluriel-nombre: hlun
un: hyik
avenir-tendu: hwet
social-le-contexte: hson
lorsque: hkap
non-accompli-aspect: hmap
Là: hkac
conditionnel-humeur: hcan
plus: hdoc
dehors: htac
relatif-cas: hrik
illatif-cas: hlik
faire: hkas
directif-humeur: hden
déontique-humeur: hdim
question-mot: hwac
copule: hkok
la-personne: hpon
mâle: hman
pourrait: kwat
autre: hcon
nombre: hnoc
très: tcac
temps: htim
temps-le-contexte: htos
temporel-cas: hmak
environ: hkam
épistémique-humeur: hsim
seulement: htun
petit: hcak
puis: pcan
il-revêt-humeur: hton
rétrospective-aspect: hrip
formidable: hcat
volitive-humeur: hlim
avant: hsec
Dois: pcic
deux: htut
voir: tcan
connaître: hsat
en-bas: hcin
après: hcas
premier: hpas
posséder: hpun
aliénable-possession: hlic
jamais: hnac
inaliénable-possession: hkic
Agé-de: hwat
délibérant-humeur: hcim
jour: htin
où: hnap
Venez: hlat
façon: hyas
oeuvre: hkaf
une-voyelle: hwaf
aller: hkun
perlative-cas: pwik
progressive-aspect: hpip
long: hlac
dire: hsac
Comment: hkin
pair: hpit
arrière: hwap
ici: hcic
pense: hcik
même: hsam
dernière: kcac
un-moyen: twan
en-dessous-de le contexte: hnas
prendre: htit
a-trouvé: hfan
le-Main: cyat
Jeune: hyac
bien-que: hyap
donner: hkik
Dieu: hmac
delative-cas: lwak
rien: hmin
droit: hyit
une-seul-fois: hyam
semelfactive-aspect: fwip
partie: hpat
vu: htic
maison: hfas
monde: tcat
directeur: hcaf
Trois: tyin
néo: hnon
concentrer: hcok
aimer: hpac
toujours: hsit
nuit: hwit
chaque: hmit
Roi: hyak
compris-entre: hsin
cœur: cyin
paucal-nombre: plom
en-raison: hyok
causal-cas: ksak
chose: hkis
ensemble: swat
prénom: hnem
correct-nom: hran
il-revêt: hrat
Pays: hlit
a-demandé: hput
visible-évident: crit
mieux: pcac
côté: psac
cours: hkus
femelle: hfin
assez: kyat
bientôt: hpuc
complet: hcun
chambre: hfac
presque: hlap
ne-peux-pas: nyat
eau: hwik
désidératif-humeur: hdin
lumière: lyak
ni: hnun
mot: slat
porte: tyan
utilisation: hpus
matin: hsap
terminative-cas: twik
du-pouvoir: hkuk
se: hmis
présent: hyin
voix: hwas
blanc: hpis
de-l'argent: tlan
prochaine: kyak
pauvre: hyis
la-mort: hmut
forme: hfam
inessif-cas: nwik
aimable: tyac
souvent: tsan
an: nwan
ami: myat
commande: hyut
impératif-humeur: hpim
rond: hcut
croire: hban
public: hpin
Etat-le-contexte: hsas
fils: psat
cent: hmas
enfants: hcis
Ainsi: tyak
espoir: hcap
au-dessus-de: hyip
chère: pyin
lis: pyac
ville: hsic
déjà: hpic
fait: hfat
factive-évident: hfit
entendre: hsun
moins: hmim
peut-être: pyat
Ouvert: kcat
corps: tcic
air: cwac
la-nature: nyit
Aidez-moi: mlat
lettre: lyat
quatre: ksat
optatif-humeur: hpam
du-feu: hfak
donc: hyif
heure: hcam
libre: tyit
guerre: syat
qu'elle-soit: hsaf
raison: kyan
uni: hnut
appel: hkuc
Pourquoi: hwam
perdu: hkut
mille: tsas
Famille: hfic
âme: twam
question: swac
soins: kcan
realis-humeur: hlin
signifier: mwit
potentiel-humeur: hten
envers: cyan
allative-cas: lwik
anthropique-le-genre: hrin
court: kyut
capable: hyuk
habite: hkip
assujettir: hsek
même-assujettir-marqueur: hcek
différent-assujettir: hfek
réponse: tsat
mer: mwat
la-crainte: hcoc
comprendre: pcat
difficile: kyin
les-termes: tyut
doute: hdac
dubitative-humeur: twin
demander: psan
bras: tcas
noir: clis
apporter: tyat
beau: ksis
sombre: tcak
tenir: psak
Dix: htaf
montrer: pyan
histoire: hkif
commun: kwan
livre: hkup
électronique: lyin
parler: plak
Marc: myac
intérêt: nyis
écrit: kcit
lit: pwat
nécessaire: syis
idée: hwis
art: klat
vialis-cas: hlas
frère: pyak
de-temps-en temps: ksas
ligne: lyan
table: tlas
Fleuve: nwit
œil: kyac
