क्रियाकासाधारण रूप: hnit
नियुक्तमामला: hnak
कर्मकारकमामला: hkak
विषयमामला: htak
माता-पिता: hmat
पिता: hpap
माँ: hmam
नमस्ते: hnat
पूर्वज: htat
दादा-दादी: hyat
भूखा: hcac
संबंधकारकमामला: hnik
विशेषण: hcit
और: hwan
मुझे: hmic
आप: hnan
हमें: hnam
यह: hyic
गंतव्यमामला: htas
संप्रदानकारकमामला: htik
आंतरिकप्रसंग: htis
व्यक्तिप्रसंग: hpak
आश्रितधारा: htan
साधकपहलू: htap
अतीतकाल: hkat
संज्ञालिंग: hsan
comitativeमामला: hmik
वर्तमानकाल: hyan
benefactiveमामला: hpik
essiveमामला: swik
नहीं: hnic
इसकी: hsis
सतहप्रसंग: hsak
adpositionalमामला: hpan
स्थानमामला: hwak
अंतरिक्षप्रसंग: hnos
मार्गमामला: hrak
सहायकमामला: hsik
कौन: hkan
प्रश्नवाचकमनोदशा: hnim
तथाया: htam
एकमात्र: hkit
स्रोतमामला: hsok
पंचमीविभक्तिमामला: hlak
ठोस: hdit
लेकिन: hlan
सब: hsut
स्त्रीलिंग: hnin
वे: hwin
बहुवचनसंख्या: hlun
एक: hyik
भविष्यकाल: hwet
सामाजिकप्रसंग: hson
कब: hkap
अधूरापहलू: hmap
क्याआपवहां मौजूद हैं: hkac
सशर्तमनोदशा: hcan
अधिक: hdoc
बाहर: htac
संबंधीमामला: hrik
नतीजेकामामला: hlik
कर: hkas
आदेशमनोदशा: hden
deonticमनोदशा: hdim
सवालशब्द: hwac
योजक: hkok
व्यक्ति: hpon
नर: hman
सकताहै: kwat
अन्य: hcon
संख्या: hnoc
बहुत: tcac
T.I.M.E: htim
पहरप्रसंग: htos
लौकिकमामला: hmak
केबारेमें: hkam
epistemicमनोदशा: hsim
केवल: htun
थोड़ा: hcak
फिर: pcan
उपदेशदेनेवालामनोदशा: hton
पूर्वप्रभावीपहलू: hrip
महान: hcat
volitiveमनोदशा: hlim
सेपहले: hsec
चाहिए: pcic
दो: htut
देखना: tcan
जानना: hsat
नीचे: hcin
केबाद: hcas
पहले: hpas
अपना: hpun
बदलनेकेयोग्य अधिकार: hlic
कभीनहीं: hnac
अविच्छेद्यअधिकार: hkic
पुराना: hwat
अधिकारहीनमनोदशा: hcim
दिन: htin
जहाँ: hnap
आना: hlat
रास्ता: hyas
काम: hkaf
स्वर: hwaf
जाओन: hkun
perlativeमामला: pwik
प्रगतिशीलपहलू: hpip
लंबेसमयतक: hlac
कहना: hsac
कैसे: hkin
भी: hpit
वापस: hwap
यहाँ: hcic
सोच: hcik
समान: hsam
पिछलीबार: kcac
दूर: twan
नीचेप्रसंग: hnas
लेना: htit
पाया: hfan
हाथ: cyat
युवा: hyac
यद्यपि: hyap
देना: hkik
परमेश्वर: hmac
delativeमामला: lwak
कुछनहीं: hmin
सही: hyit
एकबार: hyam
semelfactiveपहलू: fwip
हिस्सा: hpat
देखा: htic
घर: hfas
दुनिया: tcat
सिर: hcaf
तीन: tyin
नियो: hnon
फोकस: hcok
प्यार: hpac
सदैव: hsit
रात: hwit
प्रत्येक: hmit
राजा: hyak
केबीच: hsin
दिल: cyin
paucalसंख्या: plom
क्योंकि: hyok
करणीयमामला: ksak
चीज़: hkis
सेट: swat
नाम: hnem
उचितसंज्ञा: hran
उपदेशदेनेवाला: hrat
देश: hlit
सेपूछा: hput
दिखाईप्रत्यक्ष: crit
बेहतर: pcac
पक्ष: psac
कोर्स: hkus
महिला: hfin
पर्याप्त: kyat
शीघ्र: hpuc
पूर्ण: hcun
कक्ष: hfac
लगभग: hlap
नहींकरसकते: nyat
पानी: hwik
desiderativeमनोदशा: hdin
प्रकाश: lyak
न: hnun
शब्द: slat
द्वार: tyan
उपयोग: hpus
सुबह: hsap
terminativeमामला: twik
शक्ति: hkuk
अपने: hmis
वर्तमान: hyin
आवाज़: hwas
सफेद: hpis
धन: tlan
अगला: kyak
दरिद्र: hyis
मौत: hmut
प्रपत्र: hfam
inessiveमामला: nwik
तरह: tyac
अक्सर: tsan
साल: nwan
मित्र: myat
व्यवस्था: hyut
अनिवार्यमनोदशा: hpim
दौर: hcut
मानना: hban
सार्वजनिक: hpin
राज्यप्रसंग: hsas
बेटा: psat
सौ: hmas
बच्चे: hcis
इसप्रकार: tyak
आशा: hcap
ऊपर: hyip
प्रिय: pyin
पढ़ना: pyac
शहर: hsic
पहलेही: hpic
तथ्य: hfat
factiveप्रत्यक्ष: hfit
सुनो: hsun
कमसेकम: hmim
शायद: pyat
खुला: kcat
शव: tcic
