infinitif: ni
nominatif-kasus: na
akusatif-kasus: ka
tema-kasus: ta
Halo: ca
genitif-kasus: sa
kata-sifat: ci
dan: wa
saya: mi
kamu: ya
kami: nlah
saya-t: yi
tujuan-kasus: ti
datif-kasus: pa
pedalaman-konteks: tu
orang-konteks: pi
tergantung-ayat: yu
perfektif-aspek: fa
lalu-tegang: ki
maskulin-jenis-kelamin: si
komitatif-kasus: mwih
menyajikan-tegang: ma
benefaktif-kasus: pwah
essive-kasus: swih
tidak: nu
-nya: tsih
permukaan-konteks: su
adpositional-kasus: pu
tempat-kasus: te
ruang-konteks: no
cara-kasus: ra
instrumental-kasus: se
interogatif-suasana-hati: ri
dan-atau: to
eksklusif---atau: ku
sumber-kasus: so
ablatif-kasus: lwah
demonstratif: di
tapi: la
wanita-jenis-kelamin: ne
jamak-jumlah: lu
masa-depan-tegang: we
sosial-konteks: mo
tdk-sempurna-aspek: me
sana: klah
bersyarat-suasana-hati: co
lebih: kcoh
relatif-kasus: nwih
terakhir-kasus: lwih
direktif-suasana-hati: de
deontis-suasana-hati: da
pertanyaan-kata: slah
kata-kerja-penghubung: ksah
orang: psoh
lain: tcoh
jumlah: do
sangat: tcah
waktu: trah
waktu-konteks: ro
sementara-kasus: mrah
tentang: ke
epistemik-suasana-hati: pe
hanya: twuh
kemudian: pcah
yg-menegur-suasana hati: twah
retrospektif-aspek: rwih
volitive-suasana-hati: li
sebelum: tceh
setelah: ba
alienable-milik: lyih
tidak-dapat-dicabut milik: nlih
konsultatif-suasana-hati: drih
perlative-kasus: pwih
progresif-aspek: psih
sini: tcih
dibawah-konteks: ce
delative-kasus: dwih
semelfactive-aspek: mweh
neo: nyoh
fokus: fo
cinta: pyah
paucal-jumlah: ploh
karena: yo
kausal-kasus: ksih
nama: gi
tepat-kata-benda: tsah
yg-menegur: re
terlihat-yg-berdasar atas kenyataan: crih
Desiderative-suasana-hati: dwah
terminative-kasus: twih
inessive-kasus: nweh
sangat-penting-suasana hati: prih
percaya: kcah
negara-konteks: ga
berharap: cwah
faktif-yg-berdasar atas kenyataan: fwih
optatif-suasana-hati: pcih
realis-suasana-hati: le
potensi-suasana-hati: tlah
allative-kasus: lweh
antropik-jenis-kelamin: fi
subyek: wo
sama-subyek-penanda: cyah
berbeda-subyek: fe
takut: ko
keraguan: cu
dubitative-suasana-hati: tweh
bunga: nyih
vialis-kasus: wi
aneh: trih
perubahan: ryih
senang: clah
kecuali: swah
keinginan: kwah
panjangnya: lo
kemungkinan: bi
perjanjian: grah
kesulitan: mlah
quotative-kasus: kwih
inklusif-orang: lwoh
precative-suasana-hati: rwah
sopan-daftar: brih
bakal-aspek: tfah
yg-bersifat-peribahasa aspek: go
inkoatif-aspek: zi
jussive-suasana-hati: jwih
serba-membolehkan-suasana hati: mwah
tepat: kcih
distal-demonstratif: tseh
distributif-kasus: nwah
bertekad: treh
rasa-sakit: droh
bijaksana: ja
posesif-penanda: srah
komisif-suasana-hati: mu
mengherankan: crah
yg-mengakhiri-aspek: kweh
marah: nrah
kebanggaan: brah
Maaf: pceh
keberanian: krah
rahmat: nreh
gerakan: mroh
cemas: cwih
penghentian-aspek: za
intensifier: tfih
yg-berdasar-atas kenyataan kasus: ryah
sedih: syah
sebaliknya: tyah
Zoic-jenis-kelamin: zo
eventif-suasana-hati: nwoh
sama-peristiwa-penanda: cwoh
perkalian-kasus: plah
tercengang: prah
kasihan: lyah
massa: mlih
puas: srih
kebajikan: be
spekulatif-suasana-hati: po
akrab-daftar: krih
luka: frah
kesedihan: proh
eh?: nyah
terima: kyah
malu: ru
frasa-penanda: fyah
setia: cyih
kegembiraan: tyeh
hesternal-tegang: tleh
benci: tyih
rasional-jenis-kelamin: tlih
ekstrim: kreh
nabati-jenis-kelamin: slih
rasa-ingin-tahu: kyih
ketakutan: kcuh
artikel: myah
doa-suasana-hati: bwih
berdosa: dlih
bodoh: nrih
murah-hati: drah
prakarsa-kasus: twoh
terlambat-sangat-penting: ji
melaporkan-yg-berdasar atas kenyataan: psah
menyalahkan: dlah
penderitaan: kfah
tunggal-jumlah: gu
memaafkan: pfah
kesabaran: je
referensial: freh
kesepian: kyoh
pesona: croh
antusiasme: tsuh
induktif-suasana-hati: tcuh
ceramah-konteks: ye
bentuk-penyeru-kasus: bo
penghinaan: grih
peringatan-suasana-hati: tyuh
ambisi: bwah
kontinu-aspek: nyeh
langsung-yg-berdasar atas kenyataan: troh
gelisah-suasana-hati: pcoh
syok: cruh
baru-lalu-tegang: clih
pasti-artikel: klih
cemburu: ryuh
yg-mengutuk-suasana hati: mrih
pengabaian: du
sombong-suasana-hati: syih
cedera: kroh
protasis: rwoh
bermusuhan: cyuh
