infinito: ni
nominativo-caso: na
accusativo-caso: ka
argomento-caso: ta
Ciao: ca
genitivo-caso: sa
aggettivo: ci
e: wa
me: mi
tu: ya
noi: nlah
esso: yi
destinazione-caso: ti
dativo-caso: pa
interno-contesto: tu
persona-contesto: pi
dipendente-clausola: yu
perfective-aspetto: fa
passato-teso: ki
maschile-Genere: si
comitative-caso: mwih
presente-teso: ma
benefactive-caso: pwah
essive-caso: swih
non: nu
la-sua: tsih
superficie-contesto: su
adpositional-caso: pu
luogo-caso: te
spazio-contesto: no
modo-caso: ra
strumentale-caso: se
interrogativo-umore: ri
e-o: to
esclusivo---o: ku
fonte-caso: so
ablativo-caso: lwah
espansivo: di
ma: la
femminile-Genere: ne
plurale-numero: lu
futuro-teso: we
sociale-contesto: mo
imperfective-aspetto: me
Là: klah
condizionale-umore: co
Di-più: kcoh
parente-caso: nwih
illative-caso: lwih
direttiva-umore: de
deontica-umore: da
domanda-parola: slah
copula: ksah
persona: psoh
altro: tcoh
numero: do
molto: tcah
orario: trah
tempo-contesto: ro
temporale-caso: mrah
di: ke
epistemica-umore: pe
solo: twuh
poi: pcah
hortative-umore: twah
retrospettiva-aspetto: rwih
volitiva-umore: li
prima: tceh
a-seguito-di: ba
alienabile-possesso: lyih
inalienabile-possesso: nlih
deliberativo-umore: drih
perlative-caso: pwih
progressivo-aspetto: psih
Qui: tcih
sotto-contesto: ce
delative-caso: dwih
semelfactive-aspetto: mweh
neo: nyoh
messa-a-fuoco: fo
amore: pyah
paucal-numero: ploh
perché: yo
causale-caso: ksih
nome: gi
corretto-sostantivo: tsah
hortative: re
visibile-probatorio: crih
desiderativo-umore: dwah
terminative-caso: twih
inessive-caso: nweh
imperativo-umore: prih
credere: kcah
stato-contesto: ga
speranza: cwah
Factive-probatorio: fwih
ottativo-umore: pcih
Realis-umore: le
potenziale-umore: tlah
allativo-caso: lweh
antropico-Genere: fi
soggetto: wo
stesso-soggetto-marcatore: cyah
diverso-soggetto: fe
la-paura: ko
dubbio: cu
dubitativa-umore: tweh
interesse: nyih
Vialis-caso: wi
strano: trih
cambiamento: ryih
contento: clah
tranne: swah
desiderio: kwah
lunghezza: lo
probabilità: bi
accordo: grah
problemi: mlah
quotative-caso: kwih
inclusivo-persona: lwoh
precative-umore: rwah
gentile-registro: brih
potenziale-aspetto: tfah
gnomic-aspetto: go
incoativo-aspetto: zi
jussive-umore: jwih
permissivo-umore: mwah
corretto: kcih
distale-espansivo: tseh
distributivo-caso: nwah
determinato: treh
dolore: droh
saggio: ja
possessivo-marcatore: srah
commissivo-umore: mu
sorpresa: crah
completive-aspetto: kweh
rabbia: nrah
orgoglio: brah
scusa: pceh
coraggio: krah
grazia: nreh
movimento: mroh
ansioso: cwih
cessazione-aspetto: za
intensificatore: tfih
probatorio-caso: ryah
giù-di-morale: syah
altrimenti: tyah
Zoic-Genere: zo
eventive-umore: nwoh
stesso-evento-marcatore: cwoh
moltiplicativo-caso: plah
sorpreso: prah
pietà: lyah
massa: mlih
soddisfatto: srih
virtù: be
speculativo-umore: po
familiare-registro: krih
ferito: frah
tristezza: proh
eh?: nyah
ringraziare: kyah
vergogna: ru
frase-marcatore: fyah
fedele: cyih
eccitazione: tyeh
hesternal-teso: tleh
odiare: tyih
razionale-Genere: tlih
estremo: kreh
vegetale-Genere: slih
curiosità: kyih
spaventati: kcuh
articolo: myah
benedizione-umore: bwih
colpevole: dlih
ignorante: nrih
generoso: drah
iniziativa-caso: twoh
ritardato-imperativo: ji
segnalati-probatorio: psah
colpa: dlah
miseria: kfah
singolare-numero: gu
perdonare: pfah
pazienza: je
referenziale: freh
solitario: kyoh
fascino: croh
entusiasmo: tsuh
induttivo-umore: tcuh
discorso-contesto: ye
vocativo-caso: bo
disprezzo: grih
ammonizione-umore: tyuh
ambizione: bwah
continuo-aspetto: nyeh
diretto-probatorio: troh
apprensivo-umore: pcoh
shock: cruh
recente-passato-teso: clih
definito-articolo: klih
geloso: ryuh
imprecatorio-umore: mrih
