Infinitive: hnit
სახელობითი-შემთხვევაში: hnak
accusative-შემთხვევაში: hkak
თემის-შემთხვევაში: htak
მშობელი: hmat
მამა: hpap
დედა: hmam
მიესალმები: hnat
წინაპარი: htat
ბებია: hyat
მშიერი: hcac
ნათესაობით-შემთხვევაში: hnik
ზედსართავი-სახელი: hcit
და: hwan
მე: hmic
თქვენ: hnan
ჩვენ: hnam
ის: hyic
დანიშნულების-შემთხვევაში: htas
dative-შემთხვევაში: htik
შინაგან-საქმეთა-კონტექსტში: htis
პირი-კონტექსტში: hpak
დამოკიდებული-პუნქტი: htan
სრულყოფილი-ასპექტი: htap
ბოლო-დაძაბული: hkat
მამაკაცური-გენდერული: hsan
comitative-შემთხვევაში: hmik
იმყოფება-დაძაბული: hyan
benefactive-შემთხვევაში: hpik
essive-შემთხვევაში: swik
არა: hnic
მისი: hsis
ზედაპირზე-კონტექსტში: hsak
adpositional-შემთხვევაში: hpan
ადგილმდებარეობა-შემთხვევაში: hwak
სივრცეში-კონტექსტში: hnos
გზა-შემთხვევაში: hrak
ინსტრუმენტული-შემთხვევაში: hsik
რომელიც: hkan
კითხვითი-განწყობა: hnim
და-ან: htam
ექსკლუზიური-ან: hkit
წყარო-შემთხვევაში: hsok
ablative-შემთხვევაში: hlak
საჩვენებელი: hdit
მაგრამ: hlan
ყველა: hsut
ქალის-გენდერული: hnin
ისინი: hwin
მრავლობითი-ნომერი: hlun
ერთ-ერთი: hyik
მომავალი-დაძაბული: hwet
სოციალური-კონტექსტში: hson
როდესაც: hkap
imperfective-ასპექტი: hmap
იქ: hkac
პირობითი-განწყობა: hcan
მეტი: hdoc
გარეთ: htac
ნათესავი-შემთხვევაში: hrik
illative-შემთხვევაში: hlik
ამის: hkas
დირექტივა-განწყობა: hden
deontic-განწყობა: hdim
კითხვა-სიტყვა: hwac
copula: hkok
პირი: hpon
მამრობითი: hman
შეეძლო: kwat
სხვა: hcon
ნომერი: hnoc
ძალიან: tcac
დრო: htim
დრო-კონტექსტში: htos
დროებითი-შემთხვევაში: hmak
შესახებ: hkam
ეპისტემური-განწყობა: hsim
მხოლოდ: htun
პატარა: hcak
მაშინ: pcan
hortative-განწყობა: hton
რეტროსპექტივა-ასპექტი: hrip
შესანიშნავი: hcat
volitive-განწყობა: hlim
ადრე: hsec
უნდა: pcic
ორი: htut
ვხედავ: tcan
ვიცი,: hsat
ქვემოთ: hcin
შემდეგ: hcas
პირველი: hpas
საკუთარი: hpun
გადაეცემა-ბურთის-ფლობა დაფიქსირდა: hlic
არასოდეს: hnac
განუყოფელი-ბურთის-ფლობა დაფიქსირდა: hkic
ძველი: hwat
სათათბირო-განწყობა: hcim
დღეს: htin
სადაც: hnap
მოდის: hlat
გზა: hyas
მუშაობა: hkaf
ხმოვანთა: hwaf
წასვლა: hkun
perlative-შემთხვევაში: pwik
პროგრესული-ასპექტი: hpip
ხანგრძლივი: hlac
ამბობენ: hsac
როგორ: hkin
კი: hpit
უკან: hwap
აქ: hcic
ვფიქრობ,: hcik
იგივე: hsam
ბოლო: kcac
მოშორებით: twan
ქვეშ-კონტექსტში: hnas
მიიღოს: htit
ი: hfan
ხელი: cyat
ახალგაზრდა: hyac
მიუხედავად-იმისა,-რომ: hyap
მისცეს: hkik
ღმერთი: hmac
delative-შემთხვევაში: lwak
არაფერი: hmin
მარჯვენა: hyit
ერთხელ: hyam
semelfactive-ასპექტი: fwip
ნაწილი: hpat
ხერხი: htic
სახლი: hfas
მსოფლიოში: tcat
უფროსი: hcaf
სამი: tyin
neo: hnon
აქცენტი: hcok
მიყვარს: hpac
ყოველთვის: hsit
ღამის: hwit
თითოეულ: hmit
მეფე: hyak
შორის: hsin
გული: cyin
paucal-ნომერი: plom
იმიტომ,-რომ: hyok
მიზეზობრივი-შემთხვევაში: ksak
რამ: hkis
კომპლექტი: swat
სახელი: hnem
სათანადო-არსებითი-სახელი: hran
hortative: hrat
ქვეყანა: hlit
სთხოვა: hput
ჩანს-მტკიცებულების: crit
უკეთესი: pcac
მხარე: psac
რა-თქმა-უნდა,: hkus
ქალი: hfin
საკმარისი: kyat
მალე: hpuc
სრული: hcun
ოთახი: hfac
თითქმის: hlap
არ-შეუძლია: nyat
წყლის: hwik
desiderative-განწყობა: hdin
მსუბუქი: lyak
არც: hnun
სიტყვა: slat
კარი: tyan
გამოყენების: hpus
დილით: hsap
terminative-შემთხვევაში: twik
ძალა: hkuk
თავი: hmis
იმყოფება: hyin
ხმა: hwas
თეთრი: hpis
ფული: tlan
შემდეგი: kyak
ცუდი: hyis
სიკვდილი: hmut
ფორმა: hfam
inessive-შემთხვევაში: nwik
კეთილი: tyac
ხშირად: tsan
წელი: nwan
მეგობარს: myat
იმისათვის,: hyut
აუცილებელია-განწყობა: hpim
რაუნდი: hcut
მჯერა,: hban
საჯარო: hpin
სახელმწიფო-კონტექსტში: hsas
შვილი: psat
ასი: hmas
ბავშვები: hcis
შესაბამისად,: tyak
იმედი-მაქვს,: hcap
ზემოთ: hyip
ძვირფასო: pyin
წაკითხული: pyac
ქალაქი: hsic
უკვე: hpic
ის-ფაქტი,: hfat
factive-მტკიცებულების: hfit
გესმის: hsun
მინიმუმ: hmim
ალბათ: pyat
ღია: kcat
სხეულის: tcic
საჰაერო: cwac
ბუნება: nyit
დაეხმაროს: mlat
წერილი: lyat
ოთხ: ksat
optative-განწყობა: hpam
ცეცხლი: hfak
ამიტომ: hyif
საათი: hcam
უფასო: tyit
ომის: syat
თუ-არა: hsaf
მიზეზი: kyan
ერთიანი: hnut
დარეკეთ: hkuc
რატომ: hwam
დაკარგული: hkut
ათასი: tsas
ოჯახის: hfic
სული: twam
კითხვა: swac
ზრუნვა: kcan
რეალურ-განწყობა: hlin
ნიშნავს: mwit
პოტენციური-განწყობა: hten
მიმართ: cyan
allative-შემთხვევაში: lwik
anthropic-გენდერული: hrin
მოკლე: kyut
შეუძლია: hyuk
ცხოვრება: hkip
სათაური: hsek
იგივე-სათაური-marker: hcek
სხვადასხვა-სათაური: hfek
პასუხი: tsat
ზღვის: mwat
შიში: hcoc
მესმის,: pcat
მძიმე: kyin
ვადები: tyut
ეჭვი: hdac
dubitative-განწყობა: twin
ვთხოვთ: psan
იარაღის: tcas
შავი: clis
მოუტანს: tyat
ლამაზი: ksis
ბნელი: tcak
გამართავს: psak
ათი: htaf
შოუ: pyan
ისტორია: hkif
საერთო: kwan
წიგნი: hkup
ელექტრონული: lyin
განხილვა: plak
ჩანაწერები: myac
ინტერესი: nyis
დაწერა: kcit
საწოლი: pwat
აუცილებელია: syis
იდეა: hwis
ხელოვნება: klat
vialis-შემთხვევაში: hlas
ძმა: pyak
ზოგჯერ: ksas
ონლაინ: lyan
მაგიდა: tlas
მდინარე: nwit
თვალის: kyac
ინფორმაცია: fyin
მოულოდნელად: tfan
უცნაური: hgan
ღრმა: ksan
ცვლილება: hrit
შეგრძნება: nwac
შეხვდება: mlit
მიზნით: htuc
ბედნიერი: hcuc
როგორც-ჩანს,: syit
სისხლის: cyac
გაიზარდა: kwas
სამხრეთ: swan
ცივი: tlat
წინ: myik
პოზიცია: psis
ბოლოს: tyam
დავდგეთ: syan
ვარაუდობენ,: nlas
ქალიშვილი: pyit
აფეთქდა: myan
cut: hkim
ასლი: hfap
ქმარი: hgat
ექვსი: hlis
მახსოვს: twat
ეფექტი: hyaf
დაეცემა: htuk
გარდა: hsip
თმა: hpaf
გაივლის: pyas
საავტორო: pcit
არმია: cyit
პერსპექტივაში: kcak
ცხენი: kcas
მომავალი: hwic
west: pcak
გადახდა: plit
წითელი: hyun
ოქროს: tcun
სურვილი: hdan
თამაში: plin
master: mwas
ოფისი: hfus
მთავრობის: syak
ეკლესია: kyas
სიგრძე: hlen
კომპანია: ksin
ქაღალდი: kyis
ალბათობა: hbin
განსაკუთრებით: cyas
დათვი: pcas
window: cyak
შეთანხმება: hgac
სილამაზის: syac
მოვალეობა: tfac
გაუგზავნე: fyan
მანძილი: htif
დუმილი: slan
ფეხით: fyat
ველური: kyik
იღუპება: myam
გადარჩენა: pfan
მწვანე: kcin
პრობლემები: mlan
ღიმილი: myak
არასწორი: clat
სხვადასხვა: pcin
ძილის: slit
quotative-შემთხვევაში: kwik
იწყება: cwan
აქცია: kfan
ვიზიტი: fwat
დაიცვას: nlan
ცდილობენ: tcis
ყოფნა: psit
ტკბილი: tlit
მდიდარი: tcin
მტერი: tcam
გემი: hcip
მდგომარეობა: kyit
მათ-შორის: hkum
ინკლუზიური-პირი: hlon
საიდუმლო: kwit
precative-განწყობა: pwim
თავაზიანი-რეგისტრაცია: hbit
ბოროტი: pwac
მარტი: myas
რა-მნიშვნელობა-აქვს: kwac
დარჩენა: hlam
ნაცვლად: plat
ლურჯი: plan
შეუძლებელია: psap
სკოლა: hsuk
შემთხვევა: ksac
ქორწილი: nwat
საკვები: hcuk
ოცი: tsis
მშვიდი: tcit
ადვილად: hnis
პერსპექტიული-ასპექტი: hrap
ენა: lyac
გამოხატვის: syas
კვირის: hsus
დარბაზში: hcum
საფრთხე: kcic
ქონება: myit
დაიბადა: nyan
სასამართლო: kcut
ზოგადად: tyap
gnomic-ასპექტი: hmip
ღირს: tyas
მარტივი: syap
ხე: pyic
ბრძოლა: pyap
კედლის: twit
სამოთხეში: cwak
inchoative-ასპექტი: htip
jussive-განწყობა: hjin
ტონი: twun
დაკავშირებით: klan
მოსალოდნელი: pcik
თვის: hmaf
გამოცდილება: nyap
მთლიანად: nyac
ახალი: tsac
duke: hnuk
დაფარული: kwak
შეკრული: hyim
აღმოსავლეთ: tyuk
ქვის: pwan
გარკვეულწილად: kfat
მიმართულებით: tlac
სკამი: kwis
მხარდაჭერა: syut
თარიღი: tyic
სოფელ: klac
სფეროში: clit
ნებართვა: nwin
permissive-განწყობა: hmom
წარმატება: slak
სათანადო: hric
hill: clin
მუსიკა: ksik
დისტალური-საჩვენებელი: hdat
დღის-მეორე-ნახევარში: htup
ტირილი: hyuc
პატივი: hnaf
შვიდი: swit
კერძო: pfat
ახალი-ამბები: nwas
სცენა: slac
ბაღში: cyam
რასის: htus
გამანაწილებელ-შემთხვევაში: twak
ვისწავლოთ: clan
პოლიტიკური: syik
ტყუილი: kcun
მიცემული: tsak
ჭამა: kcam
სართული: hlaf
ავად: pwin
ორიგინალური: mlin
ზაფხულში: kyam
რელიგია: tlam
სურათი: ksit
გაქცევის: plap
ავტორი: hlut
brown: pyun
განისაზღვრება: htem
ტკივილი: hdon
გაზაფხულზე: psin
საუკუნის: syic
რბილი: mwan
კუთხეში: kyun
აწარმოოს: psas
სიცილი: cyaf
დაგავიწყდეთ: flat
europe: hyup
რვა: lwat
dress: lwac
საშინელი: cyap
სუნთქვა: syaf
ბრძენი: hbas
კუთვნილებითი-marker: srak
მეხსიერება: myin
თანამედროვე: fwan
ადგილზე: tcap
მოიმატებს: hyus
შესვენების: pyik
ორმოცდაათი: hfis
კუნძული: tlap
შეეხოთ: hsuc
დაპირება: pcam
commissive-განწყობა: mwin
ხარისხი: tfat
გეგმა: plac
ქცევის: nyak
სიურპრიზი: cran
წუთი: hmun
გასროლა: hwut
უარესი: pcap
მინა: klak
მაგალითად: tlin
უსაფრთხო: hsif
ექიმი: tsit
completive-ასპექტი: hmep
განმეორებითი: tyun
სამხედრო: slin
თბილი: nyam
სასმელი: pfin
კითხვები: pcaf
აღშფოთება: nran
პირდაპირ: tyik
ქუდი: hcup
ძაღლი: kwap
მსახური: hnuc
სიამაყე: hram
გულშემატკივარი: tcuc
მატარებელი: nyin
მორალური: myut
დაკავშირებული: kyim
შესვლის: fyak
წესი: nyas
ხმალი: cwat
თავდასხმა: kfak
ჯანმრთელობის: clac
პუნქტის: pyaf
სოციალური: hsum
დაბრუნების: tfit
ბოდიში: hpec
გამბედაობა: krac
მადლი: hnen
ოფიციალური: hfaf
იმ-პირობით,: tsik
მოთხოვნა: pwit
ერთი-შეხედვით: klas
მოძრაობა: hyon
ველით: cwit
პირიქით: psam
თორმეტი: tyaf
დაკავებული: nyut
ღვინო: hwun
გემო: swut
რკინის: fyac
გავრცელება: syin
სავაჭრო: myap
უპირატესობა: twac
ტანსაცმელი: kfip
მოსამართლე: fwak
განსხვავება: tfaf
შეშფოთებულია: kcis
კაპიტანი: kwin
მზა: nlat
შეწყვეტის-ასპექტი: hsep
საინტერესო: kyic
უცხოური: kwic
გამაძლიერებელი: hnif
მნიშვნელობა: myun
საბოლოოდ: hfim
კანონპროექტი: fwin
დაამტკიცოს: hpuk
თავიდან-ასაცილებლად: flan
კისრის: cyun
იურიდიული: hfik
მშრალი: swak
ემსახურება: syam
დაკარგავს: pcut
მტკიცებულება: pyut
მტკიცებულების-შემთხვევაში: hdak
პროგრესი: pyis
შენობა: klit
ძიება: syuc
სამწუხარო: hrac
ცოდვა: psip
ოცდაათი: tfis
პატიოსანი: tsin
დახურეს: kyap
საბანკო: pcun
ბედი: cyik
ტყე: hfun
გაზომვა: mlac
წინააღმდეგ-შემთხვევაში,: htoc
ნაკადი: lyam
პური: hpup
დამატებითი: tfak
აირჩიეთ: twas
ცხოველთა: nwam
zoic-გენდერული: hzin
Eventive-სისტემის-განწყობა: hwim
იგივე-ღონისძიება-marker: hcom
multiplicative-შემთხვევაში: tlak
სქელი: hmus
არსება: hyum
წვიმა: myic
ზედაპირზე: pfas
წმინდა: swis
ივლისი: clim
ანგარიში: hfut
სანაპირო: pwas
ფაილი: hfif
მხრის: cwut
მიკვირს,: kran
სამეფო: klik
სიმღერა: hkuf
კომფორტი: kfaf
არავის: nyic
ბალახის: kcap
მიაპყროს: cwik
გახსნის: cyic
ივნისი: cwun
თევზი: mlic
დედაქალაქში: klin
მკერდის: cyut
snow: hcif
განათლება: tlik
ბასრი: tcaf
სამწუხაროა,: hdam
