Infinitive: ni
სახელობითი-შემთხვევაში: na
accusative-შემთხვევაში: ka
თემის-შემთხვევაში: ta
მიესალმები: ca
ნათესაობით-შემთხვევაში: sa
ზედსართავი-სახელი: ci
და: wa
მე: mi
თქვენ: ya
ჩვენ: nlah
ის: yi
დანიშნულების-შემთხვევაში: ti
dative-შემთხვევაში: pa
შინაგან-საქმეთა-კონტექსტში: tu
პირი-კონტექსტში: pi
დამოკიდებული-პუნქტი: yu
სრულყოფილი-ასპექტი: fa
ბოლო-დაძაბული: ki
მამაკაცური-გენდერული: si
comitative-შემთხვევაში: mwih
იმყოფება-დაძაბული: ma
benefactive-შემთხვევაში: pwah
essive-შემთხვევაში: swih
არა: nu
მისი: tsih
ზედაპირზე-კონტექსტში: su
adpositional-შემთხვევაში: pu
ადგილმდებარეობა-შემთხვევაში: te
სივრცეში-კონტექსტში: no
გზა-შემთხვევაში: ra
ინსტრუმენტული-შემთხვევაში: se
კითხვითი-განწყობა: ri
და-ან: to
ექსკლუზიური-ან: ku
წყარო-შემთხვევაში: so
ablative-შემთხვევაში: lwah
საჩვენებელი: di
მაგრამ: la
ქალის-გენდერული: ne
მრავლობითი-ნომერი: lu
მომავალი-დაძაბული: we
სოციალური-კონტექსტში: mo
imperfective-ასპექტი: me
იქ: klah
პირობითი-განწყობა: co
მეტი: kcoh
ნათესავი-შემთხვევაში: nwih
illative-შემთხვევაში: lwih
დირექტივა-განწყობა: de
deontic-განწყობა: da
კითხვა-სიტყვა: slah
copula: ksah
პირი: psoh
სხვა: tcoh
ნომერი: do
ძალიან: tcah
დრო: trah
დრო-კონტექსტში: ro
დროებითი-შემთხვევაში: mrah
შესახებ: ke
ეპისტემური-განწყობა: pe
მხოლოდ: twuh
მაშინ: pcah
hortative-განწყობა: twah
რეტროსპექტივა-ასპექტი: rwih
volitive-განწყობა: li
ადრე: tceh
შემდეგ: ba
გადაეცემა-ბურთის-ფლობა დაფიქსირდა: lyih
განუყოფელი-ბურთის-ფლობა დაფიქსირდა: nlih
სათათბირო-განწყობა: drih
perlative-შემთხვევაში: pwih
პროგრესული-ასპექტი: psih
აქ: tcih
ქვეშ-კონტექსტში: ce
delative-შემთხვევაში: dwih
semelfactive-ასპექტი: mweh
neo: nyoh
აქცენტი: fo
მიყვარს: pyah
paucal-ნომერი: ploh
იმიტომ,-რომ: yo
მიზეზობრივი-შემთხვევაში: ksih
