bendratis: ni
vardininkas-atvejis: na
galininko-atvejis: ka
tema-atvejis: ta
Labas: ca
kilmininko-atvejis: sa
būdvardis: ci
ir: wa
man: mi
Jūs: ya
mums: nlah
tai: yi
paskirties-vieta-atvejis: ti
naudininkas-atvejis: pa
interjeras-kontekstas: tu
asmuo-kontekstas: pi
priklausomas-išlyga: yu
Tobulas-aspektas: fa
praeitis-įtempti: ki
vyriškas-lytis: si
comitative-atvejis: mwih
dovana-įtempti: ma
benefactive-atvejis: pwah
essive-atvejis: swih
ne: nu
jos: tsih
paviršius-kontekstas: su
adpositional-atvejis: pu
vieta-atvejis: te
erdvė-kontekstas: no
būdas-atvejis: ra
instrumentinis-atvejis: se
klausiamasis-nuotaika: ri
ir-arba: to
išskirtinė---arba: ku
šaltinis-atvejis: so
įnagininko-atvejis: lwah
demonstratyvus: di
bet: la
moteriškas-lytis: ne
daugiskaitos-skaičius: lu
ateitis-įtempti: we
socialinis-kontekstas: mo
imperfective-aspektas: me
ten: klah
sąlyginis-nuotaika: co
daugiau: kcoh
santykinis-atvejis: nwih
Išreiškia-išvada-atvejis: lwih
direktyva-nuotaika: de
deontic-nuotaika: da
klausimas-žodis: slah
copula: ksah
asmuo: psoh
kitas: tcoh
skaičius: do
labai: tcah
laikas: trah
laikas-kontekstas: ro
laiko-atvejis: mrah
apie: ke
episteminis-nuotaika: pe
tik: twuh
tada: pcah
Hortative-nuotaika: twah
retrospektyvus-aspektas: rwih
Volitive-nuotaika: li
prieš: tceh
po: ba
nusavinamas-turėjimas: lyih
neatimamas-turėjimas: nlih
svarstymo-nuotaika: drih
perlative-atvejis: pwih
progresuojantis-aspektas: psih
čia: tcih
pagal-kontekstas: ce
delative-atvejis: dwih
semelfactive-aspektas: mweh
Neo: nyoh
fokusas: fo
meilė: pyah
paucal-skaičius: ploh
nes: yo
priežastinis-atvejis: ksih
Pavadinimas: gi
tinkamas-daiktavardis: tsah
Hortative: re
matomas-pagrįstas-įrodymu: crih
desiderative-nuotaika: dwah
terminative-atvejis: twih
inessive-atvejis: nweh
imperatyvas-nuotaika: prih
tikėti: kcah
valstybės-kontekstas: ga
tikiuosi: cwah
priežastinis-pagrįstas-įrodymu: fwih
geidžiamoji-nuosaka-nuotaika: pcih
REALIS-nuotaika: le
potencialas-nuotaika: tlah
allative-atvejis: lweh
žmogaus-veiklos-lytis: fi
tema: wo
tas-pats-tema žymeklis: cyah
kitoks-tema: fe
baimė: ko
abejonė: cu
dubitative-nuotaika: tweh
palūkanos: nyih
VIALIS-atvejis: wi
keistas: trih
pokytis: ryih
laimingas: clah
išskyrus: swah
noras: kwah
ilgis: lo
tikimybė: bi
susitarimas: grah
bėda: mlah
quotative-atvejis: kwih
imtinai-asmuo: lwoh
precative-nuotaika: rwah
mandagus-registruotis: brih
būsimas-aspektas: tfah
Gnomiczny-aspektas: go
inchoative-aspektas: zi
