bendratis: hnit
vardininkas-atvejis: hnak
galininko-atvejis: hkak
tema-atvejis: htak
pirminis: hmat
tėtis: hpap
mama: hmam
Labas: hnat
protėvis: htat
senelių: hyat
alkanas: hcac
kilmininko-atvejis: hnik
būdvardis: hcit
ir: hwan
man: hmic
Jūs: hnan
mums: hnam
tai: hyic
paskirties-vieta-atvejis: htas
naudininkas-atvejis: htik
interjeras-kontekstas: htis
asmuo-kontekstas: hpak
priklausomas-išlyga: htan
Tobulas-aspektas: htap
praeitis-įtempti: hkat
vyriškas-lytis: hsan
comitative-atvejis: hmik
dovana-įtempti: hyan
benefactive-atvejis: hpik
essive-atvejis: swik
ne: hnic
jos: hsis
paviršius-kontekstas: hsak
adpositional-atvejis: hpan
vieta-atvejis: hwak
erdvė-kontekstas: hnos
būdas-atvejis: hrak
instrumentinis-atvejis: hsik
kuris: hkan
klausiamasis-nuotaika: hnim
ir-arba: htam
išskirtinė---arba: hkit
šaltinis-atvejis: hsok
įnagininko-atvejis: hlak
demonstratyvus: hdit
bet: hlan
visi: hsut
moteriškas-lytis: hnin
jie: hwin
daugiskaitos-skaičius: hlun
vienas: hyik
ateitis-įtempti: hwet
socialinis-kontekstas: hson
kada: hkap
imperfective-aspektas: hmap
ten: hkac
sąlyginis-nuotaika: hcan
daugiau: hdoc
iš: htac
santykinis-atvejis: hrik
Išreiškia-išvada-atvejis: hlik
padaryti: hkas
direktyva-nuotaika: hden
deontic-nuotaika: hdim
klausimas-žodis: hwac
copula: hkok
asmuo: hpon
Vyras: hman
galėtų: kwat
kitas: hcon
skaičius: hnoc
labai: tcac
laikas: htim
laikas-kontekstas: htos
laiko-atvejis: hmak
apie: hkam
episteminis-nuotaika: hsim
tik: htun
mažai: hcak
tada: pcan
Hortative-nuotaika: hton
retrospektyvus-aspektas: hrip
puikus: hcat
Volitive-nuotaika: hlim
prieš: hsec
turi: pcic
du: htut
pamatyti: tcan
žinoti: hsat
žemyn: hcin
po: hcas
pirmas: hpas
nuosavas: hpun
nusavinamas-turėjimas: hlic
niekada: hnac
neatimamas-turėjimas: hkic
senas: hwat
svarstymo-nuotaika: hcim
diena: htin
kur: hnap
ateiti: hlat
būdas: hyas
darbas: hkaf
balsis: hwaf
eiti: hkun
perlative-atvejis: pwik
progresuojantis-aspektas: hpip
ilgai: hlac
pasakyti: hsac
kaip: hkin
net: hpit
atgal: hwap
čia: hcic
galvoti: hcik
tas-pats: hsam
paskutinis: kcac
toli: twan
pagal-kontekstas: hnas
imti: htit
rasti: hfan
ranka: cyat
jaunas: hyac
nors: hyap
duoti: hkik
dievas: hmac
delative-atvejis: lwak
niekas: hmin
teisė: hyit
kartą: hyam
semelfactive-aspektas: fwip
dalis: hpat
pjūklas: htic
namas: hfas
pasaulis: tcat
galva: hcaf
trys: tyin
Neo: hnon
fokusas: hcok
meilė: hpac
visada: hsit
naktis: hwit
kiekvienas: hmit
karalius: hyak
tarp: hsin
širdis: cyin
paucal-skaičius: plom
nes: hyok
priežastinis-atvejis: ksak
dalykas: hkis
rinkinys: swat
Pavadinimas: hnem
tinkamas-daiktavardis: hran
Hortative: hrat
šalis: hlit
paklausė: hput
matomas-pagrįstas-įrodymu: crit
geriau: pcac
pusė: psac
kursas: hkus
patelė: hfin
pakankamai: kyat
greitai: hpuc
pilnas: hcun
kambarys: hfac
beveik: hlap
negali: nyat
vanduo: hwik
desiderative-nuotaika: hdin
šviesa: lyak
nei: hnun
žodis: slat
durys: tyan
naudojimas: hpus
rytas: hsap
terminative-atvejis: twik
galia: hkuk
patys: hmis
dabartis: hyin
balsas: hwas
baltas: hpis
pinigai: tlan
Kitas: kyak
prastas: hyis
mirtis: hmut
forma: hfam
inessive-atvejis: nwik
malonus: tyac
dažnai: tsan
metai: nwan
draugas: myat
tvarka: hyut
imperatyvas-nuotaika: hpim
turas: hcut
tikėti: hban
visuomenės: hpin
valstybės-kontekstas: hsas
sūnus: psat
šimtas: hmas
vaikai: hcis
taip: tyak
tikiuosi: hcap
aukščiau: hyip
brangusis: pyin
skaityti: pyac
miestas: hsic
jau: hpic
faktas: hfat
priežastinis-pagrįstas-įrodymu: hfit
Klausyk: hsun
mažiau: hmim
gal: pyat
atviras: kcat
kūnas: tcic
oro: cwac
pobūdis: nyit
padėti: mlat
laiškas: lyat
keturi: ksat
geidžiamoji-nuosaka-nuotaika: hpam
ugnis: hfak
todėl: hyif
valanda: hcam
nemokamai: tyit
karas: syat
ar: hsaf
priežastis: kyan
vieningas: hnut
kvietimas: hkuc
kodėl: hwam
prarastas: hkut
tūkstantis: tsas
šeimos: hfic
siela: twam
klausimas: swac
priežiūra: kcan
REALIS-nuotaika: hlin
vidutinis: mwit
potencialas-nuotaika: hten
link: cyan
allative-atvejis: lwik
žmogaus-veiklos-lytis: hrin
trumpas: kyut
pajėgus: hyuk
gyventi: hkip
tema: hsek
tas-pats-tema žymeklis: hcek
kitoks-tema: hfek
atsakymas: tsat
jūra: mwat
baimė: hcoc
suprasti: pcat
sunku: kyin
sąlygos: tyut
abejonė: hdac
dubitative-nuotaika: twin
paklausti: psan
ginklai: tcas
juodas: clis
atnešti: tyat
gražus: ksis
tamsus: tcak
laikyti: psak
dešimt: htaf
Rodyti: pyan
istorija: hkif
bendras: kwan
knyga: hkup
elektroninis: lyin
kalbėti: plak
ženklas: myac
palūkanos: nyis
rašyti: kcit
lova: pwat
būtinas: syis
idėja: hwis
menas: klat
VIALIS-atvejis: hlas
brolis: pyak
kartais: ksas
linija: lyan
lentelė: tlas
upė: nwit
akis: kyac
informacija: fyin
staiga: tfan
keistas: hgan
giliai: ksan
pokytis: hrit
jausmas: nwac
susitikti: mlit
tikslas: htuc
laimingas: hcuc
atrodyti: syit
kraujas: cyac
rožė: kwas
į-pietus: swan
šaltas: tlat
Pirmyn: myik
pozicija: psis
vėlai: tyam
stovėti: syan
tarkime: nlas
dukra: pyit
mano: myan
supjaustyti: hkim
kopija: hfap
vyras: hgat
šeši: hlis
prisiminti: twat
poveikis: hyaf
kristi: htuk
išskyrus: hsip
plaukai: hpaf
pereiti: pyas
autorinės-teisės: pcit
kariuomenė: cyit
paleisti: kcak
arklys: kcas
ateitis: hwic
į-vakarus: pcak
mokėti: plit
raudonas: hyun
auksas: tcun
noras: hdan
Groti: plin
meistras: mwas
biuras: hfus
vyriausybė: syak
bažnyčia: kyas
ilgis: hlen
įmonė: ksin
popierius: kyis
tikimybė: hbin
ypač: cyas
turėti: pcas
langas: cyak
susitarimas: hgac
grožis: syac
pareiga: tfac
siųsti: fyan
atstumas: htif
tyla: slan
pėda: fyat
laukinis: kyik
mirti: myam
sutaupyti: pfan
žalias: kcin
bėda: mlan
šypsena: myak
neteisus: clat
įvairus: pcin
miegas: slit
quotative-atvejis: kwik
pradžia: cwan
veiksmas: kfan
apsilankymas: fwat
sekti: nlan
pabandyti: tcis
buvimas: psit
saldus: tlit
turtingas: tcin
priešas: tcam
laivas: hcip
būklė: kyit
įskirtinai: hkum
imtinai-asmuo: hlon
paslaptis: kwit
precative-nuotaika: pwim
mandagus-registruotis: hbit
blogis: pwac
Kovas: myas
kokia: kwac
pasilikti: hlam
užuot: plat
mėlynas: plan
neįmanomas: psap
mokykla: hsuk
proga: ksac
vedęs: nwat
maistas: hcuk
dvidešimt: tsis
ramus: tcit
lengvai: hnis
būsimas-aspektas: hrap
kalba: lyac
išraiška: syas
savaitė: hsus
salė: hcum
pavojus: kcic
turtas: myit
gimęs: nyan
teismas: kcut
paprastai: tyap
Gnomiczny-aspektas: hmip
vertas: tyas
paprastas: syap
medis: pyic
kova: pyap
sienos: twit
dangus: cwak
inchoative-aspektas: htip
Liepiamoji-nuotaika: hjin
tonas: twun
atsižvelgti: klan
laukiamas: pcik
mėnuo: hmaf
patirtis: nyap
visiškai: nyac
šviežias: tsac
kunigaikštis: hnuk
taikoma: kwak
riba: hyim
į-rytus: tyuk
akmuo: pwan
šiek-tiek: kfat
kryptis: tlac
kėdė: kwis
parama: syut
data: tyic
kaimas: klac
laukas: clit
leidimas: nwin
liberalus-nuotaika: hmom
sėkmė: slak
tinkamas: hric
kalnas: clin
muzika: ksik
distalinės-demonstratyvus: hdat
popietė: htup
šauksmas: hyuc
garbė: hnaf
septyni: swit
privatus: pfat
naujienos: nwas
scena: slac
sodas: cyam
varžybos: htus
skirstomasis-atvejis: twak
sužinoti: clan
politinis: syik
melas: kcun
mesti: tsak
valgyti: kcam
aukštas: hlaf
blogai: pwin
originalus: mlin
vasara: kyam
religija: tlam
nuotrauka: ksit
pabėgti: plap
autorius: hlut
rudas: pyun
Atkaklus: htem
skausmas: hdon
pavasaris: psin
amžius: syic
minkštas: mwan
kampas: kyun
gaminti: psas
juokas: cyaf
pamiršti: flat
Europa: hyup
aštuoni: lwat
suknelė: lwac
baisus: cyap
kvėpavimas: syaf
protingas: hbas
savininkiškas-žymeklis: srak
atmintis: myin
modernus: fwan
vieta: tcap
pakilti: hyus
pertrauka: pyik
penkiasdešimt: hfis
sala: tlap
liesti: hsuc
pažadas: pcam
commissive-nuotaika: mwin
laipsnis: tfat
planas: plac
elgesys: nyak
staigmena: cran
minutė: hmun
kadras: hwut
blogiau: pcap
stiklas: klak
instancija: tlin
saugus: hsif
gydytojas: tsit
Kompletywny-aspektas: hmep
pakartotinis: tyun
karinis: slin
šiltas: nyam
gėrimas: pfin
klausimai: pcaf
pyktis: nran
tiesiogiai: tyik
skrybėlė: hcup
šuo: kwap
tarnas: hnuc
pasididžiavimas: hram
minia: tcuc
traukinys: nyin
moralinis: myut
susijęs: kyim
įeiti: fyak
taisyklė: nyas
kardas: cwat
ataka: kfak
sveikata: clac
pastraipa: pyaf
socialinis: hsum
pinigų-grąžinimas: tfit
atsiprašau: hpec
drąsa: krac
malonė: hnen
oficialus: hfaf
jei: tsik
prašymas: pwit
pažvelgti: klas
judėjimas: hyon
tikėtis: cwit
priešais: psam
dvylika: tyaf
užsiima: nyut
vyno: hwun
skonis: swut
geležies: fyac
paskirstyti: syin
prekyba: myap
pranašumas: twac
drabužiai: kfip
teisėjas: fwak
skirtumas: tfaf
neramus: kcis
kapitonas: kwin
gatavas: nlat
nutraukimas-aspektas: hsep
smalsus: kyic
užsienio: kwic
stiprinimo: hnif
svarba: myun
pagaliau: hfim
sąskaita: fwin
įrodyti: hpuk
užkirsti-kelią: flan
kaklas: cyun
juridinis: hfik
sausas: swak
tarnauti: syam
prarasti: pcut
įrodymas: pyut
pagrįstas-įrodymu-atvejis: hdak
pažanga: pyis
pastatas: klit
Ieškoti: syuc
liūdnas: hrac
nuodėmė: psip
trisdešimt: tfis
sąžiningas: tsin
uždaryti: kyap
bankas: pcun
likimas: cyik
miškas: hfun
matuoti: mlac
kitaip: htoc
srautas: lyam
duona: hpup
papildomas: tfak
pasirinkti: twas
gyvūnas: nwam
geologinƳ-lytis: hzin
eventive-nuotaika: hwim
tas-pats-renginys žymeklis: hcom
dauginamasis-atvejis: tlak
storas: hmus
padaras: hyum
lietus: myic
paviršius: pfas
šventas: swis
liepa: clim
ataskaita: hfut
pakrantė: pwas
byla: hfif
petys: cwut
nustebino: kran
karališkas: klik
daina: hkuf
komfortas: kfaf
bet-kas: nyic
žolė: kcap
atkreipti: cwik
atidarymas: cyic
birželis: cwun
žuvis: mlic
kapitalas: klin
krūtinė: cyut
sniegas: hcif
švietimas: tlik
aštrus: tcaf
gailestis: hdam
išlaidos: fyas
tavo: hmuc
milijonas: mlun
pavargęs: tcik
nužudyti: ksam
šešėlis: cwap
svoris: plas
masė: mlas
nustatytas: tlip
drąsus: pyam
plonas: plic
patenkintas: srat
patikrinti: kcik
dorybė: hdet
nacionalinis: nyaf
dieviškas: swin
slėnis: clak
atspėti: kwam
spekuliacinis-nuotaika: hken
geltonas: clas
palaikai: mwac
smilga: nlac
dėžė: pwak
sezonas: tsim
mokslas: slas
gręžinys: kcuc
dėdė: hmuk
sąrašas: lyit
Rugpjūtis: ksut
populiarus: hlup
nežinomas: fyit
susipažinęs: flak
susipažinęs-registruotis: krit
skaitytojas: tsut
požiūris: pcuc
dvigubai: tsap
intelektinis: tfik
tikrai: tsam
kunigas: pcis
sužeistas: fran
liūdesys: hpom
rūmai: kfas
įveikti: clap
eh?: hnec
kvailas: myuk
kraštas: pfac
devyni: nwun
sprogimas: psut
kentėti: tfas
triukšmas: hcus
literatūra: lyic
patarimas: swas
tuščias: kcuk
rangas: psik
audra: tcut
kišenė: kyip
vaizduotė: nlin
sakinys: cwas
lapkritis: nwap
gruodis: tsip
nebuvimas: psic
dėkoti: ryak
adresas: tyis
paukštis: pyuc
savininkas: mlik
kailis: kwut
parengti: tyip
santykiai: lwan
dūmai: htum
sausis: nwak
mašina: clic
turinys: nyik
dantys: tlis
gėda: hcet
įlanka: kcaf
smegenys: pyuk
žiedas: klic
frazė-žymeklis: frak
aikštė: ksap
vaisiai: fyut
arbata: tsic
paaiškinti: slam
Sveiki: cwam
poezija: pwis
nupirkti: klam
ištikimas: hdic
sujaudinimas: hcen
keturiasdešimt: klis
Balandis: pyip
maloniai: kfit
spalis: kfap
kartus: kyuc
vergas: tlaf
laisvas: hluk
tekstas: tsus
kreditas: cyip
penkiolika: pfit
žiaurus: kcim
prisijungti: cluc
procesas: hpif
nusikaltimas: kyaf
dulkės: tsuc
praktinis: plik
spalva: nlak
sunaikinti: nyuc
padidinti: lyas
nosis: hnus
pripažinti: tyim
vakar: kfac
hesternal-įtempti: tlen
žlugti: slap
Tęsti: tcim
dėvėti: pwam
aklas: nlit
tuzinas: tsun
skraidyti: fyap
pagyrimas: cwin
velnias: cwaf
palaipsniui: twic
auka: kyif
pratimas: cyis
sąžinė: tfin
teorija: tlic
ministras: myis
nekęsti: hnet
ežeras: cwic
centras: syun
nualpti: pfic
racionalus-lytis: hron
atsargus: fwac
mėgautis: nlam
garbinimas: pwap
prekės: twap
oda: twaf
stogas: tlut
karūna: gyan
pilis: klap
sostas: tcus
pridedamas: nlaf
mylia: mlim
kraštutinis: krim
kalėjimas: fyis
taurė: kcip
narys: mlam
civilinis: syim
visur: tsaf
akivaizdus: tfic
pora: pwaf
apimtis: clam
paprotys: ksaf
lankas: ksun
kostiumas: slut
mėsa: mwak
pienas: hluc
augalinis-lytis: hwen
vizija: slic
retas: nlap
pusbrolis: ksic
tiltas: pwut
apsaugoti: pfak
druska: swam
nekaltas: hwus
karalienė: kwim
skaičiuoti: kcus
smalsumas: hras
šokis: tyus
viešbutis: clut
pildyti: flin
kalinys: psun
parduotuvė: hjan
laiptai: sric
elgetauti: hmen
smėlis: sran
smurtinis: hgit
rugsėjis: hsem
išvykimas: prac
griuvėsiai: crin
įgūdis: krin
galvijai: hwec
įranga: hwip
virtuvė: hkon
parduoti: hbak
greitis: hsot
išvada: clon
kompiuteris: hkot
amžinas: hsen
ribotas: mrit
biblioteka: hbek
bazė: hbac
painiava: hrun
šlovingas: cris
taip-pat: hjic
išsigandęs: hbic
nepatenkintas: prin
straipsnis: hrek
virėjas: kfin
juosta: hbat
dykuma: hget
bučinys: hbun
kamuolys: hbot
lazda: hpot
argumentas: hrut
stebėti: nrak
palaiminimas-nuotaika: hbim
ryškus: hrim
kaltas: hdis
pistoletas: hgin
policija: plis
paslėpti: hzan
ekspedicija: srin
neišmanantis: nrin
dosnus: drac
debesis: blan
atliekos: htek
vasaris: frif
liga: hren
praleisti: bwan
šaltinis: sron
iniciatyva-atvejis: hnok
teta: hbam
delsimas: dlic
atidėtas-imperatyvas: hlip
pranešė-pagrįstas-įrodymu: prat
vidurnakčio: dyit
herojus: nrac
filosofija: hfof
pirštas: hjit
patogus: hzat
kažkur: hmoc
spauda: bran
personalas: hraf
apdovanojimas: rwan
kaltė: dlac
vargas: krat
kakta: htec
skelbimas: glan
angelas: htet
vienaskaitos-skaičius: hgam
aušra: hbon
prekybos: krak
atleisti: pran
avis: hcec
kantrybė: hpen
ferma: crac
referuoto: hrec
kukurūzai: mran
raktas: kcif
dauguma: hmot
silpnumas: hdut
atmosfera: traf
atodūsis: tcoc
žmonija: mlis
opozicija: pric
diskas: hdik
vienišas: hket
menininkas: nrat
riteris: cwis
žavesys: tran
sprendimas: drin
gubernatorius: gran
filialas: rwac
dispozicija: hsoc
entuziazmas: tsum
indukcinis-nuotaika: hdum
bendruomenė: hmum
alyva: hyen
vamzdis: hbap
spausdinti: trat
oi: dyoc
diskursas-kontekstas: hros
šauksmininko-atvejis: hwok
kabina: ksen
žadintuvas: plam
nervų: hnes
nuolatinis: hset
peilis: ksuk
šilkas: slik
panieka: grin
pragaras: nrik
atskirti: plen
rimtai: mrat
mišrus: mrik
medinis: mrak
teikti-pirmenybę: hpet
įspėjimas: trin
perspėjimas-nuotaika: htom
impulsas: hmos
ambicija: mrac
neigti: hnek
konstitucija: swic
instrumentas: srit
nepertraukiamas-aspektas: hnip
banga: hgas
kolegija: klen
uodega: hkek
karta: nric
katė: blat
tiesioginis-pagrįstas-įrodymu: hret
apleistas: trac
vienuolika: hyec
instinktas: nlik
charakteristika: trit
gentis: hgik
sumanus-nuotaika: pcim
pastogė: crat
grubus: hruc
jodinėjimas: hris
purtyti: hmon
pramonė: hdot
profesija: hres
lempa: hdap
kava: kfif
paklusti: htot
šiaurinis: nrit
slaugytoja: nris
užtikrinti: hjat
grandinė: ryin
mokymas: cric
avalynė: hgut
kiemas: mram
neaiškus: hmec
kitur: hlet
butas: pret
veikla: twot
šeštadienis: cram
saulės-šviesa: hduc
našlė: hwuc
elementas: hlem
atspindys: hfen
organizacija: hgis
žvaigždė: tram
incidentas: hgon
svečias: hgip
baras: brap
butelis: hbet
palaiminti: blak
