bezokolicznik: ni
mianownikowy-sprawa: na
biernik-sprawa: ka
temat-sprawa: ta
Halo: ca
dopełniacz-sprawa: sa
przymiotnik: ci
i: wa
mnie: mi
ty: ya
nas: nlah
ono: yi
cel-sprawa: ti
celownik-sprawa: pa
wnętrze-kontekst: tu
osoba-kontekst: pi
zależny-klauzula: yu
perfektywny-aspekt: fa
przeszłość-czas: ki
rodzaj-męski-płeć: si
comitative-sprawa: mwih
obecny-czas: ma
benefactive-sprawa: pwah
essive-sprawa: swih
nie: nu
jego: tsih
powierzchnia-kontekst: su
adpositional-sprawa: pu
Lokalizacja-sprawa: te
przestrzeń-kontekst: no
droga-sprawa: ra
instrumentalny-sprawa: se
badawczy-humor: ri
i-lub: to
Ekskluzywny-albo: ku
źródło-sprawa: so
narzędnik-sprawa: lwah
wskazujący: di
ale: la
kobiecy-płeć: ne
liczba-mnoga-numer: lu
przyszłość-czas: we
społeczny-kontekst: mo
niedokonany-aspekt: me
tam: klah
warunkowy-humor: co
jeszcze: kcoh
krewny-sprawa: nwih
illative-sprawa: lwih
dyrektywa-humor: de
deontyczna-humor: da
pytanie-słowo: slah
spójka: ksah
osoba: psoh
inne: tcoh
numer: do
bardzo: tcah
czas: trah
czas-kontekst: ro
czasowy-sprawa: mrah
o: ke
epistemiczna-humor: pe
tylko: twuh
następnie: pcah
hortative-humor: twah
z-mocą-wsteczną aspekt: rwih
volitive-humor: li
przed: tceh
po: ba
przenośny-posiadanie: lyih
niezbywalny-posiadanie: nlih
obradujący-humor: drih
perlative-sprawa: pwih
progresywny-aspekt: psih
tutaj: tcih
pod-kontekst: ce
delative-sprawa: dwih
semelfactive-aspekt: mweh
neo: nyoh
skupiać: fo
miłość: pyah
paucal-numer: ploh
bo: yo
przyczynowy-sprawa: ksih
imię: gi
właściwy-rzeczownik: tsah
hortative: re
widoczny-dowodowy: crih
desiderative-humor: dwah
terminative-sprawa: twih
inessive-sprawa: nweh
tryb-rozkazujący-humor: prih
uwierzyć: kcah
stan-kontekst: ga
nadzieja: cwah
factive-dowodowy: fwih
życzący-humor: pcih
realis-humor: le
potencjał-humor: tlah
Allativus-sprawa: lweh
antropiczny-płeć: fi
Przedmiot: wo
takie-same-Przedmiot znacznik: cyah
inny-Przedmiot: fe
strach: ko
wątpić: cu
dubitative-humor: tweh
zainteresowanie: nyih
Vialis-sprawa: wi
dziwne: trih
zmiana: ryih
szczęśliwy: clah
oprócz: swah
pragnienie: kwah
długość: lo
prawdopodobieństwo: bi
umowa: grah
problem: mlah
quotative-sprawa: kwih
włącznie-osoba: lwoh
precative-humor: rwah
uprzejmy-zarejestrować: brih
spodziewany-aspekt: tfah
gnomiczny-aspekt: go
inchoative-aspekt: zi
jussive-humor: jwih
dozwalający-humor: mwah
właściwy: kcih
dystalnej-wskazujący: tseh
dystrybucyjny-sprawa: nwah
zdecydowany: treh
ból: droh
mądry: ja
zaborczy-znacznik: srah
commissive-humor: mu
niespodzianka: crah
dopełniający-aspekt: kweh
gniew: nrah
duma: brah
Przepraszam: pceh
odwaga: krah
łaska: nreh
ruch: mroh
niespokojny: cwih
zaprzestanie-aspekt: za
wzmacniacz: tfih
dowodowy-sprawa: ryah
smutny: syah
inaczej: tyah
zoic-płeć: zo
eventive-humor: nwoh
takie-same-zdarzenie znacznik: cwoh
mnożny-sprawa: plah
zaskoczony: prah
litość: lyah
masa: mlih
zadowolona: srih
cnota: be
spekulacyjny-humor: po
znajomy-zarejestrować: krih
ranny: frah
smutek: proh
co?: nyah
podziękować: kyah
wstyd: ru
wyrażenie-znacznik: fyah
wierny: cyih
podniecenie: tyeh
hesternal-czas: tleh
nienawidzić: tyih
racjonalny-płeć: tlih
skrajny: kreh
roślinny-płeć: slih
ciekawość: kyih
przestraszony: kcuh
artykuł: myah
błogosławieństwo-humor: bwih
winny: dlih
nieświadomy: nrih
hojny: drah
inicjatywa-sprawa: twoh
opóźniony-tryb-rozkazujący: ji
Podawane-dowodowy: psah
winić: dlah
nieszczęście: kfah
pojedynczy-numer: gu
przebaczyć: pfah
cierpliwość: je
referencyjny: freh
samotny: kyoh
urok: croh
entuzjazm: tsuh
indukcyjny-humor: tcuh
rozprawiać-kontekst: ye
wołacz-sprawa: bo
pogarda: grih
napomnienie-humor: tyuh
ambicja: bwah
ciągły-aspekt: nyeh
bezpośredni-dowodowy: troh
lękliwy-humor: pcoh
zaszokować: cruh
niedawny-przeszłość-czas: clih
konkretny-artykuł: klih
zazdrosny: ryuh
imprecatory-humor: mrih
obojętność: du
zarozumiały-humor: syih
zranienie: kroh
Protasis: rwoh
wrogi: cyuh
mimetyczny: mreh
mianowicie: gwih
hodiernal-czas: dloh
delimitative-aspekt: dweh
Ekskluzywny-osoba: kwuh
TELIC-aspekt: tfeh
atelic-aspekt: tsoh
prohibicyjny-humor: jrih
torturować: nroh
lojalność: nloh
momentane-aspekt: myeh
przebaczenie: jrah
pokorny-zarejestrować: myih
były-zmarły: frih
zacytować: wu
kłopot: zrah
zwykły-aspekt: bu
wynikający: kseh
pracowitość: dyih
formalny-zarejestrować: sreh
słuchowy-dowodowy: creh
spójnik: ksoh
inferential-dowodowy: flih
dopełniający: sleh
sublative-sprawa: swoh
deklaracyjny-humor: ksuh
słowny: kceh
twierdzący-humor: fwah
niezadowolenie: dyah
idiofony: dyoh
nadmierny-sprawa: zwah
