bezokolicznik: hnit
mianownikowy-sprawa: hnak
biernik-sprawa: hkak
temat-sprawa: htak
roślina-mateczna: hmat
tata: hpap
mama: hmam
Halo: hnat
przodek: htat
dziadkowie: hyat
głodny: hcac
dopełniacz-sprawa: hnik
przymiotnik: hcit
i: hwan
mnie: hmic
ty: hnan
nas: hnam
ono: hyic
cel-sprawa: htas
celownik-sprawa: htik
wnętrze-kontekst: htis
osoba-kontekst: hpak
zależny-klauzula: htan
perfektywny-aspekt: htap
przeszłość-czas: hkat
rodzaj-męski-płeć: hsan
comitative-sprawa: hmik
obecny-czas: hyan
benefactive-sprawa: hpik
essive-sprawa: swik
nie: hnic
jego: hsis
powierzchnia-kontekst: hsak
adpositional-sprawa: hpan
Lokalizacja-sprawa: hwak
przestrzeń-kontekst: hnos
droga-sprawa: hrak
instrumentalny-sprawa: hsik
który: hkan
badawczy-humor: hnim
i-lub: htam
Ekskluzywny-albo: hkit
źródło-sprawa: hsok
narzędnik-sprawa: hlak
wskazujący: hdit
ale: hlan
wszyscy: hsut
kobiecy-płeć: hnin
oni: hwin
liczba-mnoga-numer: hlun
jeden: hyik
przyszłość-czas: hwet
społeczny-kontekst: hson
gdy: hkap
niedokonany-aspekt: hmap
tam: hkac
warunkowy-humor: hcan
jeszcze: hdoc
na-zewnątrz: htac
krewny-sprawa: hrik
illative-sprawa: hlik
robić: hkas
dyrektywa-humor: hden
deontyczna-humor: hdim
pytanie-słowo: hwac
spójka: hkok
osoba: hpon
męski: hman
móc: kwat
inne: hcon
numer: hnoc
bardzo: tcac
czas: htim
czas-kontekst: htos
czasowy-sprawa: hmak
o: hkam
epistemiczna-humor: hsim
tylko: htun
mało: hcak
następnie: pcan
hortative-humor: hton
z-mocą-wsteczną aspekt: hrip
wielki: hcat
volitive-humor: hlim
przed: hsec
musi: pcic
dwa: htut
widzieć: tcan
wiedzieć: hsat
na-dół: hcin
po: hcas
pierwszy: hpas
własny: hpun
przenośny-posiadanie: hlic
nigdy: hnac
niezbywalny-posiadanie: hkic
stary: hwat
obradujący-humor: hcim
dzień: htin
gdzie: hnap
chodź: hlat
droga: hyas
praca: hkaf
samogłoska: hwaf
iść: hkun
perlative-sprawa: pwik
progresywny-aspekt: hpip
długi: hlac
powiedzieć: hsac
jak: hkin
parzyste: hpit
plecy: hwap
tutaj: hcic
myśleć: hcik
podobnie: hsam
trwać: kcac
z-dala: twan
pod-kontekst: hnas
brać: htit
uznany: hfan
dłoń: cyat
młody: hyac
chociaż: hyap
dać: hkik
Bóg: hmac
delative-sprawa: lwak
nic: hmin
dobrze: hyit
pewnego-razu: hyam
semelfactive-aspekt: fwip
część: hpat
Piła: htic
dom: hfas
świat: tcat
głowa: hcaf
trzy: tyin
neo: hnon
skupiać: hcok
miłość: hpac
zawsze: hsit
noc: hwit
każdego: hmit
