infinitivo: ni
nominativo-caso: na
acusativo-caso: ka
tema-caso: ta
Olá: ca
genitivo-caso: sa
adjetivo: ci
e: wa
a-mim: mi
vocês: ya
nos: nlah
isto: yi
destino-caso: ti
dativo-caso: pa
interior-contexto: tu
pessoa-contexto: pi
dependente-cláusula: yu
perfectivo-aspecto: fa
passado-tenso: ki
masculino-gênero: si
comitative-caso: mwih
presente-tenso: ma
benefactivo-caso: pwah
essive-caso: swih
não: nu
As-suas: tsih
superfície-contexto: su
adpositional-caso: pu
localização-caso: te
espaço-contexto: no
caminho-caso: ra
instrumental-caso: se
interrogativo-humor: ri
e-ou: to
exclusivo-ou: ku
fonte-caso: so
ablativo-caso: lwah
demonstrativo: di
mas: la
feminino-gênero: ne
plural-número: lu
futuro-tenso: we
social-contexto: mo
imperfeito-aspecto: me
há: klah
condicional-humor: co
Mais: kcoh
relativo-caso: nwih
ilativo-caso: lwih
directiva-humor: de
deontic-humor: da
questão-palavra: slah
cópula: ksah
pessoa: psoh
de-outros: tcoh
número: do
muito: tcah
Tempo: trah
Tempo-contexto: ro
temporal-caso: mrah
cerca-de: ke
epistêmica-humor: pe
só: twuh
então: pcah
exortativo-humor: twah
retrospectivo-aspecto: rwih
volitivo-humor: li
antes: tceh
após: ba
alienável-posse: lyih
inalienável-posse: nlih
deliberativo-humor: drih
perlative-caso: pwih
progressivo-aspecto: psih
Aqui: tcih
debaixo-contexto: ce
delative-caso: dwih
semelfactive-aspecto: mweh
neo: nyoh
foco: fo
AME: pyah
paucal-número: ploh
Porque: yo
causal-caso: ksih
nome: gi
adequado-substantivo: tsah
exortativo: re
visível-comprobatório: crih
desiderativa-humor: dwah
terminativo-caso: twih
inessive-caso: nweh
imperativo-humor: prih
acreditar: kcah
Estado-contexto: ga
esperança: cwah
factive-comprobatório: fwih
optativo-humor: pcih
realis-humor: le
potencial-humor: tlah
alativo-caso: lweh
antrópico-gênero: fi
assunto: wo
mesmo-sujeito-marcador: cyah
diferente-sujeito: fe
medo: ko
dúvida: cu
dubitativo-humor: tweh
interesse: nyih
Vialis-caso: wi
estranho: trih
alterar: ryih
feliz: clah
exceto: swah
desejo: kwah
comprimento: lo
probabilidade: bi
acordo: grah
problema: mlah
quotative-caso: kwih
inclusivo-pessoa: lwoh
precative-humor: rwah
educado-registrar: brih
em-perspectiva-aspecto: tfah
sentencioso-aspecto: go
incoativo-aspecto: zi
jussivo-humor: jwih
permissivo-humor: mwah
adequado: kcih
distal-demonstrativo: tseh
distributivo-caso: nwah
determinado: treh
dor: droh
sábio: ja
possessivo-marcador: srah
comissiva-humor: mu
surpresa: crah
completivo-aspecto: kweh
raiva: nrah
orgulho: brah
desculpa: pceh
coragem: krah
graça: nreh
movimento: mroh
ansioso: cwih
cessação-aspecto: za
intensificador: tfih
comprobatório-caso: ryah
triste: syah
caso-contrário: tyah
zóico-gênero: zo
Eventive-humor: nwoh
mesmo-evento-marcador: cwoh
multiplicativo-caso: plah
surpreso: prah
pena: lyah
massa: mlih
satisfeito: srih
virtude: be
especulativo-humor: po
familiar-registrar: krih
feridos: frah
tristeza: proh
Eh?: nyah
obrigado: kyah
vergonha: ru
frase-marcador: fyah
fiel: cyih
excitação: tyeh
hesternal-tenso: tleh
ódio: tyih
racional-gênero: tlih
extremo: kreh
vegetal-gênero: slih
curiosidade: kyih
amedrontado: kcuh
artigo: myah
bênção-humor: bwih
culpado: dlih
ignorante: nrih
generoso: drah
iniciativa-caso: twoh
atrasado-imperativo: ji
relatado-comprobatório: psah
culpa: dlah
miséria: kfah
singular-número: gu
perdoar: pfah
paciência: je
referencial: freh
solitário: kyoh
charme: croh
entusiasmo: tsuh
indutivo-humor: tcuh
discurso-contexto: ye
vocativo-caso: bo
desprezo: grih
admoestação-humor: tyuh
ambição: bwah
contínuo-aspecto: nyeh
direto-comprobatório: troh
apreensivo-humor: pcoh
choque: cruh
recente-passado-tenso: clih
definido-artigo: klih
ciumento: ryuh
imprecatório-humor: mrih
indiferença: du
pretensioso-humor: syih
ferimento: kroh
prótase: rwoh
hostil: cyuh
mimético: mreh
nomeadamente: gwih
hodierno-tenso: dloh
delimitative-aspecto: dweh
exclusivo-pessoa: kwuh
telic-aspecto: tfeh
atelic-aspecto: tsoh
proibitivo-humor: jrih
tortura: nroh
fidelidade: nloh
momentané-aspecto: myeh
perdão: jrah
humilde-registrar: myih
antigo-falecido: frih
citar: wu
aborrecimento: zrah
habitual-aspecto: bu
conseqüente: kseh
diligência: dyih
formal-registrar: sreh
auditivo-comprobatório: creh
conjunção: ksoh
inferencial-comprobatório: flih
expletivo: sleh
Sublative-caso: swoh
declarativo-humor: ksuh
verbal: kceh
afirmativo-humor: fwah
descontentamento: dyah
idiophone: dyoh
excessivo-caso: zwah
irrealis-humor: ze
acanhamento: cyoh
adaptação: pyih
pronome-marcador: ryeh
oprimir: zroh
equanimidade: jyah
pegative-caso: pweh
prosecutive-caso: pwuh
preocupação: byah
particípio: pfih
controlo-remoto-passado tenso: dzah
histórico-tenso: sroh
histeria: syeh
dual-número: dluh
sensorial-comprobatório-humor: xi
movimento-ladeira-acima: ryoh
retrospectivo: txih
movimento-declive: myoh
flexionada: blih
superessive-caso: psuh
transitivo: t6
frustração: xrah
movimento-upriver: truh
movimento-rio-abaixo: txah
disjunção: xo
anticlímax: tloh
atual-relevância-marcador: xa
acrônimo: qi
initialism: nl6h
gerúndio: ge
pretérito: preh
aorista: broh
partitivo-caso: pxih
Epifania: pf6h
aumentativo: xe
fobia: xyoh
determinador: txeh
predicativo: plih
prolative-caso: pxah
verídico: vyih
--valor-binário: vrih
finito-verbo: vi
tentativas-número: pc6h
pró-frase: r6
amizade: va
sentencioso-humor: kxih
central-caso: dreh
pré-hodierna: x6
paciente-caso: qa
oblíquo-caso: bwoh
meio-voz: tyoh
identificável: xyah
objetivo-gatilho: groh
lativo-caso: dvah
não-humano: n6
attenuative: nyuh
multal-número: mloh
trans-numeral: ts6h
galáxia-gênero: gjah
tchau: jwah
abessive-caso: bvah
adessive-caso: dvih
para-caso: kxah
agentive-caso: dveh
agente-gatilho: greh
ator-Função: nruh
comum-gênero: k6
acompanhante: kloh
passiva-voz: pyoh
estrela-gênero: qrah
citação-Formato: xu
verbal-substantivo: xlih
cláusula--tail: kluh
direto-objeto: rweh
ergative-caso: gvih
na---língua: byih
locativo-caso: kwoh
adverbial-caso: vlah
final-partícula: nluh
evitative-caso: ve
possessivo-caso: kfih
nominalization: mleh
possesso-caso: djah
auxiliar-verbo: fyih
primário-objeto: myuh
antessive-caso: nleh
animar-gênero: xrih
subessive-caso: bvih
veículo-gênero: vlih
mineral-gênero: xwih
sufixo-verbo-: kxeh
empática-alegria: pfeh
alterar-do-evento: qrih
diferente-evento: txoh
universo-gênero: bjih
localidade-gênero: lyeh
pesquisa-gênero: txuh
artístico-gênero: s6
crastinal-tenso: sl6h
abstrato-gênero: sruh
excêntrica-caso: zrih
transitivo-verbo: tfoh
passado-perfectivo: tr6h
indireto-discurso: dyeh
segundo-língua: sr6h
coletivo-substantivo: kxoh
absolutivo-caso: bvuh
paciente-gatilho: pruh
auto-confiança: swuh
reflexivo-voz: flah
impessoal-verbo: pseh
modal-caso: dleh
inanimado-gênero: djih
causativo: kruh
propositiva-humor: pxoh
elétrico-atual: breh
associativo-caso: sloh
superlativo-caso: sluh
planetário-gênero: pxeh
recíproca-voz: syoh
testemunho-benefactivo: kfeh
else-if: kyeh
sucessivo-cláusula: lyoh
em-breve-futuro tenso: rwuh
aplicativa-voz: pyuh
antipasiva-voz: ps6h
continuativo-aspecto: tfuh
necessitative-humor: nr6h
solteiro-açao-verbo: qyah
superlativo-grau: tluh
existencial-cláusula: sy6h
presente-particípio: vrah
luminoso-intensidade: kyuh
singulative-número: glih
passiva-particípio: pfoh
excessivo-duração: kxuh
quantidade-do-substância: m6
postpositional-caso: pwoh
eletivo-quantificador: vwih
epentético-morfema: p6
negatório-quantificador: gwah
conectivo-partícula: qyih
controlo-remoto-futuro tenso: tl6h
freqüentativo-aspecto: f6
distributivo-pronome: bzih
alocução-acordo: ks6h
universal-quantificador: xlah
ponto-flutuante-número -: fu
existencial-quantificador: sweh
alternativa-quantificador: l6
passado-passiva-particípio: xyih
locativo-direcional-caso: kfoh
contrafactual-condicional: fyoh
