infinitivo: hnit
nominativo-caso: hnak
acusativo-caso: hkak
tema-caso: htak
principal: hmat
pai: hpap
mamãe: hmam
Olá: hnat
antepassado: htat
avó: hyat
faminto: hcac
genitivo-caso: hnik
adjetivo: hcit
e: hwan
a-mim: hmic
vocês: hnan
nos: hnam
isto: hyic
destino-caso: htas
dativo-caso: htik
interior-contexto: htis
pessoa-contexto: hpak
dependente-cláusula: htan
perfectivo-aspecto: htap
passado-tenso: hkat
masculino-gênero: hsan
comitative-caso: hmik
presente-tenso: hyan
benefactivo-caso: hpik
essive-caso: swik
não: hnic
As-suas: hsis
superfície-contexto: hsak
adpositional-caso: hpan
localização-caso: hwak
espaço-contexto: hnos
caminho-caso: hrak
instrumental-caso: hsik
qual: hkan
interrogativo-humor: hnim
e-ou: htam
exclusivo-ou: hkit
fonte-caso: hsok
ablativo-caso: hlak
demonstrativo: hdit
mas: hlan
todos: hsut
feminino-gênero: hnin
elas: hwin
plural-número: hlun
um: hyik
futuro-tenso: hwet
social-contexto: hson
quando: hkap
imperfeito-aspecto: hmap
há: hkac
condicional-humor: hcan
Mais: hdoc
Fora: htac
relativo-caso: hrik
ilativo-caso: hlik
Faz: hkas
directiva-humor: hden
deontic-humor: hdim
questão-palavra: hwac
cópula: hkok
pessoa: hpon
macho: hman
poderia: kwat
de-outros: hcon
número: hnoc
muito: tcac
Tempo: htim
Tempo-contexto: htos
temporal-caso: hmak
cerca-de: hkam
epistêmica-humor: hsim
só: htun
pequena: hcak
então: pcan
exortativo-humor: hton
retrospectivo-aspecto: hrip
ótimo: hcat
volitivo-humor: hlim
antes: hsec
devo: pcic
dois: htut
Vejo: tcan
conhecer: hsat
baixa: hcin
após: hcas
primeiro: hpas
próprio: hpun
alienável-posse: hlic
Nunca: hnac
inalienável-posse: hkic
velho: hwat
deliberativo-humor: hcim
dia: htin
Onde: hnap
vir: hlat
caminho: hyas
trabalho: hkaf
vogal: hwaf
ir: hkun
perlative-caso: pwik
progressivo-aspecto: hpip
grandes: hlac
dizer: hsac
como: hkin
até: hpit
costas: hwap
Aqui: hcic
acho: hcik
mesmo: hsam
mais-recente: kcac
ausente: twan
debaixo-contexto: hnas
leva: htit
encontrado: hfan
mão: cyat
jovem: hyac
embora: hyap
dar: hkik
Deus: hmac
delative-caso: lwak
nenhuma-coisa: hmin
certo: hyit
uma-vez: hyam
semelfactive-aspecto: fwip
parte: hpat
viu: htic
casa: hfas
mundo: tcat
cabeça: hcaf
três: tyin
neo: hnon
foco: hcok
AME: hpac
sempre: hsit
noite: hwit
cada: hmit
rei: hyak
entre: hsin
coração: cyin
paucal-número: plom
Porque: hyok
causal-caso: ksak
coisa: hkis
conjunto: swat
nome: hnem
adequado-substantivo: hran
exortativo: hrat
país: hlit
perguntei: hput
visível-comprobatório: crit
melhor: pcac
lado: psac
curso: hkus
fêmea: hfin
