инфинитив: ni
именительный-дело: na
винительный-дело: ka
тема-дело: ta
Здравствуйте: ca
родительный-дело: sa
имя-прилагательное: ci
а-также: wa
меня: mi
вы: ya
нас: nlah
Это: yi
место-назначения-дело: ti
дательный-дело: pa
интерьер-контекст: tu
человек-контекст: pi
зависимый-пункт: yu
совершенный-аспект: fa
мимо-напряженный: ki
мужской-Пол: si
comitative-дело: mwih
настоящее-время-напряженный: ma
благословляющий-дело: pwah
щий-дело: swih
не: nu
его: tsih
поверхность-контекст: su
adpositional-дело: pu
место-нахождения-дело: te
пространство-контекст: no
путь-дело: ra
инструментальный-дело: se
вопросительный-настроение: ri
а-также-или: to
Эксклюзивный-или: ku
источник-дело: so
аблятив-дело: lwah
демонстративный: di
но: la
женский-Пол: ne
множественное-число-номер: lu
будущее-напряженный: we
Социальное-контекст: mo
несовершенный-аспект: me
там: klah
условный-настроение: co
Больше: kcoh
относительный-дело: nwih
выражающий-заключение-дело: lwih
директива-настроение: de
деонтические-настроение: da
вопрос-слово: slah
связка: ksah
человек: psoh
Другие: tcoh
номер: do
очень: tcah
время: trah
время-контекст: ro
временной-дело: mrah
около: ke
эпистемическое-настроение: pe
только: twuh
тогда: pcah
наставительный-настроение: twah
ретроспективный-аспект: rwih
волевых-настроение: li
до: tceh
после: ba
отчуждаемый-владение: lyih
неотъемлемое-владение: nlih
совещательный-настроение: drih
perlative-дело: pwih
прогрессивный-аспект: psih
Вот: tcih
под-контекст: ce
delative-дело: dwih
semelfactive-аспект: mweh
нео: nyoh
фокус: fo
люблю: pyah
paucal-номер: ploh
потому-как: yo
причинный-дело: ksih
имя: gi
надлежащий-имя-существительное: tsah
наставительный: re
видимый-доказательный: crih
дезидеративный-настроение: dwah
terminative-дело: twih
инессив-дело: nweh
императив-настроение: prih
считают,: kcah
государство-контекст: ga
надеяться: cwah
каузальный-доказательный: fwih
оптатив-настроение: pcih
REALiS-настроение: le
потенциал-настроение: tlah
allative-дело: lweh
антропный-Пол: fi
предмет: wo
одна-и-та же предмет маркер: cyah
другой-предмет: fe
страх: ko
сомнение: cu
dubitative-настроение: tweh
интерес: nyih
Vialis-дело: wi
странный: trih
изменение: ryih
счастливый: clah
Кроме: swah
желание: kwah
длина: lo
вероятность: bi
соглашение: grah
беда: mlah
квотатив-дело: kwih
включительно-человек: lwoh
просительный-настроение: rwah
вежливый-регистр: brih
предполагаемый-аспект: tfah
гномический-аспект: go
начинательный-аспект: zi
повелительный-настроение: jwih
разрешающий-настроение: mwah
надлежащий: kcih
дистальный-демонстративный: tseh
распределительный-дело: nwah
определенный: treh
боль: droh
мудрый: ja
притяжательный-падеж-маркер: srah
commissive-настроение: mu
сюрприз: crah
заканчивающий-аспект: kweh
гнев: nrah
гордость: brah
Прости: pceh
мужество: krah
Грейс: nreh
движение: mroh
тревожный: cwih
прекращение-аспект: za
усилитель: tfih
доказательный-дело: ryah
грустный: syah
в-противном-случае: tyah
содержащий-окаменелости-Пол: zo
Событийный-настроение: nwoh
одна-и-та же мероприятие маркер: cwoh
мультипликативный-дело: plah
удивленный: prah
жалость: lyah
масса: mlih
доволен: srih
добродетель: be
спекулятивный-настроение: po
знакомые-регистр: krih
ранен: frah
печаль: proh
а?: nyah
спасибо: kyah
позор: ru
фраза-маркер: fyah
верный: cyih
волнение: tyeh
hesternal-напряженный: tleh
ненавидеть: tyih
рациональный-Пол: tlih
крайняя: kreh
растительный-Пол: slih
любопытство: kyih
испуганный: kcuh
статья: myah
благословение-настроение: bwih
виновный: dlih
невежественный: nrih
щедрый: drah
инициатива-дело: twoh
задерживается-императив: ji
сообщается-доказательный: psah
вина: dlah
нищета: kfah
единственное-число-номер: gu
прощать: pfah
терпение: je
справочный: freh
Одинокий: kyoh
очарование: croh
энтузиазм: tsuh
индуктивный-настроение: tcuh
речь-контекст: ye
звательный-дело: bo
презрение: grih
замечание-настроение: tyuh
амбиция: bwah
непрерывный-аспект: nyeh
непосредственный-доказательный: troh
опасающийся-настроение: pcoh
шок: cruh
недавний-мимо-напряженный: clih
определенный-статья: klih
ревнивый: ryuh
проклинающий-настроение: mrih
равнодушие: du
предположительный-настроение: syih
травма: kroh
протазис: rwoh
враждебный: cyuh
подражательный: mreh
а-именно: gwih
сегодняшний-напряженный: dloh
delimitative-аспект: dweh
эксклюзивный-человек: kwuh
целенаправленный-аспект: tfeh
atelic-аспект: tsoh
запретительный-настроение: jrih
пытки: nroh
верность: nloh
momentane-аспект: myeh
прощение: jrah
скромный-регистр: myih
бывший-умерший: frih
цитата: wu
раздражение: zrah
привычный-аспект: bu
логически-вытекающий: kseh
усердие: dyih
формальный-регистр: sreh
слуховой-доказательный: creh
соединение: ksoh
выведенный-доказательный: flih
бранное-слово: sleh
sublative-дело: swoh
декларативный-настроение: ksuh
словесный: kceh
утвердительный-настроение: fwah
неудовлетворенность: dyah
идиофон: dyoh
чрезмерное-дело: zwah
irrealis-настроение: ze
застенчивость: cyoh
приспособление: pyih
местоимение-маркер: ryeh
угнетать: zroh
невозмутимость: jyah
pegative-дело: pweh
обвинительный-дело: pwuh
озабоченность: byah
причастие: pfih
дистанционный-пульт-мимо напряженный: dzah
исторический-напряженный: sroh
истерия: syeh
двойной-номер: dluh
сенсорный-доказательный-настроение: xi
движение-в-гору: ryoh
ретроспективный: txih
движение-спуск: myoh
изменяемую: blih
superessive-дело: psuh
переходный: t6
разочарование: xrah
движение-вверх-по течению: truh
движение-вниз-по реке: txah
дизъюнкция: xo
антиклимакс: tloh
текущий-актуальность-маркер: xa
акроним: qi
аббревиатуру: nl6h
герундий: ge
претерит: preh
аорист: broh
партитивный-дело: pxih
Богоявление: pf6h
увеличительный: xe
фобия: xyoh
детерминанта: txeh
предикативный: plih
prolative-дело: pxah
правдивый: vyih
двоичный-значение: vrih
конечный-глагол: vi
испытание-номер: pc6h
за-предложение: r6
дружба: va
гномический-настроение: kxih
центральный-дело: dreh
предварительно-сегодняшний: x6
пациент-дело: qa
косой-дело: bwoh
средний-голос: tyoh
опознаваемый: xyah
Цель-вызывать: groh
нигиляционными-дело: dvah
не-человек: n6
степенью-сбраживания: nyuh
multal-номер: mloh
транс-цифра: ts6h
галактика-Пол: gjah
пока-пока: jwah
abessive-дело: bvah
адессив-дело: dvih
к-дело: kxah
агентивного-дело: dveh
агент-вызывать: greh
актер-роль: nruh
общий-Пол: k6
сопровождающий: kloh
пассивный-голос: pyoh
звезда-Пол: qrah
цитата-форма: xu
словесный-имя-существительное: xlih
Предложение-хвост: kluh
непосредственный-объект: rweh
эргатив-дело: gvih
в---языке: byih
местный-дело: kwoh
адвербиальный-дело: vlah
окончательный-частица: nluh
evitative-дело: ve
притяжательный-падеж-дело: kfih
номинализация: mleh
одержимый-дело: djah
вспомогательный-глагол: fyih
первичная-объект: myuh
antessive-дело: nleh
оживить-Пол: xrih
