инфинитив: hnit
именительный-дело: hnak
винительный-дело: hkak
тема-дело: htak
родитель: hmat
папа: hpap
Мама: hmam
Здравствуйте: hnat
предок: htat
бабушка-или-дедушка: hyat
голодный: hcac
родительный-дело: hnik
имя-прилагательное: hcit
а-также: hwan
меня: hmic
вы: hnan
нас: hnam
Это: hyic
место-назначения-дело: htas
дательный-дело: htik
интерьер-контекст: htis
человек-контекст: hpak
зависимый-пункт: htan
совершенный-аспект: htap
мимо-напряженный: hkat
мужской-Пол: hsan
comitative-дело: hmik
настоящее-время-напряженный: hyan
благословляющий-дело: hpik
щий-дело: swik
не: hnic
его: hsis
поверхность-контекст: hsak
adpositional-дело: hpan
место-нахождения-дело: hwak
пространство-контекст: hnos
путь-дело: hrak
инструментальный-дело: hsik
который: hkan
вопросительный-настроение: hnim
а-также-или: htam
Эксклюзивный-или: hkit
источник-дело: hsok
аблятив-дело: hlak
демонстративный: hdit
но: hlan
все: hsut
женский-Пол: hnin
Oни: hwin
множественное-число-номер: hlun
один: hyik
будущее-напряженный: hwet
Социальное-контекст: hson
когда: hkap
несовершенный-аспект: hmap
там: hkac
условный-настроение: hcan
Больше: hdoc
вне: htac
относительный-дело: hrik
выражающий-заключение-дело: hlik
делать: hkas
директива-настроение: hden
деонтические-настроение: hdim
вопрос-слово: hwac
связка: hkok
человек: hpon
мужской: hman
мог: kwat
Другие: hcon
номер: hnoc
очень: tcac
время: htim
время-контекст: htos
временной-дело: hmak
около: hkam
эпистемическое-настроение: hsim
только: htun
немного: hcak
тогда: pcan
наставительный-настроение: hton
ретроспективный-аспект: hrip
Великий: hcat
волевых-настроение: hlim
до: hsec
должен: pcic
два: htut
видеть: tcan
знать: hsat
вниз: hcin
после: hcas
первый: hpas
своя: hpun
отчуждаемый-владение: hlic
никогда: hnac
неотъемлемое-владение: hkic
старый: hwat
совещательный-настроение: hcim
день: htin
где: hnap
приехать: hlat
путь: hyas
Работа: hkaf
гласная-буква: hwaf
идти: hkun
perlative-дело: pwik
прогрессивный-аспект: hpip
длинный: hlac
сказать: hsac
как: hkin
даже: hpit
назад: hwap
Вот: hcic
думать: hcik
одна-и-та же: hsam
последний: kcac
далеко: twan
под-контекст: hnas
взять: htit
найденный: hfan
рука: cyat
молодой: hyac
хоть: hyap
дайте: hkik
Бог: hmac
delative-дело: lwak
ничего: hmin
правильно: hyit
один-раз: hyam
semelfactive-аспект: fwip
часть: hpat
увидел: htic
дом: hfas
Мир: tcat
глава: hcaf
три: tyin
нео: hnon
фокус: hcok
люблю: hpac
всегда: hsit
ночь: hwit
каждый: hmit
король: hyak
между: hsin
сердце: cyin
paucal-номер: plom
потому-как: hyok
причинный-дело: ksak
вещь: hkis
задавать: swat
имя: hnem
надлежащий-имя-существительное: hran
наставительный: hrat
страна: hlit
спросил: hput
видимый-доказательный: crit
лучше: pcac
боковая-сторона: psac
курс: hkus
женский-пол: hfin
достаточно: kyat
скоро: hpuc
полный: hcun
комната: hfac
почти: hlap
не-могу: nyat
воды: hwik
дезидеративный-настроение: hdin
легкий: lyak
ни: hnun
слово: slat
дверь: tyan
использование: hpus
утро: hsap
terminative-дело: twik
мощность: hkuk
самих-себя: hmis
настоящее-время: hyin
голос: hwas
белый: hpis
Деньги: tlan
следующий: kyak
бедные: hyis
смерть: hmut
форма: hfam
инессив-дело: nwik
своего-рода: tyac
довольно-часто: tsan
год: nwan
друг: myat
заказ: hyut
императив-настроение: hpim
круглый: hcut
считают,: hban
общественного: hpin
государство-контекст: hsas
сын: psat
сто: hmas
дети: hcis
таким-образом: tyak
надеяться: hcap
выше: hyip
Уважаемые: pyin
читать: pyac
город: hsic
уже: hpic
факт: hfat
каузальный-доказательный: hfit
слышать: hsun
наименее: hmim
возможно: pyat
открытый: kcat
тело: tcic
воздух: cwac
природа: nyit
Помогите: mlat
письмо: lyat
4: ksat
оптатив-настроение: hpam
Огонь: hfak
следовательно: hyif
час: hcam
свободно: tyit
война: syat
будь-то: hsaf
причина: kyan
единый: hnut
вызов: hkuc
Зачем: hwam
потерял: hkut
тысяча: tsas
семья: hfic
душа: twam
вопрос: swac
забота: kcan
REALiS-настроение: hlin
имею-в-виду: mwit
потенциал-настроение: hten
в-направлении: cyan
allative-дело: lwik
антропный-Пол: hrin
короткая: kyut
в-состоянии: hyuk
жить: hkip
предмет: hsek
одна-и-та же предмет маркер: hcek
другой-предмет: hfek
ответ: tsat
море: mwat
страх: hcoc
Понимаю: pcat
жесткий: kyin
сроки: tyut
сомнение: hdac
dubitative-настроение: twin
просить: psan
оружие: tcas
черный: clis
приносить: tyat
красивая: ksis
темно: tcak
держать: psak
10: htaf
показать: pyan
история: hkif
общий: kwan
книга: hkup
электронный: lyin
говорить: plak
отметка: myac
интерес: nyis
записывать: kcit
постель: pwat
необходимо: syis
идея: hwis
Изобразительное-искусство: klat
Vialis-дело: hlas
брат: pyak
иногда: ksas
линия: lyan
Таблица: tlas
река: nwit
глаз: kyac
Информация: fyin
вдруг,-внезапно: tfan
странный: hgan
глубоко: ksan
изменение: hrit
чувство: nwac
встретить: mlit
цель: htuc
счастливый: hcuc
кажется: syit
кровь: cyac
Роза: kwas
на-юг: swan
холодно: tlat
вперед: myik
должность: psis
поздно: tyam
стоять: syan
предположим,: nlas
дочь: pyit
мой: myan
порез: hkim
копия: hfap
муж: hgat
шесть: hlis
запомнить: twat
эффект: hyaf
падать: htuk
Кроме: hsip
волосы: hpaf
проходить: pyas
Авторские-права: pcit
армия: cyit
бег: kcak
лошадь: kcas
будущее: hwic
запад: pcak
платить: plit
красный: hyun
золото: tcun
желание: hdan
играть: plin
мастер: mwas
офис: hfus
правительство: syak
церковь: kyas
длина: hlen
Компания: ksin
бумага: kyis
вероятность: hbin
особенно: cyas
медведь: pcas
окно: cyak
соглашение: hgac
красота: syac
долг: tfac
Отправить: fyan
расстояние: htif
тишина: slan
фут: fyat
дикий: kyik
умереть: myam
спасти: pfan
зеленый: kcin
беда: mlan
улыбка: myak
неправильно: clat
различный: pcin
спать: slit
квотатив-дело: kwik
начало: cwan
действие: kfan
посещение: fwat
следовать: nlan
пытаться: tcis
присутствие: psit
милая: tlit
богатые: tcin
враг: tcam
корабль: hcip
состояние: kyit
в-том-числе: hkum
включительно-человек: hlon
секрет: kwit
просительный-настроение: pwim
вежливый-регистр: hbit
зло: pwac
Март: myas
без-разницы: kwac
оставаться: hlam
вместо: plat
синий: plan
невозможно: psap
школа: hsuk
повод: ksac
в-браке: nwat
еда: hcuk
20: tsis
тихо: tcit
без-труда: hnis
предполагаемый-аспект: hrap
язык: lyac
выражение: syas
неделю: hsus
зал: hcum
Опасность: kcic
имущество: myit
Родился: nyan
суд: kcut
в-общем: tyap
гномический-аспект: hmip
стоимость: tyas
просто: syap
дерево: pyic
борьба: pyap
стена: twit
небо: cwak
начинательный-аспект: htip
повелительный-настроение: hjin
тон: twun
учитывая: klan
ожидаемый: pcik
месяц: hmaf
опыт: nyap
полностью: nyac
свежий: tsac
герцог: hnuk
покрытый: kwak
граница: hyim
восток: tyuk
камень: pwan
в-некотором-роде: kfat
направление: tlac
стул: kwis
поддержка: syut
Дата: tyic
деревня: klac
поле: clit
разрешение: nwin
разрешающий-настроение: hmom
успех: slak
надлежащий: hric
холм: clin
Музыка: ksik
дистальный-демонстративный: hdat
после-полудня: htup
плакать: hyuc
честь: hnaf
семь: swit
частный: pfat
Новости: nwas
место-действия: slac
сад: cyam
раса: htus
распределительный-дело: twak
учить: clan
политическое: syik
ложь: kcun
бросать: tsak
есть: kcam
пол: hlaf
больной: pwin
оригинальный: mlin
лето: kyam
религия: tlam
картина: ksit
побег: plap
автор: hlut
коричневый: pyun
определенный: htem
боль: hdon
весна: psin
век: syic
мягкий: mwan
угол: kyun
производить: psas
смех: cyaf
забывать: flat
Европа: hyup
8: lwat
платье: lwac
ужасный: cyap
дыхание: syaf
мудрый: hbas
притяжательный-падеж-маркер: srak
Память: myin
современное: fwan
