инфинитив: ni
номинатив-случај: na
акузатив-случај: ka
тема-случај: ta
Zdravo: ca
генитив-случај: sa
придев: ci
и: wa
ми: mi
vi: ya
нас: nlah
to: yi
дестинација-случај: ti
датив-случај: pa
унутрашњост-контекст: tu
лице-контекст: pi
зависан-клаузула: yu
свршен-аспект: fa
прошлост-напет: ki
мушки-пол: si
цомитативе-случај: mwih
поклон-напет: ma
бенефацтиве-случај: pwah
ессиве-случај: swih
не: nu
његов: tsih
површина-контекст: su
адпоситионал-случај: pu
локација-случај: te
простор-контекст: no
начин-случај: ra
инструментал-случај: se
упитни-расположење: ri
и-или: to
ексклузивни---или: ku
извор-случај: so
аблатив-случај: lwah
демонстративан: di
ali: la
женски-пол: ne
множина-број: lu
будућност-напет: we
друштвени-контекст: mo
трајан-аспект: me
тамо: klah
условни-расположење: co
више: kcoh
у-односу-случај: nwih
закључан-случај: lwih
директива-расположење: de
деонтиц-расположење: da
питање-реч: slah
копула: ksah
лице: psoh
други: tcoh
број: do
веома: tcah
време: trah
време-контекст: ro
временски-случај: mrah
o-tome: ke
епистемичка-расположење: pe
само: twuh
онда: pcah
бодрећи-расположење: twah
ретроспективан-аспект: rwih
волитиве-расположење: li
pre-toga: tceh
после: ba
отуђив-поседовање: lyih
неотуђив-поседовање: nlih
саветодавни-расположење: drih
перлативе-случај: pwih
прогресиван-аспект: psih
овде: tcih
испод-контекст: ce
делативе-случај: dwih
семелфацтиве-аспект: mweh
neo: nyoh
фокус: fo
ljubav: pyah
пауцал-број: ploh
јер: yo
узрочни-случај: ksih
име: gi
прави-именица: tsah
бодрећи: re
видљив-доказни: crih
десидеративе-расположење: dwah
терминативе-случај: twih
инессиве-случај: nweh
императив-расположење: prih
веровати: kcah
држава-контекст: ga
nadati-se: cwah
фацтиве-доказни: fwih
оптативан-расположење: pcih
РЕАЛиС-расположење: le
потенцијал-расположење: tlah
аллативе-случај: lweh
антропичка-пол: fi
предмет: wo
исти-тема-маркер: cyah
различит-тема: fe
страх: ko
сумња: cu
дубитативе-расположење: tweh
интерес: nyih
виалис-случај: wi
чудан: trih
промена: ryih
срећан: clah
осим: swah
жеља: kwah
дужина: lo
вероватноћа: bi
споразум: grah
проблем: mlah
куотативе-случај: kwih
укључујући-лице: lwoh
прецативе-расположење: rwah
учтив-регистровати: brih
Потенцијални-аспект: tfah
гномски-аспект: go
који-започиње-аспект: zi
заповедни-расположење: jwih
попустљив-расположење: mwah
правилно: kcih
дистални-демонстративан: tseh
дистрибутиван-случај: nwah
одлучан: treh
бол: droh
мудар: ja
посесиван-маркер: srah
цоммиссиве-расположење: mu
изненађење: crah
довршив-аспект: kweh
љутња: nrah
понос: brah
извините: pceh
храброст: krah
милост: nreh
покрет: mroh
забринут: cwih
престанак-аспект: za
појачивач: tfih
доказни-случај: ryah
тужан: syah
иначе: tyah
Зоиц-пол: zo
евентиве-расположење: nwoh
исти-догађај-маркер: cwoh
мултипликативни-случај: plah
iznenađen: prah
штета: lyah
маса: mlih
задовољан: srih
врлина: be
спекулативан-расположење: po
упознат-регистровати: krih
рањен: frah
туга: proh
зар-не?: nyah
захвалити: kyah
срамота: ru
фраза-маркер: fyah
веран: cyih
узбуђење: tyeh
хестернал-напет: tleh
мрзети: tyih
рационалан-пол: tlih
екстреман: kreh
биљни-пол: slih
радозналост: kyih
уплашен: kcuh
чланак: myah
благослов-расположење: bwih
крив: dlih
неук: nrih
великодушан: drah
иницијатива-случај: twoh
одложен-императив: ji
пријавио-доказни: psah
кривица: dlah
беда: kfah
једнина-број: gu
опростити: pfah
стрпљење: je
референтна: freh
усамљен: kyoh
шарм: croh
ентузијазам: tsuh
индуктиван-расположење: tcuh
дискурс-контекст: ye
вокатив-случај: bo
презир: grih
укор-расположење: tyuh
амбиција: bwah
непрекидан-аспект: nyeh
директан-доказни: troh
престрашен-расположење: pcoh
шок: cruh
скорашњи-прошлост-напет: clih
одређен-чланак: klih
љубоморан: ryuh
проклињући-расположење: mrih
равнодушност: du
претпостављен-расположење: syih
повреда: kroh
протаза: rwoh
непријатељски: cyuh
миметичан: mreh
to-jest: gwih
данашњи-напет: dloh
делимитативе-аспект: dweh
ексклузиван-лице: kwuh
Телиц-аспект: tfeh
ателиц-аспект: tsoh
заштитни-расположење: jrih
мучење: nroh
лојалност: nloh
моментане-аспект: myeh
опроштај: jrah
скроман-регистровати: myih
бивши-покојни: frih
цитат: wu
мука: zrah
уобичајен-аспект: bu
значајан: kseh
марљивост: dyih
формалан-регистровати: sreh
слушни-доказни: creh
везник: ksoh
инференцијалне-доказни: flih
псовка: sleh
сублативе-случај: swoh
који-тумачи-расположење: ksuh
усмен: kceh
потврдан-расположење: fwah
незадовољство: dyah
идиофони-инструменти: dyoh
прекомеран-случај: zwah
ирреалис-расположење: ze
снебивљивост: cyoh
адаптација: pyih
заменица-маркер: ryeh
угњетавати: zroh
сталоженост: jyah
пегативе-случај: pweh
просецутиве-случај: pwuh
преокупација: byah
партицип: pfih
даљински-прошлост-напет: dzah
историјски-напет: sroh
хистерија: syeh
Дуал-број: dluh
чулни-доказни-расположење: xi
кретање-узбрдо: ryoh
ретроспективан: txih
кретање-низбрдо: myoh
инфлецтед: blih
суперессиве-случај: psuh
прелазан: t6
фрустрација: xrah
кретање-узводно: truh
кретање-низводно: txah
раздвајање: xo
антиклимакс: tloh
струја-релевантност-маркер: xa
акроним: qi
Инитиалисм: nl6h
герундив: ge
претерите: preh
аорист: broh
партитивни-случај: pxih
Богојављење: pf6h
аугментативан: xe
фобија: xyoh
Детерминер: txeh
предикативни: plih
пролативе-случај: pxah
истинит: vyih
бинарна-вредност: vrih
ограничен-глагол: vi
суђење-број: pc6h
професионалац-реченица: r6
пријатељство: va
гномски-расположење: kxih
центрични-случај: dreh
пред-данашњи: x6
пацијент-случај: qa
посредан-случај: bwoh
средњи-глас: tyoh
идентификовати: xyah
циљ-окидач: groh
лативни-случај: dvah
не-људски: n6
аттенуативе: nyuh
мултал-број: mloh
trans-цифра: ts6h
галаксија-пол: gjah
zdravo: jwah
абессиве-случај: bvah
адессиве-случај: dvih
до-случај: kxah
агентиве-случај: dveh
заступник-окидач: greh
глумац-улога: nruh
заједнички-пол: k6
пратиоца: kloh
пасиван-глас: pyoh
Звезда-пол: qrah
