инфинитив: hnit
номинатив-случај: hnak
акузатив-случај: hkak
тема-случај: htak
родитељ: hmat
тата: hpap
мама: hmam
Zdravo: hnat
предак: htat
деда: hyat
гладан: hcac
генитив-случај: hnik
придев: hcit
и: hwan
ми: hmic
vi: hnan
нас: hnam
to: hyic
дестинација-случај: htas
датив-случај: htik
унутрашњост-контекст: htis
лице-контекст: hpak
зависан-клаузула: htan
свршен-аспект: htap
прошлост-напет: hkat
мушки-пол: hsan
цомитативе-случај: hmik
поклон-напет: hyan
бенефацтиве-случај: hpik
ессиве-случај: swik
не: hnic
његов: hsis
површина-контекст: hsak
адпоситионал-случај: hpan
локација-случај: hwak
простор-контекст: hnos
начин-случај: hrak
инструментал-случај: hsik
који: hkan
упитни-расположење: hnim
и-или: htam
ексклузивни---или: hkit
извор-случај: hsok
аблатив-случај: hlak
демонстративан: hdit
ali: hlan
све: hsut
женски-пол: hnin
они: hwin
множина-број: hlun
један: hyik
будућност-напет: hwet
друштвени-контекст: hson
kada: hkap
трајан-аспект: hmap
тамо: hkac
условни-расположење: hcan
више: hdoc
напоље: htac
у-односу-случај: hrik
закључан-случај: hlik
uradite: hkas
директива-расположење: hden
деонтиц-расположење: hdim
питање-реч: hwac
копула: hkok
лице: hpon
Muški: hman
mogao: kwat
други: hcon
број: hnoc
веома: tcac
време: htim
време-контекст: htos
временски-случај: hmak
o-tome: hkam
епистемичка-расположење: hsim
само: htun
мало: hcak
онда: pcan
бодрећи-расположење: hton
ретроспективан-аспект: hrip
veliki: hcat
волитиве-расположење: hlim
pre-toga: hsec
морати: pcic
два: htut
видети: tcan
знати: hsat
доле: hcin
после: hcas
први: hpas
властити: hpun
отуђив-поседовање: hlic
никад: hnac
неотуђив-поседовање: hkic
стар: hwat
саветодавни-расположење: hcim
дан: htin
где: hnap
доћи: hlat
начин: hyas
рад: hkaf
самогласник: hwaf
ићи: hkun
перлативе-случај: pwik
прогресиван-аспект: hpip
дугачак: hlac
рећи: hsac
kako: hkin
чак: hpit
назад: hwap
овде: hcic
мислити: hcik
исти: hsam
последњи: kcac
далеко: twan
испод-контекст: hnas
узети: htit
našao: hfan
рука: cyat
млади: hyac
иако: hyap
дати: hkik
бог: hmac
делативе-случај: lwak
ništa: hmin
jel-tako: hyit
једном: hyam
семелфацтиве-аспект: fwip
део: hpat
тестера: htic
кућа: hfas
свет: tcat
глава: hcaf
три: tyin
neo: hnon
фокус: hcok
ljubav: hpac
увек: hsit
ноћ: hwit
сваки: hmit
краљ: hyak
између: hsin
срце: cyin
пауцал-број: plom
јер: hyok
узрочни-случај: ksak
ствар: hkis
комплет: swat
име: hnem
прави-именица: hran
бодрећи: hrat
земља: hlit
питао: hput
видљив-доказни: crit
боље: pcac
страна: psac
курс: hkus
