infinitiv: ni
nominativ-fall: na
ackusativ-fall: ka
ämne-fall: ta
Hallå: ca
genitiv--fall: sa
adjektiv: ci
och: wa
mig: mi
dig: ya
oss: nlah
Det: yi
destination-fall: ti
dativ-fall: pa
interiör-sammanhang: tu
person-sammanhang: pi
beroende-klausul: yu
perfektiv-aspekt: fa
dåtid-spänd: ki
maskulin-kön: si
comitative-fall: mwih
presentera-spänd: ma
benefactive-fall: pwah
essive-fall: swih
inte: nu
dess: tsih
yta-sammanhang: su
adpositional-fall: pu
plats-fall: te
utrymme-sammanhang: no
sätt-fall: ra
instrumental-fall: se
frågande-humör: ri
och-eller: to
exeller--eller: ku
källa-fall: so
ablativ-fall: lwah
demonstrativ: di
men: la
feminin-kön: ne
flertal-antal: lu
framtida-spänd: we
social-sammanhang: mo
imperfective-aspekt: me
det: klah
villkorlig-humör: co
mer: kcoh
relativ-fall: nwih
SLUT--fall: lwih
direktiv-humör: de
deontic-humör: da
fråga-ord: slah
copula: ksah
person: psoh
andra: tcoh
antal: do
mycket: tcah
tid: trah
tid-sammanhang: ro
timlig-fall: mrah
handla-om: ke
epistemisk-humör: pe
endast: twuh
sedan: pcah
MANANDE-humör: twah
retrospektiv-aspekt: rwih
volitive-humör: li
före: tceh
efter: ba
oförytterlig-besittning: lyih
omistlig-besittning: nlih
deliberativ-humör: drih
perlative-fall: pwih
progressiv-aspekt: psih
här: tcih
under-sammanhang: ce
delative-fall: dwih
semelfactive-aspekt: mweh
neo: nyoh
fokus: fo
kärlek: pyah
paucal-antal: ploh
därför-att: yo
orsaks-fall: ksih
namn: gi
rätt-substantiv: tsah
MANANDE: re
synlig-bevis: crih
desiderative-humör: dwah
terminative-fall: twih
inessive-fall: nweh
nödvändigt-humör: prih
tro: kcah
ange-sammanhang: ga
hoppas: cwah
factive-bevis: fwih
OPTATIV-humör: pcih
Realis-humör: le
potential-humör: tlah
allative-fall: lweh
antropiska-kön: fi
ämne: wo
samma-ämne-markör: cyah
olik-ämne: fe
rädsla: ko
tvivel: cu
tvivelaktig-humör: tweh
intressera: nyih
Vialis-fall: wi
konstig: trih
ändra: ryih
lycklig: clah
bortsett-från: swah
önskan: kwah
längd: lo
sannolikhet: bi
avtal: grah
problem: mlah
quotative-fall: kwih
inclusive-person: lwoh
BEDJANDE-humör: rwah
artig-registrera: brih
blivande-aspekt: tfah
gnomic-aspekt: go
inchoative-aspekt: zi
jussive-humör: jwih
tolerant-humör: mwah
rätt: kcih
distala-demonstrativ: tseh
distributiv-fall: nwah
bestämd: treh
smärta: droh
klok: ja
possessiv-markör: srah
commissive-humör: mu
överraskning: crah
completive-aspekt: kweh
ilska: nrah
stolthet: brah
förlåt: pceh
mod: krah
nåd: nreh
rörelse: mroh
angelägen: cwih
upphörande-aspekt: za
intensifierings: tfih
bevis-fall: ryah
ledsen: syah
annat: tyah
Zoic-kön: zo
eventive-humör: nwoh
samma-händelse-markör: cwoh
multiplikativ-fall: plah
överraskad: prah
medlidande: lyah
massa: mlih
nöjd: srih
dygd: be
spekulativ-humör: po
bekant-registrera: krih
sårad: frah
sorg: proh
va?: nyah
tacka: kyah
skam: ru
fras-markör: fyah
trogen: cyih
spänning: tyeh
hesternal-spänd: tleh
hat: tyih
rationell-kön: tlih
extrem: kreh
vegetal-kön: slih
nyfikenhet: kyih
skrämd: kcuh
artikel: myah
välsignelse-humör: bwih
skyldig: dlih
okunnig: nrih
generös: drah
initiativ-fall: twoh
försenad-nödvändigt: ji
rapporterad-bevis: psah
skylla-på: dlah
elände: kfah
singularis-antal: gu
förlåta: pfah
tålamod: je
referential: freh
ensam: kyoh
charm: croh
entusiasm: tsuh
