infinitiv: hnit
nominativ-fall: hnak
ackusativ-fall: hkak
ämne-fall: htak
förälder: hmat
pappa: hpap
mamma: hmam
Hallå: hnat
förfader: htat
farförälder: hyat
hungrig: hcac
genitiv--fall: hnik
adjektiv: hcit
och: hwan
mig: hmic
dig: hnan
oss: hnam
Det: hyic
destination-fall: htas
dativ-fall: htik
interiör-sammanhang: htis
person-sammanhang: hpak
beroende-klausul: htan
perfektiv-aspekt: htap
dåtid-spänd: hkat
maskulin-kön: hsan
comitative-fall: hmik
presentera-spänd: hyan
benefactive-fall: hpik
essive-fall: swik
inte: hnic
dess: hsis
yta-sammanhang: hsak
adpositional-fall: hpan
plats-fall: hwak
utrymme-sammanhang: hnos
sätt-fall: hrak
instrumental-fall: hsik
som: hkan
frågande-humör: hnim
och-eller: htam
exeller--eller: hkit
källa-fall: hsok
ablativ-fall: hlak
demonstrativ: hdit
men: hlan
alla: hsut
feminin-kön: hnin
de: hwin
flertal-antal: hlun
en: hyik
framtida-spänd: hwet
social-sammanhang: hson
när: hkap
imperfective-aspekt: hmap
det: hkac
villkorlig-humör: hcan
mer: hdoc
ut: htac
relativ-fall: hrik
SLUT--fall: hlik
do: hkas
direktiv-humör: hden
deontic-humör: hdim
fråga-ord: hwac
copula: hkok
person: hpon
manlig: hman
kunde: kwat
andra: hcon
antal: hnoc
mycket: tcac
tid: htim
tid-sammanhang: htos
timlig-fall: hmak
handla-om: hkam
epistemisk-humör: hsim
endast: htun
liten: hcak
sedan: pcan
MANANDE-humör: hton
retrospektiv-aspekt: hrip
bra: hcat
volitive-humör: hlim
före: hsec
måste: pcic
två: htut
se: tcan
känna-till: hsat
ner: hcin
efter: hcas
först: hpas
egen: hpun
oförytterlig-besittning: hlic
aldrig: hnac
omistlig-besittning: hkic
gammal: hwat
deliberativ-humör: hcim
dag: htin
var: hnap
komma: hlat
sätt: hyas
arbete: hkaf
vokal: hwaf
gå: hkun
perlative-fall: pwik
progressiv-aspekt: hpip
lång: hlac
säga: hsac
hur: hkin
även: hpit
tillbaka: hwap
här: hcic
tror: hcik
samma: hsam
sista: kcac
bort: twan
under-sammanhang: hnas
ta: htit
hittades: hfan
hand: cyat
ung: hyac
fast: hyap
ge: hkik
gud: hmac
delative-fall: lwak
ingenting: hmin
höger: hyit
en-gång: hyam
semelfactive-aspekt: fwip
del: hpat
fick-syn-på: htic
hus: hfas
värld: tcat
huvud: hcaf
tre: tyin
neo: hnon
fokus: hcok
kärlek: hpac
alltid: hsit
natt: hwit
varje: hmit
kung: hyak
mellan: hsin
hjärta: cyin
paucal-antal: plom
därför-att: hyok
orsaks-fall: ksak
sak: hkis
uppsättning: swat
namn: hnem
rätt-substantiv: hran
MANANDE: hrat
land: hlit
bad: hput
synlig-bevis: crit
bättre: pcac
sida: psac
kurs: hkus
kvinnlig: hfin
tillräckligt: kyat
snart: hpuc
full: hcun
rum: hfac
nästan: hlap
kan-ej: nyat
vatten: hwik
desiderative-humör: hdin
ljus: lyak
inte-heller: hnun
ord: slat
dörr: tyan
använda-sig-av: hpus
morgon-: hsap
terminative-fall: twik
driva: hkuk
dem-själva: hmis
presentera: hyin
röst: hwas
vit: hpis
pengar: tlan
nästa: kyak
fattig: hyis
död: hmut
form: hfam
inessive-fall: nwik
snäll: tyac
många-gånger: tsan
år: nwan
vän: myat
beställa: hyut
nödvändigt-humör: hpim
runda: hcut
tro: hban
offentlig: hpin
ange-sammanhang: hsas
son: psat
hundra: hmas
barn: hcis
således: tyak
hoppas: hcap
ovan: hyip
kär: pyin
läsa: pyac
stad: hsic
redan: hpic
faktum: hfat
factive-bevis: hfit
höra: hsun
minst: hmim
kanske: pyat
öppna: kcat
kropp: tcic
luft: cwac
natur: nyit
hjälp: mlat
brev: lyat
fyra: ksat
OPTATIV-humör: hpam
brand: hfak
därför: hyif
timme: hcam
fri: tyit
krig: syat
om: hsaf
anledning: kyan
förenad: hnut
ring-upp: hkuc
varför: hwam
förlorat: hkut
tusen: tsas
familj: hfic
själ: twam
fråga: swac
bry-dig: kcan
Realis-humör: hlin
betyda: mwit
potential-humör: hten
mot: cyan
allative-fall: lwik
antropiska-kön: hrin
kort: kyut
kunna: hyuk
bo: hkip
ämne: hsek
samma-ämne-markör: hcek
olik-ämne: hfek
svar: tsat
hav: mwat
rädsla: hcoc
förstå: pcat
hård: kyin
villkor: tyut
tvivel: hdac
tvivelaktig-humör: twin
be: psan
vapen: tcas
svart: clis
ta-med: tyat
vacker: ksis
mörk: tcak
håll: psak
tio: htaf
show: pyan
berättelse: hkif
gemensam: kwan
boka: hkup
elektronisk: lyin
prata: plak
markera: myac
intressera: nyis
skriva: kcit
säng: pwat
nödvändig: syis
aning: hwis
konst: klat
Vialis-fall: hlas
bror: pyak
ibland: ksas
linje: lyan
tabell: tlas
flod: nwit
öga: kyac
information: fyin
plötsligt: tfan
konstig: hgan
djup: ksan
ändra: hrit
känsla: nwac
träffa: mlit
syfte: htuc
lycklig: hcuc
verka: syit
blod: cyac
reste-sig: kwas
söder: swan
kall: tlat
fram-: myik
placera: psis
sent: tyam
stå: syan
anta: nlas
dotter: pyit
mina: myan
skära: hkim
kopiera: hfap
man: hgat
sex: hlis
kom-ihåg: twat
effekt: hyaf
falla: htuk
bortsett-från: hsip
hår: hpaf
passera: pyas
upphovsrätt: pcit
armén: cyit
springa: kcak
häst: kcas
framtida: hwic
väster: pcak
betala: plit
röd: hyun
guld-: tcun
önskan: hdan
spela: plin
bemästra: mwas
kontor: hfus
regering: syak
kyrka: kyas
längd: hlen
företag: ksin
papper: kyis
sannolikhet: hbin
i-synnerhet: cyas
björn: pcas
fönster: cyak
avtal: hgac
skönhet: syac
tull: tfac
skicka: fyan
avstånd: htif
tystnad: slan
fot: fyat
vild: kyik
dö: myam
spara: pfan
grön: kcin
problem: mlan
leende: myak
fel: clat
olika: pcin
sova: slit
quotative-fall: kwik
början: cwan
handling: kfan
besök: fwat
Följ: nlan
Prova: tcis
närvaro: psit
ljuv: tlit
rik: tcin
fiendens: tcam
fartyg: hcip
skick: kyit
inklusive: hkum
inclusive-person: hlon
hemlighet: kwit
BEDJANDE-humör: pwim
artig-registrera: hbit
ondska: pwac
Mars: myas
vad-som-helst: kwac
bli-kvar: hlam
i-stället: plat
blå: plan
omöjlig: psap
skola: hsuk
tillfälle: ksac
gift: nwat
mat: hcuk
tjugo: tsis
tyst: tcit
lätt: hnis
blivande-aspekt: hrap
språk: lyac
uttryck: syas
vecka: hsus
hall: hcum
fara: kcic
fast-egendom: myit
född: nyan
domstol: kcut
allmänt: tyap
gnomic-aspekt: hmip
värde: tyas
enkel: syap
träd: pyic
bekämpa: pyap
vägg: twit
himmel: cwak
inchoative-aspekt: htip
jussive-humör: hjin
tona: twun
betrakta: klan
förväntad: pcik
månad: hmaf
att-uppleva: nyap
helt: nyac
färsk: tsac
hertig: hnuk
täckt: kwak
bunden: hyim
öster: tyuk
sten: pwan
något: kfat
riktning: tlac
stol: kwis
stöd: syut
datum: tyic
by: klac
fält: clit
tillstånd: nwin
tolerant-humör: hmom
framgång: slak
rätt: hric
kulle: clin
musik-: ksik
distala-demonstrativ: hdat
eftermiddag: htup
gråta: hyuc
ära: hnaf
sju: swit
privat: pfat
nyheter: nwas
scen: slac
trädgård: cyam
lopp: htus
distributiv-fall: twak
lär-dig: clan
politisk: syik
lögn: kcun
kasta: tsak
äta: kcam
golv: hlaf
sjuk: pwin
original-: mlin
sommar: kyam
religion: tlam
bild: ksit
fly: plap
författare: hlut
brun: pyun
bestämd: htem
smärta: hdon
vår: psin
århundrade: syic
mjuk: mwan
hörn: kyun
producera: psas
skratta: cyaf
glömma: flat
europa: hyup
åtta: lwat
klä: lwac
fruktansvärd: cyap
andetag: syaf
klok: hbas
possessiv-markör: srak
minne: myin
modern: fwan
fläck: tcap
stiga: hyus
gå-sönder: pyik
femtio: hfis
ö: tlap
Rör: hsuc
löfte: pcam
commissive-humör: mwin
grad: tfat
planera: plac
uppträdande: nyak
överraskning: cran
minut: hmun
skott: hwut
värre: pcap
glas: klak
exempel: tlin
säker: hsif
läkare: tsit
completive-aspekt: hmep
upprepad: tyun
militär-: slin
värma: nyam
dryck: pfin
frågor: pcaf
ilska: nran
direkt: tyik
hatt: hcup
hund: kwap
tjänare: hnuc
stolthet: hram
skara: tcuc
tåg: nyin
moralisk: myut
associerad: kyim
ange: fyak
regel: nyas
svärd: cwat
ge-sig-på: kfak
hälsa: clac
stycke: pyaf
social: hsum
återbetalning: tfit
förlåt: hpec
mod: krac
nåd: hnen
officiell: hfaf
under-förutsättning: tsik
begäran: pwit
blick: klas
rörelse: hyon
förvänta: cwit
motsatt: psam
tolv: tyaf
engagerade: nyut
vin: hwun
smak: swut
järn-: fyac
distribuera: syin
handel: myap
fördel: twac
kläder: kfip
bedöma: fwak
skillnad: tfaf
angelägen: kcis
kapten: kwin
färdiga: nlat
upphörande-aspekt: hsep
nyfiken: kyic
utländsk: kwic
intensifierings: hnif
betydelse: myun
slutligen: hfim
fakturera: fwin
bevisa: hpuk
förhindra: flan
hals: cyun
rättslig: hfik
torr: swak
tjäna: syam
förlora: pcut
bevis: pyut
bevis-fall: hdak
framsteg: pyis
byggnad: klit
Sök: syuc
ledsen: hrac
synd: psip
trettio: tfis
ärlig: tsin
stänga: kyap
bank: pcun
öde: cyik
skog: hfun
mäta: mlac
annat: htoc
strömma: lyam
bröd: hpup
ytterligare: tfak
välja: twas
djur-: nwam
Zoic-kön: hzin
eventive-humör: hwim
samma-händelse-markör: hcom
multiplikativ-fall: tlak
tjock: hmus
varelse: hyum
regn: myic
yta: pfas
helig: swis
juli: clim
rapportera: hfut
kust: pwas
fil: hfif
axel: cwut
överraskad: kran
kunglig: klik
låt: hkuf
bekvämlighet: kfaf
någon: nyic
gräs: kcap
dra: cwik
öppning: cyic
juni: cwun
fisk: mlic
huvudstaden: klin
bröst: cyut
snö: hcif
utbildning: tlik
skarp: tcaf
medlidande: hdam
bekostnad: fyas
din: hmuc
miljon: mlun
trött: tcik
döda: ksam
skugga: cwap
vikt: plas
massa: mlas
etablerad: tlip
modig: pyam
tunn: plic
nöjd: srat
kolla-upp: kcik
dygd: hdet
nationell: nyaf
gudomlig: swin
dal: clak
gissning: kwam
spekulativ-humör: hken
gul: clas
ligger-kvar: mwac
böjd: nlac
låda: pwak
säsong: tsim
vetenskap: slas
borra: kcuc
farbror: hmuk
lista: lyit
augusti: ksut
populär: hlup
okänd: fyit
bekant: flak
bekant-registrera: krit
läsare: tsut
närma-sig: pcuc
dubbelt: tsap
intellektuell: tfik
verkligt: tsam
präst: pcis
sårad: fran
sorg: hpom
palats: kfas
slå: clap
va?: hnec
lura: myuk
kant: pfac
nio: nwun
brista: psut
lida: tfas
buller: hcus
litteratur: lyic
