nauni: hnit
nominative-kesi: hnak
accusative-kesi: hkak
mada-kesi: htak
mzazi: hmat
baba: hpap
mama: hmam
hodi: hnat
babu: htat
grandparent: hyat
njaa: hcac
genitive-kesi: hnik
kivumishi: hcit
na: hwan
mimi: hmic
wewe: hnan
sisi: hnam
ni: hyic
marudio-kesi: htas
dative-kesi: htik
mambo-ya-ndani mazingira: htis
mtu-mazingira: hpak
tegemezi-kifungu: htan
perfective-kipengele: htap
siku-za-nyuma uliopo: hkat
masculine-jinsia: hsan
comitative-kesi: hmik
sasa-uliopo: hyan
benefactive-kesi: hpik
essive-kesi: swik
si: hnic
wake: hsis
uso-mazingira: hsak
adpositional-kesi: hpan
eneo-kesi: hwak
nafasi-mazingira: hnos
njia-kesi: hrak
instrumental-kesi: hsik
ambayo: hkan
interrogative-mood: hnim
na-au: htam
kipekee---au: hkit
chanzo-kesi: hsok
ablative-kesi: hlak
demonstrative: hdit
lakini: hlan
zote: hsut
kike-jinsia: hnin
wao: hwin
wingi-idadi: hlun
moja: hyik
baadaye-uliopo: hwet
kijamii-mazingira: hson
lini: hkap
imperfective-kipengele: hmap
kuna: hkac
masharti-mood: hcan
zaidi: hdoc
nje: htac
jamaa-kesi: hrik
illative-kesi: hlik
kufanya: hkas
agizo-mood: hden
deontic-mood: hdim
swali-neno: hwac
copula: hkok
mtu: hpon
kiume: hman
naweza: kwat
wengine: hcon
idadi: hnoc
sana: tcac
wakati: htim
wakati-mazingira: htos
muda-kesi: hmak
kuhusu: hkam
epistemic-mood: hsim
tu: htun
kidogo: hcak
kisha: pcan
hortative-mood: hton
retrospective-kipengele: hrip
kubwa: hcat
volitive-mood: hlim
kabla: hsec
lazima: pcic
mbili: htut
ona: tcan
kujua: hsat
chini: hcin
baada-ya: hcas
kwanza: hpas
mwenyewe: hpun
alienable-milki: hlic
kamwe: hnac
inalienable-milki: hkic
umri-wa: hwat
taamali-mood: hcim
siku: htin
ambapo: hnap
kuja: hlat
njia: hyas
kazi: hkaf
vowel: hwaf
kwenda: hkun
perlative-kesi: pwik
maendeleo-kipengele: hpip
muda-mrefu: hlac
kusema: hsac
jinsi: hkin
hata: hpit
nyuma: hwap
hapa: hcic
kufikiri: hcik
sawa: hsam
mwisho: kcac
mbali: twan
chini-ya-mazingira: hnas
kuchukua: htit
kupatikana: hfan
mkono: cyat
vijana: hyac
ingawa: hyap
kutoa: hkik
mungu: hmac
delative-kesi: lwak
kitu: hmin
haki: hyit
mara-moja: hyam
semelfactive-kipengele: fwip
sehemu: hpat
msumeno: htic
nyumba: hfas
dunia: tcat
kichwa: hcaf
tatu: tyin
mamboleo: hnon
lengo: hcok
upendo: hpac
daima: hsit
usiku: hwit
kila: hmit
mfalme: hyak
kati-ya: hsin
moyo: cyin
