nauni: ni
nominative-kesi: na
accusative-kesi: ka
mada-kesi: ta
hodi: ca
genitive-kesi: sa
kivumishi: ci
na: wa
mimi: mi
wewe: ya
sisi: nlah
ni: yi
marudio-kesi: ti
dative-kesi: pa
mambo-ya-ndani mazingira: tu
mtu-mazingira: pi
tegemezi-kifungu: yu
perfective-kipengele: fa
siku-za-nyuma uliopo: ki
masculine-jinsia: si
comitative-kesi: mwih
sasa-uliopo: ma
benefactive-kesi: pwah
essive-kesi: swih
si: nu
wake: tsih
uso-mazingira: su
adpositional-kesi: pu
eneo-kesi: te
nafasi-mazingira: no
njia-kesi: ra
instrumental-kesi: se
interrogative-mood: ri
na-au: to
kipekee---au: ku
chanzo-kesi: so
ablative-kesi: lwah
demonstrative: di
lakini: la
kike-jinsia: ne
wingi-idadi: lu
baadaye-uliopo: we
kijamii-mazingira: mo
imperfective-kipengele: me
kuna: klah
masharti-mood: co
zaidi: kcoh
jamaa-kesi: nwih
illative-kesi: lwih
agizo-mood: de
deontic-mood: da
swali-neno: slah
copula: ksah
mtu: psoh
wengine: tcoh
idadi: do
sana: tcah
wakati: trah
wakati-mazingira: ro
muda-kesi: mrah
kuhusu: ke
epistemic-mood: pe
tu: twuh
kisha: pcah
hortative-mood: twah
retrospective-kipengele: rwih
volitive-mood: li
kabla: tceh
baada-ya: ba
alienable-milki: lyih
inalienable-milki: nlih
taamali-mood: drih
perlative-kesi: pwih
maendeleo-kipengele: psih
hapa: tcih
chini-ya-mazingira: ce
delative-kesi: dwih
semelfactive-kipengele: mweh
mamboleo: nyoh
lengo: fo
upendo: pyah
paucal-idadi: ploh
kwa-sababu: yo
causal-kesi: ksih
jina: gi
sahihi-noun: tsah
hortative: re
inayoonekana-evidential: crih
desiderative-mood: dwah
terminative-kesi: twih
inessive-kesi: nweh
muhimu-mood: prih
kuamini: kcah
hali-mazingira: ga
matumaini: cwah
factive-evidential: fwih
optative-mood: pcih
realis-mood: le
uwezo-mood: tlah
allative-kesi: lweh
anthropic-jinsia: fi
somo: wo
sawa-somo-marker: cyah
tofauti-somo: fe
hofu: ko
shaka: cu
dubitative-mood: tweh
maslahi: nyih
vialis-kesi: wi
ajabu: trih
mabadiliko: ryih
furaha: clah
isipokuwa: swah
hamu: kwah
urefu: lo
uwezekano: bi
makubaliano: grah
shida: mlah
quotative-kesi: kwih
umoja-mtu: lwoh
precative-mood: rwah
polite-kusajili: brih
wanaotazamiwa-kipengele: tfah
gnomic-kipengele: go
inchoative-kipengele: zi
jussive-mood: jwih
permissive-mood: mwah
sahihi: kcih
distal-demonstrative: tseh
distributive-kesi: nwah
kuamua: treh
maumivu: droh
busara: ja
kutochukua-marker: srah
commissive-mood: mu
mshangao: crah
completive-kipengele: kweh
hasira: nrah
kiburi: brah
pole: pceh
ujasiri: krah
neema: nreh
harakati: mroh
wasiwasi: cwih
kukoma-kipengele: za
intensifier: tfih
evidential-kesi: ryah
kusikitisha: syah
vinginevyo: tyah
Zoic-jinsia: zo
eventive-mood: nwoh
sawa-tukio-marker: cwoh
multiplicative-kesi: plah
kushangaa: prah
huruma: lyah
wingi: mlih
kuridhika: srih
wema: be
mapema-mno-mood: po
ukoo-kusajili: krih
waliojeruhiwa: frah
huzuni: proh
eh?: nyah
kuwashukuru: kyah
aibu: ru
maneno-marker: fyah
mwaminifu: cyih
msisimko: tyeh
hesternal-uliopo: tleh
chuki: tyih
mantiki-jinsia: tlih
uliokithiri: kreh
vegetal-jinsia: slih
udadisi: kyih
kutishika: kcuh
makala: myah
baraka-mood: bwih
hatia: dlih
wajinga: nrih
ukarimu: drah
mpango-kesi: twoh
kuchelewa-muhimu: ji
taarifa-evidential: psah
lawama: dlah
taabu: kfah
umoja-idadi: gu
kusamehe: pfah
uvumilivu: je
rejea: freh
upweke: kyoh
charm: croh
shauku: tsuh
kufata-mood: tcuh
mjadala-mazingira: ye
vocative-kesi: bo
dharau: grih
mawaidha-mood: tyuh
tamaa: bwah
kuendelea-kipengele: nyeh
moja-kwa-moja evidential: troh
apprehensive-mood: pcoh
mshtuko: cruh
hivi-karibuni-siku za nyuma uliopo: clih
uhakika-makala: klih
wivu: ryuh
imprecatory-mood: mrih
kutojali: du
assumptive-mood: syih
kuumia: kroh
protasis: rwoh
uhasama: cyuh
mimetic: mreh
yaani: gwih
hodiernal-uliopo: dloh
delimitative-kipengele: dweh
kipekee-mtu: kwuh
telic-kipengele: tfeh
atelic-kipengele: tsoh
kikwazo-mood: jrih
mateso: nroh
uaminifu: nloh
momentane-kipengele: myeh
msamaha: jrah
wanyenyekevu-kusajili: myih
zamani-marehemu: frih
kunukuu: wu
kero: zrah
habitual-kipengele: bu
consequential: kseh
bidii: dyih
rasmi-kusajili: sreh
auditory-evidential: creh
kushirikiana: ksoh
inferential-evidential: flih
expletive: sleh
sublative-kesi: swoh
declarative-mood: ksuh
matusi: kceh
usawa-wa-kijinsia mood: fwah
kutoridhika: dyah
idiophone: dyoh
kupindukia-kesi: zwah
irrealis-mood: ze
shyness: cyoh
kukabiliana-na-hali: pyih
pronoun-marker: ryeh
kuonea: zroh
equanimity: jyah
pegative-kesi: pweh
prosecutive-kesi: pwuh
preoccupation: byah
Mmoja: pfih
kijijini-siku-za nyuma uliopo: dzah
kihistoria-uliopo: sroh
hysteria: syeh
mbili-idadi: dluh
hisia-evidential-mood: xi
mwendo-uphill: ryoh
retrospective: txih
mwendo-kuteremka: myoh
Inflected: blih
superessive-kesi: psuh
elekezi: t6
kuchanganyikiwa: xrah
mwendo-upriver: truh
mwendo-downriver: txah
disjunction: xo
anticlimax: tloh
sasa-umuhimu-marker: xa
kifupi: qi
initialism: nl6h
gerund: ge
preterite: preh
aorist: broh
partitive-kesi: pxih
Epifania: pf6h
augmentative: xe
phobia: xyoh
determiner: txeh
