வினையெச்சம்: ni
நியமிக்கும்-வழக்கு: na
வேற்றுமையை-வழக்கு: ka
தலைப்பு-வழக்கு: ta
வணக்கம்: ca
ஆறாம்-வேற்றுமை-வழக்கு: sa
பெயரடை: ci
மற்றும்: wa
என்னை: mi
நீங்கள்: ya
எங்களுக்கு: nlah
அது: yi
இலக்கு-வழக்கு: ti
dative-வழக்கு: pa
உள்துறை-சூழல்: tu
நபர்-சூழல்: pi
சார்ந்து-உட்கூறு: yu
குறைவின்மை-அம்சம்: fa
கடந்த-பதட்டமான: ki
ஆண்பால்-பாலினம்: si
comitative-வழக்கு: mwih
தற்போதைய-பதட்டமான: ma
benefactive-வழக்கு: pwah
essive-வழக்கு: swih
இல்லை: nu
அதன்: tsih
மேற்பரப்பில்-சூழல்: su
adpositional-வழக்கு: pu
இடம்-வழக்கு: te
விண்வெளி-சூழல்: no
வழி-வழக்கு: ra
கருவியாக-வழக்கு: se
கேள்விக்குரிய-மனநிலை: ri
மற்றும்-அல்லது: to
பிரத்தியேக-அல்லது: ku
மூல-வழக்கு: so
நீக்குவதற்கான-வழக்கு: lwah
வெளிப்படுத்துகிறது: di
ஆனாலும்: la
பெண்மையை-பாலினம்: ne
பன்மை-எண்: lu
எதிர்கால-பதட்டமான: we
சமூக-சூழல்: mo
imperfective-அம்சம்: me
அங்கு: klah
நிபந்தனை-மனநிலை: co
மேலும்: kcoh
உறவினர்-வழக்கு: nwih
அனுமானம்-வழக்கு: lwih
உத்தரவு-மனநிலை: de
deontic-மனநிலை: da
கேள்வி-வார்த்தை: slah
இடைச்சொல்: ksah
நபர்: psoh
மற்ற: tcoh
எண்: do
மிகவும்: tcah
நேரம்: trah
நேரம்-சூழல்: ro
உலகியல்-வழக்கு: mrah
பற்றி: ke
அறிவுசார்-மனநிலை: pe
மட்டுமே: twuh
பிறகு: pcah
hortative-மனநிலை: twah
சுயபரிசோதனை-அம்சம்: rwih
volitive-மனநிலை: li
முன்: tceh
பின்னர்: ba
உடைமை-மாற்றத்-உடைமை: lyih
மாற்றமுடியாத-உடைமை: nlih
deliberative-மனநிலை: drih
perlative-வழக்கு: pwih
முற்போக்கான-அம்சம்: psih
இங்கே: tcih
கீழ்-சூழல்: ce
delative-வழக்கு: dwih
semelfactive-அம்சம்: mweh
நவ: nyoh
கவனம்: fo
அன்பு: pyah
paucal-எண்: ploh
ஏனெனில்: yo
காரண-வழக்கு: ksih
பெயர்: gi
முறையான-பெயர்ச்சொல்: tsah
hortative: re
தெரியும்-சான்றுத்: crih
desiderative-மனநிலை: dwah
terminative-வழக்கு: twih
inessive-வழக்கு: nweh
கட்டாயம்-மனநிலை: prih
நம்பிக்கை: kcah
நிலை-சூழல்: ga
நம்புகிறேன்: cwah
factive-சான்றுத்: fwih
optative-மனநிலை: pcih
உண்மையான-மனநிலை: le
சாத்தியமான-மனநிலை: tlah
allative-வழக்கு: lweh
மனிதப்-பண்புகள்-பாலினம்: fi
பொருள்: wo
அதே-பொருள்-மார்க்கர்: cyah
வெவ்வேறு-பொருள்: fe
அச்சம்: ko
சந்தேகம்: cu
dubitative-மனநிலை: tweh
ஆர்வம்: nyih
vialis-வழக்கு: wi
விசித்திரமான: trih
மாற்றம்: ryih
சந்தோஷமாக: clah
தவிர: swah
ஆசை: kwah
நீளம்: lo
நிகழ்தகவு: bi
ஒப்பந்தம்: grah
பிரச்சனையில்: mlah
quotative-வழக்கு: kwih
உள்ளடக்கிய-நபர்: lwoh
precative-மனநிலை: rwah
கண்ணியமாக-பதிவு: brih
வருங்கால-அம்சம்: tfah
gnomic-அம்சம்: go
inchoative-அம்சம்: zi
jussive-மனநிலை: jwih
அனுமதியளிக்கும்-மனநிலை: mwah
சரியான: kcih
சேய்மை-வெளிப்படுத்துகிறது: tseh
பங்கீட்டு-வழக்கு: nwah
தீர்மானிக்கப்படுகிறது: treh
வலி: droh
பாண்டித்தியம்: ja
சொந்தம்-மார்க்கர்: srah
commissive-மனநிலை: mu
ஆச்சரியம்: crah
முழுமையாக்கும்-அம்சம்: kweh
