வினையெச்சம்: hnit
நியமிக்கும்-வழக்கு: hnak
வேற்றுமையை-வழக்கு: hkak
தலைப்பு-வழக்கு: htak
பெற்றோர்: hmat
அப்பா: hpap
அம்மா: hmam
வணக்கம்: hnat
மூதாதையர்: htat
தாத்தா-பாட்டி: hyat
பசி: hcac
ஆறாம்-வேற்றுமை-வழக்கு: hnik
பெயரடை: hcit
மற்றும்: hwan
என்னை: hmic
நீங்கள்: hnan
எங்களுக்கு: hnam
அது: hyic
இலக்கு-வழக்கு: htas
dative-வழக்கு: htik
உள்துறை-சூழல்: htis
நபர்-சூழல்: hpak
சார்ந்து-உட்கூறு: htan
குறைவின்மை-அம்சம்: htap
கடந்த-பதட்டமான: hkat
ஆண்பால்-பாலினம்: hsan
comitative-வழக்கு: hmik
தற்போதைய-பதட்டமான: hyan
benefactive-வழக்கு: hpik
essive-வழக்கு: swik
இல்லை: hnic
அதன்: hsis
மேற்பரப்பில்-சூழல்: hsak
adpositional-வழக்கு: hpan
இடம்-வழக்கு: hwak
விண்வெளி-சூழல்: hnos
வழி-வழக்கு: hrak
கருவியாக-வழக்கு: hsik
எந்த: hkan
கேள்விக்குரிய-மனநிலை: hnim
மற்றும்-அல்லது: htam
பிரத்தியேக-அல்லது: hkit
மூல-வழக்கு: hsok
நீக்குவதற்கான-வழக்கு: hlak
வெளிப்படுத்துகிறது: hdit
ஆனாலும்: hlan
அனைத்து: hsut
பெண்மையை-பாலினம்: hnin
அவர்கள்: hwin
பன்மை-எண்: hlun
ஒரு: hyik
எதிர்கால-பதட்டமான: hwet
சமூக-சூழல்: hson
எப்பொழுது: hkap
imperfective-அம்சம்: hmap
அங்கு: hkac
நிபந்தனை-மனநிலை: hcan
மேலும்: hdoc
வெளியே: htac
உறவினர்-வழக்கு: hrik
அனுமானம்-வழக்கு: hlik
செய்: hkas
உத்தரவு-மனநிலை: hden
deontic-மனநிலை: hdim
கேள்வி-வார்த்தை: hwac
இடைச்சொல்: hkok
நபர்: hpon
ஆண்: hman
முடிந்த: kwat
மற்ற: hcon
எண்: hnoc
மிகவும்: tcac
நேரம்: htim
நேரம்-சூழல்: htos
உலகியல்-வழக்கு: hmak
பற்றி: hkam
அறிவுசார்-மனநிலை: hsim
மட்டுமே: htun
சிறிய: hcak
பிறகு: pcan
hortative-மனநிலை: hton
சுயபரிசோதனை-அம்சம்: hrip
பெரிய: hcat
volitive-மனநிலை: hlim
முன்: hsec
வேண்டும்: pcic
இரண்டு: htut
பார்க்க: tcan
தெரியும்: hsat
கீழே: hcin
பின்னர்: hcas
முதல்: hpas
சொந்த: hpun
உடைமை-மாற்றத்-உடைமை: hlic
ஒருபோதும்: hnac
மாற்றமுடியாத-உடைமை: hkic
பழைய: hwat
deliberative-மனநிலை: hcim
நாள்: htin
எங்கே: hnap
வந்து: hlat
வழி: hyas
வேலை: hkaf
உயிர்: hwaf
சென்று: hkun
perlative-வழக்கு: pwik
முற்போக்கான-அம்சம்: hpip
நீண்ட: hlac
சொல்ல: hsac
எப்படி: hkin
கூட: hpit
மீண்டும்: hwap
இங்கே: hcic
என்று: hcik
அதே: hsam
கடந்த: kcac
விட்டு: twan
கீழ்-சூழல்: hnas
எடுத்து: htit
கண்டறியப்பட்டது: hfan
கை: cyat
இளம்: hyac
என்றாலும்: hyap
கொடுக்க: hkik
கடவுள்: hmac
delative-வழக்கு: lwak
எதுவும்: hmin
வலது: hyit
முறை: hyam
semelfactive-அம்சம்: fwip
பகுதி: hpat
எண்ணினர்: htic
வீட்டில்: hfas
உலக: tcat
தலைவர்: hcaf
மூன்று: tyin
நவ: hnon
கவனம்: hcok
அன்பு: hpac
எப்போதும்: hsit
இரவு: hwit
ஒவ்வொரு: hmit
ராஜா: hyak
இடையே: hsin
இதயம்: cyin
paucal-எண்: plom
ஏனெனில்: hyok
காரண-வழக்கு: ksak
விஷயம்: hkis
தொகுப்பு: swat
பெயர்: hnem
முறையான-பெயர்ச்சொல்: hran
hortative: hrat
நாடு: hlit
கேட்டார்: hput
தெரியும்-சான்றுத்: crit
சிறந்த: pcac
பக்க: psac
நிச்சயமாக: hkus
பெண்: hfin
போதும்: kyat
உடனே: hpuc
முழு: hcun
அறை: hfac
கிட்டத்தட்ட: hlap
முடியாது: nyat
நீர்: hwik
desiderative-மனநிலை: hdin
ஒளி: lyak
அல்லது: hnun
சொல்: slat
கதவை: tyan
பயன்பாடு: hpus
காலை: hsap
terminative-வழக்கு: twik
சக்தி: hkuk
தங்களை: hmis
தற்போதைய: hyin
குரல்: hwas
வெள்ளை: hpis
பணம்: tlan
அடுத்த: kyak
ஏழை: hyis
மரணம்: hmut
வடிவம்: hfam
inessive-வழக்கு: nwik
வகையான: tyac
அடிக்கடி: tsan
ஆண்டு: nwan
நண்பன்: myat
ஆர்டர்: hyut
கட்டாயம்-மனநிலை: hpim
சுற்று: hcut
நம்பிக்கை: hban
பொது: hpin
நிலை-சூழல்: hsas
மகன்: psat
நூறு: hmas
குழந்தைகள்: hcis
இதனால்: tyak
நம்புகிறேன்: hcap
மேலே: hyip
அன்பே: pyin
படிக்க: pyac
நகரம்: hsic
ஏற்கனவே: hpic
உண்மையில்: hfat
factive-சான்றுத்: hfit
கேட்கிற: hsun
குறைந்தது: hmim
ஒருவேளை: pyat
திறந்த: kcat
உடல்: tcic
விமான: cwac
இயல்பு: nyit
உதவி: mlat
கடிதம்: lyat
நான்கு: ksat
optative-மனநிலை: hpam
தீ: hfak
எனவே: hyif
மணி: hcam
இலவச: tyit
போர்: syat
என்பதை: hsaf
காரணம்: kyan
ஐக்கிய: hnut
அழைப்பு: hkuc
ஏன்: hwam
இழந்தது: hkut
ஆயிரம்: tsas
குடும்ப: hfic
ஆன்மா: twam
கேள்வி: swac
பாதுகாப்பு: kcan
உண்மையான-மனநிலை: hlin
அர்த்தம்: mwit
சாத்தியமான-மனநிலை: hten
நோக்கி: cyan
allative-வழக்கு: lwik
மனிதப்-பண்புகள்-பாலினம்: hrin
குறுகிய: kyut
முடியும்: hyuk
வாழ: hkip
பொருள்: hsek
அதே-பொருள்-மார்க்கர்: hcek
வெவ்வேறு-பொருள்: hfek
பதில்: tsat
கடல்: mwat
அச்சம்: hcoc
புரிந்து: pcat
கடின: kyin
அடிப்படையில்: tyut
சந்தேகம்: hdac
dubitative-மனநிலை: twin
கேட்க: psan
ஆயுத: tcas
கருப்பு: clis
கொண்டு: tyat
அழகான: ksis
இருண்ட: tcak
நடத்த: psak
பத்து: htaf
நிகழ்ச்சி: pyan
கதை: hkif
பொதுவான: kwan
புத்தகம்: hkup
மின்னணு: lyin
பேச்சு: plak
குறி: myac
ஆர்வம்: nyis
எழுத: kcit
படுக்கையில்: pwat
தேவையான: syis
யோசனை: hwis
கலை: klat
vialis-வழக்கு: hlas
சகோதரர்: pyak
சில-நேரங்களில்: ksas
வரி: lyan
அட்டவணை: tlas
நதி: nwit
கண்: kyac
தகவல்: fyin
திடீரென்று: tfan
விசித்திரமான: hgan
ஆழமான: ksan
மாற்றம்: hrit
உணர்வு: nwac
சந்திக்க: mlit
நோக்கம்: htuc
சந்தோஷமாக: hcuc
தெரிகிறது: syit
இரத்த: cyac
உயர்ந்தது: kwas
தென்: swan
குளிர்: tlat
முன்னோக்கி: myik
நிலையை: psis
தாமதமாக: tyam
நிற்க: syan
நினைக்கிறேன்: nlas
மகள்: pyit
என்னுடைய: myan
வெட்டு: hkim
நகல்: hfap
கணவர்: hgat
ஆறு: hlis
நினைவில்: twat
விளைவு: hyaf
விழ: htuk
தவிர: hsip
முடி: hpaf
கடந்து: pyas
பதிப்புரிமை: pcit
இராணுவம்: cyit
ரன்: kcak
குதிரை: kcas
எதிர்காலத்தில்: hwic
மேற்கு: pcak
செலுத்த: plit
சிவப்பு: hyun
தங்கம்: tcun
ஆசை: hdan
விளையாட: plin
மாஸ்டர்: mwas
அலுவலக: hfus
அரசு: syak
தேவாலயத்தில்: kyas
நீளம்: hlen
நிறுவனம்: ksin
காகித: kyis
நிகழ்தகவு: hbin
குறிப்பாக: cyas
தாங்க: pcas
சாளரத்தில்: cyak
ஒப்பந்தம்: hgac
அழகு: syac
கடமை: tfac
அனுப்பு: fyan
தொலைவில்: htif
அமைதி: slan
கால்: fyat
காட்டு: kyik
இறக்க: myam
சேமிக்க: pfan
பச்சை: kcin
பிரச்சனையில்: mlan
புன்னகை: myak
தவறு: clat
பல்வேறு: pcin
தூங்கு: slit
quotative-வழக்கு: kwik
தொடங்கி: cwan
நடவடிக்கை: kfan
விஜயம்: fwat
பின்பற்றவும்: nlan
முயற்சி: tcis
முன்னிலையில்: psit
இனிப்பு: tlit
பணக்கார: tcin
எதிரி: tcam
கப்பல்: hcip
நிலை: kyit
இவர்களும்: hkum
உள்ளடக்கிய-நபர்: hlon
இரகசிய: kwit
precative-மனநிலை: pwim
கண்ணியமாக-பதிவு: hbit
தீய: pwac
மார்ச்: myas
எதுவாக: kwac
தங்க: hlam
அதற்கு-பதிலாக: plat
நீல: plan
சாத்தியமற்றது: psap
பள்ளி: hsuk
விழாவில்: ksac
திருமணம்: nwat
உணவு: hcuk
இருபது: tsis
அமைதியான: tcit
எளிதாக: hnis
வருங்கால-அம்சம்: hrap
மொழி: lyac
வெளிப்பாடு: syas
வாரம்: hsus
மண்டபம்: hcum
ஆபத்து: kcic
சொத்து: myit
பிறப்பு: nyan
நீதிமன்றம்: kcut
பொதுவாக: tyap
gnomic-அம்சம்: hmip
மதிப்பு: tyas
எளிய: syap
மரம்: pyic
சண்டை: pyap
சுவர்: twit
சொர்கம்: cwak
inchoative-அம்சம்: htip
jussive-மனநிலை: hjin
தொனி: twun
சம்பந்தமாக: klan
எதிர்பார்க்கப்படுகிறது: pcik
மாதம்: hmaf
அனுபவம்: nyap
முற்றிலும்: nyac
புதிய: tsac
பிரபு: hnuk
மூடப்பட்ட: kwak
பிணைப்பு: hyim
கிழக்கு: tyuk
கல்: pwan
சற்றே: kfat
திசையில்: tlac
நாற்காலியில்: kwis
ஆதரவு: syut
தேதி: tyic
கிராமத்தில்: klac
துறையில்: clit
அனுமதி: nwin
அனுமதியளிக்கும்-மனநிலை: hmom
வெற்றி: slak
சரியான: hric
மலை: clin
இசை: ksik
சேய்மை-வெளிப்படுத்துகிறது: hdat
பிற்பகல்: htup
அழுகை: hyuc
மரியாதை: hnaf
ஏழு: swit
தனியார்: pfat
செய்தி: nwas
காட்சி: slac
தோட்டத்தில்: cyam
இனம்: htus
பங்கீட்டு-வழக்கு: twak
அறிய: clan
அரசியல்: syik
பொய்: kcun
நடித்தார்: tsak
சாப்பிட: kcam
தரை: hlaf
தவறான: pwin
அசல்: mlin
கோடை: kyam
மதம்: tlam
படம்: ksit
தப்பிக்கும்: plap
ஆசிரியர்: hlut
பழுப்பு: pyun
தீர்மானிக்கப்படுகிறது: htem
வலி: hdon
வசந்த: psin
நூற்றாண்டு: syic
மென்மையான: mwan
மூலையில்: kyun
உற்பத்தி: psas
சிரிப்பு: cyaf
மறக்க: flat
ஐரோப்பா: hyup
எட்டு: lwat
ஆடை: lwac
பயங்கரமான: cyap
மூச்சு: syaf
பாண்டித்தியம்: hbas
சொந்தம்-மார்க்கர்: srak
நினைவக: myin
நவீன: fwan
ஸ்பாட்: tcap
உயரும்: hyus
இடைவெளி: pyik
ஐம்பது: hfis
தீவின்: tlap
தொட: hsuc
வாக்குறுதி: pcam
commissive-மனநிலை: mwin
பட்டம்: tfat
திட்டம்: plac
நடத்தை: nyak
ஆச்சரியம்: cran
நிமிடம்: hmun
ஷாட்: hwut
மோசமாக: pcap
கண்ணாடி: klak
உதாரணமாக: tlin
பாதுகாப்பான: hsif
மருத்துவர்: tsit
முழுமையாக்கும்-அம்சம்: hmep
மீண்டும்-மீண்டும்: tyun
இராணுவ: slin
சூடான: nyam
பானம்: pfin
கேள்விகள்: pcaf
கோபம்: nran
நேரடியாக: tyik
தொப்பி: hcup
நாய்: kwap
வேலைக்காரன்: hnuc
பெருமை: hram
கூட்டத்தில்: tcuc
ரயில்: nyin
தார்மீக: myut
தொடர்புடைய: kyim
உள்ளிடவும்: fyak
ஆட்சி: nyas
வாள்: cwat
தாக்குதல்: kfak
சுகாதார: clac
பத்தி: pyaf
சமூக: hsum
பணத்தை-திரும்ப: tfit
மன்னிக்கவும்: hpec
தைரியம்: krac
கருணை: hnen
அதிகாரி: hfaf
வழங்கப்படும்: tsik
கோரிக்கை: pwit
பார்வையில்: klas
இயக்கம்: hyon
எதிர்பார்க்க: cwit
எதிர்: psam
பன்னிரண்டு: tyaf
ஈடுபட்டுள்ள: nyut
மது: hwun
சுவை: swut
இரும்பு: fyac
விநியோகிக்க: syin
வர்த்தக: myap
நன்மை: twac
ஆடைகள்: kfip
நீதிபதி: fwak
வித்தியாசம்: tfaf
ஆர்வத்துடன்: kcis
கேப்டன்: kwin
முடிக்கப்பட்ட: nlat
நிறுத்துதல்-அம்சம்: hsep
