mastar: ni
yalın-dava: na
ismin--i-hali dava: ka
konu-dava: ta
Merhaba: ca
-in-hali-dava: sa
sıfat: ci
ve: wa
bana: mi
sen: ya
bize: nlah
o: yi
hedef-dava: ti
datif-dava: pa
iç-bağlam: tu
kişi-bağlam: pi
bağımlı-fıkra: yu
tamamlanma-belirten-görünüş: fa
geçmiş-gergin: ki
eril-cinsiyet: si
comitative-dava: mwih
mevcut-gergin: ma
benefactive-dava: pwah
essive-dava: swih
değil: nu
onun: tsih
yüzey-bağlam: su
adpositional-dava: pu
yer-dava: te
uzay-bağlam: no
yol-dava: ra
enstrümental-dava: se
soru-ruh-hali: ri
ve-veya: to
dışlamalı-veya: ku
kaynak-dava: so
ablatif-dava: lwah
inandırıcı: di
ama: la
kadınsı-cinsiyet: ne
çoğul-sayı: lu
gelecek-gergin: we
sosyal-bağlam: mo
bitmemişlik-görünüş: me
Orada: klah
şartlı-ruh-hali: co
Daha: kcoh
göreceli-dava: nwih
illative-dava: lwih
direktif-ruh-hali: de
dışsal-bir-ruh hali: da
soru-sözcük: slah
bağ: ksah
kişi: psoh
diğer: tcoh
numara: do
çok: tcah
zaman: trah
zaman-bağlam: ro
geçici-dava: mrah
hakkında: ke
epistemik-ruh-hali: pe
sadece: twuh
daha-sonra: pcah
gayretlendirici-ruh-hali: twah
geçmişe-yönelik-görünüş: rwih
irade-ile-ilgili ruh hali: li
önce: tceh
sonra: ba
devredilebilir-mülk: lyih
devredilemez-mülk: nlih
ihtiyatlı-ruh-hali: drih
perlative-dava: pwih
ilerici-görünüş: psih
İşte: tcih
altında-bağlam: ce
delative-dava: dwih
semelfactive-görünüş: mweh
neo: nyoh
odak: fo
aşk: pyah
paucal-sayı: ploh
çünkü: yo
nedensel-dava: ksih
isim: gi
uygun-isim: tsah
gayretlendirici: re
görünür-ortada: crih
dilek-ruh-hali: dwah
terminative-dava: twih
inessive-dava: nweh
zorunlu-ruh-hali: prih
inanmak: kcah
devlet-bağlam: ga
umut: cwah
factive-ortada: fwih
dilek-kipi-ruh hali: pcih
realis-ruh-hali: le
potansiyel-ruh-hali: tlah
allative-dava: lweh
antropik-cinsiyet: fi
konu: wo
aynı-konu-işaretleyici: cyah
farklı-konu: fe
korku: ko
şüphe: cu
kararsızlık-belirten-ruh hali: tweh
faiz: nyih
vialis-dava: wi
garip: trih
değişiklik: ryih
mutlu: clah
dışında: swah
arzu: kwah
uzunluk: lo
olasılık: bi
anlaşma: grah
sorun: mlah
quotative-dava: kwih
dahil-kişi: lwoh
precative-ruh-hali: rwah
kibar-kayıt: brih
muhtemel-görünüş: tfah
Gnomic-görünüş: go
yeni-başlayan-görünüş: zi
emir-ruh-hali: jwih
hoşgörülü-ruh-hali: mwah
uygun: kcih
merkezden-uzak-inandırıcı: tseh
dağıtım-dava: nwah
kararlı: treh
ağrı: droh
bilge: ja
iyelik-işaretleyici: srah
commissive-ruh-hali: mu
sürpriz: crah
completive-görünüş: kweh
öfke: nrah
gurur: brah
Üzgünüm: pceh
cesaret: krah
lütuf: nreh
hareket: mroh
endişeli: cwih
kesilme-görünüş: za
koyulaştırıcı: tfih
ortada-dava: ryah
üzücü: syah
aksi-halde: tyah
hayvanlara-ait-cinsiyet: zo
EVENTIVE-ruh-hali: nwoh
aynı-olay-işaretleyici: cwoh
çarpımsal-dava: plah
şaşırmış: prah
yazık: lyah
kitle: mlih
memnun: srih
erdem: be
spekülatif-ruh-hali: po
tanıdık-kayıt: krih
yaralı: frah
üzüntü: proh
ha?: nyah
teşekkür: kyah
utanç: ru
ifade-işaretleyici: fyah
sadık: cyih
heyecan: tyeh
hesternal-gergin: tleh
nefret: tyih
akılcı-cinsiyet: tlih
aşırı: kreh
bitkisel-cinsiyet: slih
merak: kyih
korkmuş: kcuh
makale: myah
kutsama-ruh-hali: bwih
suçlu: dlih
cahil: nrih
cömert: drah
girişim-dava: twoh
gecikmiş-zorunlu: ji
rapor-ortada: psah
suçlama: dlah
sefalet: kfah
Tekil-sayı: gu
affetmek: pfah
sabır: je
tutarlılığına: freh
yalnız: kyoh
çekicilik: croh
coşku: tsuh
tümevarımsal-ruh-hali: tcuh
söylev-bağlam: ye
vokatif-dava: bo
hakaret: grih
öğüt-ruh-hali: tyuh
hırs: bwah
sürekli-görünüş: nyeh
direkt-ortada: troh
endişeli-ruh-hali: pcoh
şok: cruh
son-geçmiş-gergin: clih
kesin-makale: klih
kıskanç: ryuh
lanet-ruh-hali: mrih
kayıtsızlık: du
assumptive-ruh-hali: syih
hasar: kroh
protasis: rwoh
düşmanca: cyuh
taklit-eden: mreh
yani: gwih
hodiernal-gergin: dloh
delimitative-görünüş: dweh
özel-kişi: kwuh
bitmişlik-görünüş: tfeh
atelic-görünüş: tsoh
yasaklayıcı-ruh-hali: jrih
işkence: nroh
bağlılık: nloh
momentane-görünüş: myeh
affetme: jrah
mütevazi-kayıt: myih
eski-merhum: frih
alıntı: wu
sıkıntı: zrah
alışılmış-görünüş: bu
önemli: kseh
çalışkanlık: dyih
resmi-kayıt: sreh
işitsel-ortada: creh
bağlaç: ksoh
anlaşılan-ortada: flih
küfür: sleh
sublative-dava: swoh
bildiren-ruh-hali: ksuh
sözlü: kceh
olumlu-ruh-hali: fwah
memnuniyetsizlik: dyah
idiophone: dyoh
aşırı-dava: zwah
irrealis-ruh-hali: ze
utangaçlık: cyoh
adaptasyon: pyih
zamir-işaretleyici: ryeh
ezmek: zroh
ağırbaşlılık: jyah
pegative-dava: pweh
prosecutive-dava: pwuh
kaygı: byah
ortaç: pfih
uzak-geçmiş-gergin: dzah
tarihi-gergin: sroh
histeri: syeh
çift-sayı: dluh
duyusal-ortada-ruh hali: xi
hareket-yokuş-yukarı: ryoh
geçmişe-yönelik: txih
hareket-yokuş-aşağı: myoh
çekimli: blih
superessive-dava: psuh
geçişli: t6
hüsran: xrah
hareket-akıntıya-karşı: truh
hareket-akıntı-yönünde: txah
parçalanma: xo
düş-kırıklığı: tloh
akım-ilgi-işaretleyici: xa
kısaltması: qi
initialism: nl6h
ulaç: ge
geçmiş-zaman: preh
aorist: broh
bir-parçayı-belirten dava: pxih
görünüş: pf6h
büyüten: xe
fobi: xyoh
belirteç: txeh
doğrulayıcı: plih
uzatan-dava: pxah
gerçeğe-uygun: vyih
ikili-değer: vrih
sınırlı-fiil: vi
Deneme-sayı: pc6h
profesyonel-cümle: r6
dostluk: va
Gnomic-ruh-hali: kxih
merkezi-dava: dreh
ön-hodiernal: x6
sabırlı-dava: qa
eğik-dava: bwoh
orta-ses: tyoh
teşhis-edilebilir: xyah
hedef-tetik: groh
yasama-dava: dvah
olmayan-insan: n6
soğurma: nyuh
multal-sayı: mloh
trans-rakam: ts6h
gökada-cinsiyet: gjah
güle-güle: jwah
abessive-dava: bvah
adessive-dava: dvih
için-dava: kxah
agentive-dava: dveh
ajan-tetik: greh
aktör-rol: nruh
ortak-cinsiyet: k6
yakınının-bulunmasını: kloh
pasif-ses: pyoh
star-cinsiyet: qrah
alıntı-form: xu
sözlü-isim: xlih
fıkra---tail: kluh
direkt-nesne: rweh
kılıcısız-dava: gvih
in--dili: byih
lokatif-dava: kwoh
zarf-dava: vlah
son-parçacık: nluh
evitative-dava: ve
iyelik-dava: kfih
adlaştırma: mleh
deli-dava: djah
yardımcı-fiil: fyih
birincil-nesne: myuh
antessive-dava: nleh
hareketlendirmek-cinsiyet: xrih
subessive-dava: bvih
araç-cinsiyet: vlih
mineral-cinsiyet: xwih
fiil---eki: kxeh
empatik-sevinç: pfeh
değişim-arasında-olay: qrih
farklı-olay: txoh
Evren-cinsiyet: bjih
yer-cinsiyet: lyeh
araştırma-cinsiyet: txuh
artistik-cinsiyet: s6
crastinal-gergin: sl6h
soyut-cinsiyet: sruh
exocentric-dava: zrih
geçişli-fiil: tfoh
geçmiş-tamamlanma-belirten: tr6h
dolaylı-konuşma: dyeh
ikinci-dil: sr6h
toplu-isim: kxoh
absolutive-dava: bvuh
sabırlı-tetik: pruh
öz-güven: swuh
dönüşlü-ses: flah
kişiliksiz-fiil: pseh
tipik-dava: dleh
cansız-cinsiyet: djih
ettirgen: kruh
propositive-ruh-hali: pxoh
elektrik-akım: breh
ilişkisel-dava: sloh
üstün-dava: sluh
gezegen-cinsiyet: pxeh
karşılıklı-ses: syoh
çekirdek-benefactive: kfeh
else-if: kyeh
ardışık-fıkra: lyoh
yakında-gelecek-gergin: rwuh
uygulamalı-ses: pyuh
antipassive-ses: ps6h
continuative-görünüş: tfuh
necessitative-ruh-hali: nr6h
tek-eylem-fiil: qyah
üstün-derece: tluh
varoluşsal-fıkra: sy6h
mevcut-ortaç: vrah
aydınlık-yoğunluk: kyuh
singulative-sayı: glih
pasif-ortaç: pfoh
aşırı-süre: kxuh
miktar-arasında-madde: m6
