mastar: hnit
yalın-dava: hnak
ismin--i-hali dava: hkak
konu-dava: htak
ebeveyn: hmat
baba: hpap
anne: hmam
Merhaba: hnat
ata: htat
büyükbaba-veya-büyükanne: hyat
aç: hcac
-in-hali-dava: hnik
sıfat: hcit
ve: hwan
bana: hmic
sen: hnan
bize: hnam
o: hyic
hedef-dava: htas
datif-dava: htik
iç-bağlam: htis
kişi-bağlam: hpak
bağımlı-fıkra: htan
tamamlanma-belirten-görünüş: htap
geçmiş-gergin: hkat
eril-cinsiyet: hsan
comitative-dava: hmik
mevcut-gergin: hyan
benefactive-dava: hpik
essive-dava: swik
değil: hnic
onun: hsis
yüzey-bağlam: hsak
adpositional-dava: hpan
yer-dava: hwak
uzay-bağlam: hnos
yol-dava: hrak
enstrümental-dava: hsik
hangi: hkan
soru-ruh-hali: hnim
ve-veya: htam
dışlamalı-veya: hkit
kaynak-dava: hsok
ablatif-dava: hlak
inandırıcı: hdit
ama: hlan
tüm: hsut
kadınsı-cinsiyet: hnin
onlar: hwin
çoğul-sayı: hlun
bir: hyik
gelecek-gergin: hwet
sosyal-bağlam: hson
ne-zaman: hkap
bitmemişlik-görünüş: hmap
Orada: hkac
şartlı-ruh-hali: hcan
Daha: hdoc
dışarı: htac
göreceli-dava: hrik
illative-dava: hlik
yapmak: hkas
direktif-ruh-hali: hden
dışsal-bir-ruh hali: hdim
soru-sözcük: hwac
bağ: hkok
kişi: hpon
erkek: hman
olabilir: kwat
diğer: hcon
numara: hnoc
çok: tcac
zaman: htim
zaman-bağlam: htos
geçici-dava: hmak
hakkında: hkam
epistemik-ruh-hali: hsim
sadece: htun
küçük: hcak
daha-sonra: pcan
gayretlendirici-ruh-hali: hton
geçmişe-yönelik-görünüş: hrip
harika: hcat
irade-ile-ilgili ruh hali: hlim
önce: hsec
şart: pcic
iki: htut
görmek: tcan
bilmek: hsat
aşağı: hcin
sonra: hcas
ilk: hpas
kendi: hpun
devredilebilir-mülk: hlic
asla: hnac
devredilemez-mülk: hkic
eski: hwat
ihtiyatlı-ruh-hali: hcim
gün: htin
nerede: hnap
hadi: hlat
yol: hyas
iş: hkaf
ünlü: hwaf
gitmek: hkun
perlative-dava: pwik
ilerici-görünüş: hpip
uzun: hlac
söylemek: hsac
Nasıl: hkin
hatta: hpit
geri: hwap
İşte: hcic
düşünmek: hcik
aynı: hsam
son: kcac
uzakta: twan
altında-bağlam: hnas
almak: htit
bulundu: hfan
el: cyat
genç: hyac
gerçi: hyap
vermek: hkik
Tanrı: hmac
delative-dava: lwak
hiçbir-şey: hmin
sağ: hyit
bir-Zamanlar: hyam
semelfactive-görünüş: fwip
bölüm: hpat
testere: htic
ev: hfas
Dünya: tcat
kafa: hcaf
üç: tyin
neo: hnon
odak: hcok
aşk: hpac
her-zaman: hsit
gece: hwit
her: hmit
kral: hyak
arasında: hsin
kalp: cyin
paucal-sayı: plom
çünkü: hyok
nedensel-dava: ksak
şey: hkis
set: swat
isim: hnem
uygun-isim: hran
gayretlendirici: hrat
ülke: hlit
diye-sordu: hput
görünür-ortada: crit
daha-iyi: pcac
yan: psac
kurs: hkus
kadın: hfin
yeter: kyat
yakında: hpuc
tam: hcun
oda: hfac
neredeyse: hlap
olamaz: nyat
su: hwik
dilek-ruh-hali: hdin
ışık: lyak
ne: hnun
kelime: slat
kapı: tyan
kullanım: hpus
sabah: hsap
terminative-dava: twik
güç: hkuk
kendilerini: hmis
mevcut: hyin
ses: hwas
beyaz: hpis
para: tlan
Sonraki: kyak
fakir: hyis
ölüm: hmut
form: hfam
inessive-dava: nwik
tür: tyac
sık-sık: tsan
yıl: nwan
arkadaş: myat
sipariş: hyut
zorunlu-ruh-hali: hpim
yuvarlak: hcut
inanmak: hban
kamu: hpin
devlet-bağlam: hsas
oğul: psat
yüz: hmas
çocuklar: hcis
böylece: tyak
umut: hcap
yukarıdaki: hyip
sevgili: pyin
okumak: pyac
şehir: hsic
zaten: hpic
gerçek: hfat
factive-ortada: hfit
duymak: hsun
en-az: hmim
belki: pyat
açık: kcat
vücut: tcic
hava: cwac
doğa: nyit
Yardım-Edin: mlat
mektup: lyat
dört: ksat
dilek-kipi-ruh hali: hpam
ateş: hfak
bu-nedenle: hyif
saat: hcam
ücretsiz: tyit
savaş: syat
olup-olmadığını: hsaf
neden: kyan
birleşik: hnut
çağrı: hkuc
Neden: hwam
kayıp: hkut
bin: tsas
aile: hfic
ruh: twam
soru: swac
bakım: kcan
realis-ruh-hali: hlin
fena: mwit
potansiyel-ruh-hali: hten
karşı: cyan
allative-dava: lwik
