动词不定式: hnit
主格外壳: hnak
宾格外壳: hkak
主题外壳: htak
父: hmat
爸: hpap
妈妈: hmam
您好: hnat
祖先: htat
祖父母: hyat
饥饿: hcac
所有格外壳: hnik
形容词: hcit
和: hwan
我: hmic
您: hnan
我们: hnam
它: hyic
目的地外壳: htas
格外壳: htik
室内背景: htis
人背景: hpak
依赖的条款: htan
完成式方面: htap
过去紧张: hkat
男性性别: hsan
comitative外壳: hmik
当下紧张: hyan
benefactive外壳: hpik
essive外壳: swik
不: hnic
其: hsis
表面背景: hsak
adpositional案件: hpan
位置案件: hwak
空间背景: hnos
办法案件: hrak
仪器的外壳: hsik
哪: hkan
疑问心情: hnim
和要么: htam
异或: hkit
资源外壳: hsok
夺格外壳: hlak
指示代词: hdit
但: hlan
所有: hsut
女人性别: hnin
他们: hwin
复数数: hlun
一: hyik
未来紧张: hwet
社会背景: hson
什么时候: hkap
未完成方面: hmap
那里: hkac
有条件的心情: hcan
更多: hdoc
出: htac
相对的外壳: hrik
illative外壳: hlik
做: hkas
指示心情: hden
道义心情: hdim
题字: hwac
系词: hkok
人: hpon
男: hman
可以: kwat
其他: hcon
数: hnoc
非常: tcac
时间: htim
时间背景: htos
颞外壳: hmak
关于: hkam
认知心情: hsim
只要: htun
小: hcak
然后: pcan
忠告的心情: hton
回顾方面: hrip
大: hcat
意愿式心情: hlim
之前: hsec
必须: pcic
二: htut
看到: tcan
知道: hsat
向下: hcin
后: hcas
第一: hpas
拥有: hpun
离间的所有权: hlic
决不: hnac
不可分割所有权: hkic
旧: hwat
审议心情: hcim
日: htin
哪里: hnap
来: hlat
方法: hyas
工作: hkaf
元音: hwaf
走: hkun
perlative外壳: pwik
进步方面: hpip
长: hlac
说: hsac
怎么样: hkin
甚至: hpit
背部: hwap
这里: hcic
认为: hcik
相同: hsam
持续: kcac
远: twan
下背景: hnas
采取: htit
发现: hfan
手: cyat
年轻: hyac
虽然: hyap
给: hkik
神: hmac
delative外壳: lwak
没什么: hmin
对: hyit
一旦: hyam
semelfactive方面: fwip
部分: hpat
锯: htic
房子: hfas
世界: tcat
头: hcaf
三: tyin
新: hnon
焦点: hcok
爱: hpac
总是: hsit
晚: hwit
每: hmit
王: hyak
之间: hsin
心: cyin
paucal数: plom
因为: hyok
因果外壳: ksak
事情: hkis
组: swat
名称: hnem
正确名词: hran
忠告的: hrat
国家: hlit
问: hput
可见证据: crit
更好: pcac
侧: psac
课程: hkus
女: hfin
够了: kyat
不久: hpuc
充分: hcun
房间: hfac
几乎: hlap
不能: nyat
水: hwik
desiderative心情: hdin
光: lyak
也不: hnun
字: slat
门: tyan
使用: hpus
早上: hsap
终结外壳: twik
功率: hkuk
他们自己: hmis
当下: hyin
语音: hwas
白色: hpis
钱: tlan
下一个: kyak
较差的: hyis
死亡: hmut
形成: hfam
内格外壳: nwik
类: tyac
经常: tsan
年: nwan
朋友: myat
订购: hyut
势在必行心情: hpim
回合: hcut
相信: hban
上市: hpin
州背景: hsas
儿子: psat
百: hmas
孩子: hcis
从而: tyak
希望: hcap
以上: hyip
亲爱: pyin
读: pyac
市: hsic
已经: hpic
事实: hfat
事实性证据: hfit
听: hsun
最小: hmim
也许: pyat
打开: kcat
体: tcic
空气: cwac
性质: nyit
帮帮我: mlat
信: lyat
四: ksat
表愿望的心情: hpam
火: hfak
因此: hyif
小时: hcam
自由: tyit
战争: syat
是否: hsaf
原因: kyan
联合的: hnut
呼叫: hkuc
为什么: hwam
迷路: hkut
千: tsas
家庭: hfic
灵魂: twam
题: swac
关心: kcan
realis心情: hlin
意味着: mwit
潜在心情: hten
向: cyan
allative外壳: lwik
择性别: hrin
短: kyut
能够: hyuk
生活: hkip
学科: hsek
相同学科标记: hcek
不同学科: hfek
回答: tsat
海: mwat
恐惧: hcoc
理解: pcat
硬: kyin
术语: tyut
怀疑: hdac
dubitative心情: twin
问: psan
武器: tcas
黑色: clis
带来: tyat
美丽: ksis
黑暗: tcak
保持: psak
十: htaf
显示: pyan
故事: hkif
共同: kwan
书: hkup
电子: lyin
谈论: plak
标记: myac
利益: nyis
写: kcit
床: pwat
必要: syis
理念: hwis
艺术: klat
vialis外壳: hlas
哥哥: pyak
有时: ksas
线: lyan
表: tlas
河: nwit
眼: kyac
信息: fyin
突然: tfan
奇怪: hgan
深: ksan
更改: hrit
感觉: nwac
遇到: mlit
目的: htuc
快乐: hcuc
似乎: syit
血液: cyac
玫瑰: kwas
南: swan
冷: tlat
前锋: myik
位置: psis
晚了: tyam
站: syan
假设: nlas
女儿: pyit
矿: myan
切: hkim
复制: hfap
丈夫: hgat
六: hlis
记得: twat
影响: hyaf
秋季: htuk
除: hsip
头发: hpaf
通过: pyas
版权: pcit
军队: cyit
跑: kcak
马: kcas
未来: hwic
西: pcak
工资: plit
红: hyun
金: tcun
欲望: hdan
玩: plin
主: mwas
办公室: hfus
政府: syak
教会: kyas
长度: hlen
公司: ksin
纸: kyis
可能性: hbin
特别: cyas
熊: pcas
窗口: cyak
协议: hgac
美女: syac
责任: tfac
发送: fyan
距离: htif
沉默: slan
脚丫子: fyat
野生: kyik
死: myam
保存: pfan
绿色: kcin
麻烦: mlan
微笑: myak
错误: clat
各个: pcin
睡觉: slit
quotative外壳: kwik
开始: cwan
行动: kfan
访问: fwat
遵循: nlan
尝试: tcis
存在: psit
甜: tlit
丰富: tcin
敌人: tcam
船: hcip
条件: kyit
包含: hkum
包容性人: hlon
秘密: kwit
precative心情: pwim
有礼貌寄存器: hbit
邪恶: pwac
游行: myas
随你: kwac
留: hlam
代替: plat
蓝: plan
不可能: psap
学校: hsuk
场合: ksac
已婚: nwat
食品: hcuk
二十: tsis
安静: tcit
容易: hnis
预期方面: hrap
语言: lyac
表达: syas
周: hsus
大厅: hcum
危险: kcic
属性: myit
天生: nyan
法庭: kcut
通常: tyap
格言方面: hmip
价值: tyas
简单: syap
树: pyic
斗争: pyap
壁: twit
天堂: cwak
发端的方面: htip
命令的心情: hjin
音: twun
看待: klan
预期: pcik
月: hmaf
经验: nyap
完全: nyac
新鲜: tsac
公爵: hnuk
覆盖: kwak
界: hyim
东: tyuk
石: pwan
有些: kfat
方向: tlac
椅子: kwis
支持: syut
日期: tyic
村: klac
领域: clit
允许: nwin
宽容心情: hmom
成功: slak
正确: hric
山: clin
音乐: ksik
远端指示代词: hdat
下午: htup
哭: hyuc
荣誉: hnaf
七: swit
私人: pfat
新闻: nwas
现场: slac
花园: cyam
种族: htus
分配的外壳: twak
学习: clan
政治: syik
谎言: kcun
投: tsak
吃: kcam
地板: hlaf
生病: pwin
原版的: mlin
夏季: kyam
宗教: tlam
图片: ksit
逃逸: plap
作者: hlut
棕色: pyun
决心: htem
疼痛: hdon
