动词不定式: ni
主格外壳: na
宾格外壳: ka
主题外壳: ta
您好: ca
所有格外壳: sa
形容词: ci
和: wa
我: mi
您: ya
我们: nlah
它: yi
目的地外壳: ti
格外壳: pa
室内背景: tu
人背景: pi
依赖的条款: yu
完成式方面: fa
过去紧张: ki
男性性别: si
comitative外壳: mwih
当下紧张: ma
benefactive外壳: pwah
essive外壳: swih
不: nu
其: tsih
表面背景: su
adpositional案件: pu
位置案件: te
空间背景: no
办法案件: ra
仪器的外壳: se
疑问心情: ri
和要么: to
异或: ku
资源外壳: so
夺格外壳: lwah
指示代词: di
但: la
女人性别: ne
复数数: lu
未来紧张: we
社会背景: mo
未完成方面: me
那里: klah
有条件的心情: co
更多: kcoh
相对的外壳: nwih
illative外壳: lwih
指示心情: de
道义心情: da
题字: slah
系词: ksah
人: psoh
其他: tcoh
数: do
非常: tcah
时间: trah
时间背景: ro
颞外壳: mrah
关于: ke
认知心情: pe
只要: twuh
然后: pcah
忠告的心情: twah
回顾方面: rwih
意愿式心情: li
之前: tceh
后: ba
离间的所有权: lyih
不可分割所有权: nlih
审议心情: drih
perlative外壳: pwih
进步方面: psih
这里: tcih
下背景: ce
delative外壳: dwih
semelfactive方面: mweh
新: nyoh
焦点: fo
爱: pyah
paucal数: ploh
因为: yo
因果外壳: ksih
名称: gi
正确名词: tsah
忠告的: re
可见证据: crih
desiderative心情: dwah
终结外壳: twih
内格外壳: nweh
势在必行心情: prih
相信: kcah
州背景: ga
希望: cwah
事实性证据: fwih
表愿望的心情: pcih
realis心情: le
潜在心情: tlah
allative外壳: lweh
择性别: fi
学科: wo
相同学科标记: cyah
不同学科: fe
恐惧: ko
怀疑: cu
dubitative心情: tweh
利益: nyih
vialis外壳: wi
奇怪: trih
更改: ryih
快乐: clah
除: swah
欲望: kwah
长度: lo
可能性: bi
协议: grah
麻烦: mlah
quotative外壳: kwih
包容性人: lwoh
precative心情: rwah
有礼貌寄存器: brih
预期方面: tfah
格言方面: go
发端的方面: zi
命令的心情: jwih
宽容心情: mwah
正确: kcih
远端指示代词: tseh
分配的外壳: nwah
决心: treh
疼痛: droh
明智: ja
所有格标记: srah
承诺性心情: mu
惊: crah
completive方面: kweh
愤怒: nrah
自豪: brah
抱歉: pceh
勇气: krah
恩典: nreh
运动: mroh
急: cwih
戒烟方面: za
增强: tfih
证据外壳: ryah
伤心: syah
除此以外: tyah
宙性别: zo
eventive心情: nwoh
相同事件标记: cwoh
乘法外壳: plah
感到惊讶: prah
怜悯: lyah
质量: mlih
满意: srih
美德: be
投机心情: po
熟寄存器: krih
负伤: frah
悲哀: proh
是吗？: nyah
感谢: kyah
耻辱: ru
短语标记: fyah
可信: cyih
激动: tyeh
hesternal紧张: tleh
讨厌: tyih
合理的性别: tlih
极端: kreh
植物性性别: slih
好奇心: kyih
受惊: kcuh
文章: myah
祝福心情: bwih
有罪: dlih
无知: nrih
慷慨: drah
倡议外壳: twoh
延迟势在必行: ji
报道证据: psah
怪: dlah
苦难: kfah
单数数: gu
原谅: pfah
忍耐: je
参考: freh
孤独: kyoh
魅力: croh
热情: tsuh
归纳的心情: tcuh
演讲背景: ye
呼外壳: bo
鄙视: grih
警告心情: tyuh
志向: bwah
连续方面: nyeh
直接证据: troh
忧虑心情: pcoh
休克: cruh
最近过去紧张: clih
定文章: klih
妒: ryuh
咒诅心情: mrih
漠不关心: du
憍心情: syih
伤: kroh
条件从句: rwoh
敌对: cyuh
模仿的: mreh
亦即: gwih
hodiernal紧张: dloh
定界方面: dweh
独家人: kwuh
TELIC方面: tfeh
atelic方面: tsoh
令人望而却步心情: jrih
拷打: nroh
忠诚: nloh
momentane方面: myeh
饶恕: jrah
谦卑寄存器: myih
前任的死者: frih
引用: wu
烦恼: zrah
惯常的方面: bu
后果: kseh
勤勉: dyih
正式寄存器: sreh
听觉证据: creh
连词: ksoh
推理证据: flih
脏话: sleh
至格外壳: swoh
陈述心情: ksuh
口头: kceh
肯定心情: fwah
不满: dyah
idiophone: dyoh
过多外壳: zwah
非现实心情: ze
害羞: cyoh
适应: pyih
代词标记: ryeh
压迫: zroh
泰然处之: jyah
pegative外壳: pweh
检举外壳: pwuh
当务之急: byah
分词: pfih
远程过去紧张: dzah
历史性紧张: sroh
歇斯底里: syeh
双重数: dluh
感觉的证据心情: xi
运动上坡: ryoh
回顾: txih
运动下坡: myoh
屈折: blih
superessive外壳: psuh
及物: t6
挫折: xrah
运动上游: truh
运动下游: txah
脱节: xo
虎头蛇尾: tloh
当前关联标记: xa
首字母缩写: qi
首字母缩略词: nl6h
动名词: ge
过去式: preh
不定过去: broh
表分词外壳: pxih
顿悟: pf6h
强化的: xe
恐怖症: xyoh
确定: txeh
表语: plih
prolative外壳: pxah
不虚伪: vyih
二值: vrih
有限动词: vi
审讯数: pc6h
亲句子: r6
友谊: va
格言心情: kxih
中心外壳: dreh
预hodiernal: x6
患者外壳: qa
斜外壳: bwoh
中间语音: tyoh
识别: xyah
目标触发: groh
lative外壳: dvah
非人的: n6
衰减性: nyuh
multal数: mloh
反式数字: ts6h
星系性别: gjah
再见: jwah
abessive外壳: bvah
adessive外壳: dvih
至外壳: kxah
施事外壳: dveh
代理人触发: greh
演员角色: nruh
共同性别: k6
accompanier: kloh
被动语音: pyoh
星性别: qrah
引用形成: xu
口头名词: xlih
从句尾: kluh
直接目的: rweh
作格外壳: gvih
在语言: byih
方位外壳: kwoh
状语外壳: vlah
最终粒子: nluh
evitative外壳: ve
所有格案件: kfih
名词: mleh
附身案件: djah
辅动词: fyih
主目的: myuh
antessive外壳: nleh
赋予生命性别: xrih
subessive外壳: bvih
车辆性别: vlih
矿物性别: xwih
动词后缀: kxeh
移情喜悦: pfeh
更改的事件: qrih
不同事件: txoh
宇宙性别: bjih
局部性性别: lyeh
研究性别: txuh
艺术的性别: s6
crastinal紧张: sl6h
抽象性别: sruh
exocentric外壳: zrih
及物动词: tfoh
过去完成式: tr6h
间接言语: dyeh
第二语言: sr6h
集体名词: kxoh
absolutive外壳: bvuh
患者触发: pruh
自置信度: swuh
反思语音: flah
非人的动词: pseh
语气外壳: dleh
老成性别: djih
致病: kruh
propositive心情: pxoh
电动当前: breh
联想外壳: sloh
最高级外壳: sluh
行星性别: pxeh
倒数语音: syoh
核心benefactive: kfeh
否则，如果: kyeh
连续条款: lyoh
不久未来紧张: rwuh
合用的语音: pyuh
antipassive语音: ps6h
接续方面: tfuh
necessitative心情: nr6h
单行动动词: qyah
最高级度: tluh
存在条款: sy6h
当下分词: vrah
发光的强度: kyuh
singulative数: glih
被动分词: pfoh
过多为期: kxuh
量的物质: m6
后置外壳: pwoh
选修量词: vwih
epenthetic词素: p6
否定性量词: gwah
结缔组织粒子: qyih
远程未来紧张: tl6h
重复型成对方面: f6
分配的代词: bzih
训示协议: ks6h
普遍量词: xlah
浮点数: fu
存在量词: sweh
替代量词: l6
过去被动分词: xyih
方位定向外壳: kfoh
反有条件的: fyoh
