hi li hu  होना li ha ya
ha li hu  ओबी li ha ya
hu li hu  सु li ha ya
mi li hu  मुझको li ha ya
ma li hu  क्या-बात li ha ya
mu li hu  मर्द-का li ha ya
ki li hu  व li ha ya
ka li hu  जैसा li ha ya
ku li hu  अगर li ha ya
yi li hu  यहयहां li ha ya
yu li hu  आप li ha ya
ya li hu  तो li ha ya
pi li hu  की li ha ya
pa li hu  उस-बात li ha ya
pu li hu  किया li ha ya
wi li hu  हमने li ha ya
wa li hu  या li ha ya
wu li hu  द्वारा li ha ya
ni li hu  में li ha ya
na li hu  अंक li ha ya
si li hu  उनहोने li ha ya
nu li hu  अभी li ha ya
ti li hu  था li ha ya
su li hu  से li ha ya
ta li hu  को li ha ya
tu li hu  तेरा li ha ya
li li hu  शाब्दिक li ha ya
fa li hu  अबाउट li ha ya
la li hu  अरे li ha ya
lu li hu  बहुवचन li ha ya
fi li hu  स्त्रैण li ha ya
ci li hu  एह? li ha ya
fu li hu  जायेंगे li ha ya
mya li hu  मेबी li ha ya
ca li hu  नपुंसक-लिंग li ha ya
myi li hu  अनेक li ha ya
kyi li hu  सशर्त li ha ya
mwa li hu  साथ li ha ya
kya li hu  अलग li ha ya
sa li hu  एस् li ha ya
kyu li hu  क्योंकि li ha ya
kwa li hu  जो-कि li ha ya
ksa li hu  गंदें-शब्द-बोलना li ha ya
kli li hu  उसे li ha ya
kla li hu  लेकिन li ha ya
klu li hu  खंड-पूंछ li ha ya
kfa li hu  विशेषण-प्रत्यय li ha ya
kca li hu  हा li ha ya
pyi li hu  क्रिया-प्रत्यय li ha ya
pya li hu  पर li ha ya
psu li hu  से-स्रोत li ha ya
psi li hu  से-पहले li ha ya
pwa li hu  yaor li ha ya
pli li hu  उदाहरण-के-लिए li ha ya
pci li hu  भी li ha ya
pca li hu  रसिक li ha ya
pcu li hu  भी li ha ya
nyi li hu  न li ha ya
nya li hu  यानी li ha ya
nyu li hu  एक li ha ya
sya li hu  एकवचन li ha ya
syi li hu  बहुत li ha ya
syu li hu  इसलिए li ha ya
swa li hu  अन्यथा li ha ya
swi li hu  जबकि li ha ya
sli li hu  बाकी-अगर li ha ya
sla li hu  नमस्कार li ha ya
tya li hu  के-बाद li ha ya
tyi li hu  उद्धरण li ha ya
twu li hu  दोहरी li ha ya
tsa li hu  जब-तक li ha ya
tsi li hu  हां li ha ya
tsu li hu  संज्ञा-प्रत्यय li ha ya
tla li hu  के-लिए li ha ya
fyi li hu  उसके li ha ya
twa li hu  फिर li ha ya
tcu li hu  बाहर li ha ya
tli li hu  ORD li ha ya
fyu li hu  कुछ li ha ya
cya li hu  अन्य li ha ya
min hu  कम li ha ya
miy hu  स्मृति li ha ya
mik hu  मेक li ha ya
mip hu  अतीत li ha ya
mit hu  मध्यम li ha ya
mak hu  शब्द li ha ya
man hu  सोच li ha ya
mat hu  माँ li ha ya
mun hu  नर li ha ya
mas hu  मास li ha ya
mut hu  मदद li ha ya
mac hu  मशीन li ha ya
mul hu  पूर्ण li ha ya
kim hu  तुलना li ha ya
kiy hu  जाओ li ha ya
kip hu  सक्षम li ha ya
kin hu  मेन li ha ya
kam hu  आ li ha ya
kis hu  उच्च li ha ya
kit hu  समाप्त li ha ya
kap hu  सरपंच li ha ya
kan hu  पता-है li ha ya
kas hu  कारण li ha ya
kaf hu  कैथोड li ha ya
kuy hu  बढ़ने li ha ya
kat hu  मिलना li ha ya
kal hu  सारे li ha ya
kum hu  व्यापार li ha ya
kus hu  भोजन li ha ya
kuc hu  छोटा li ha ya
yis hu  लिखो li ha ya
kul hu  लक्ष्य li ha ya
kup hu  खरीद li ha ya
kun hu  लाल li ha ya
yik hu  नकारना li ha ya
yit hu  प्रतीक्षा li ha ya
yum hu  अवयव li ha ya
yat hu  पढ़ना li ha ya
yun hu  घटाना li ha ya
yak hu  कुछ li ha ya
yuw hu  वर्ष li ha ya
yac hu  चौड़ाई li ha ya
pis hu  गुणा-करना li ha ya
pit hu  सफेद li ha ya
pic hu  पेशाब li ha ya
yus hu  यूज़ li ha ya
pay hu  अधिक li ha ya
pam hu  बांह li ha ya
yul hu  पूरे li ha ya
pas hu  पास li ha ya
paw hu  जगह li ha ya
pak hu  बॉडी li ha ya
pat hu  पिताजी li ha ya
pus hu  पू li ha ya
pan hu  मिले li ha ya
puk hu  खराब li ha ya
win hu  जीत li ha ya
pac hu  खुशी li ha ya
puy hu  बच्चा li ha ya
puc hu  खाली li ha ya
put hu  बेचना li ha ya
pul hu  ब्लू li ha ya
fut hu  भविष्य li ha ya
wan hu  इश्क li ha ya
wut hu  रोशनी li ha ya
niy hu  आवश्यकता li ha ya
wap hu  पूंछ li ha ya
wat hu  बोलो li ha ya
nay hu  साँस-छोड़ना li ha ya
nim hu  नाम li ha ya
nat hu  रात li ha ya
nut hu  बिजली-का-धनात्मक-छोर li ha ya
nit hu  जाल li ha ya
nal hu  नंगा li ha ya
nic hu  एनर्जी li ha ya
sip hu  आचमन li ha ya
nuy hu  नई li ha ya
sit hu  सैट li ha ya
wul hu  महा li ha ya
sim hu  समान li ha ya
nam hu  नंबर li ha ya
saw hu  काला li ha ya
sik hu  ऊंचाई li ha ya
sil hu  आसान li ha ya
sak hu  इस-बात-से-सहमत li ha ya
nul hu  अमान्य li ha ya
suy hu  खोना li ha ya
sap hu  सरल li ha ya
say hu  कहो li ha ya
sam hu  समान li ha ya
tim hu  टीम li ha ya
tik hu  पकड़ li ha ya
san hu  स्वयं li ha ya
sat hu  ध्वनि li ha ya
sup hu  वेतन li ha ya
tis hu  साँस-लेना li ha ya
sut hu  आकार li ha ya
tiw hu  दीवार li ha ya
tiy hu  दिन li ha ya
tip hu  शुरू li ha ya
tin hu  देख li ha ya
til hu  कम li ha ya
tam hu  टॉपिक li ha ya
naw hu  वर्तमान li ha ya
tak hu  जोड़ना li ha ya
tuk hu  पेय li ha ya
tay hu  रखना li ha ya
tal hu  टाई li ha ya
tap hu  स्पर्श li ha ya
tan hu  देना li ha ya
tuy hu  दोहराना li ha ya
tas hu  चुनना li ha ya
tup hu  गहराई li ha ya
tum hu  तापमान li ha ya
tuf hu  मुश्किल li ha ya
ton hu  टन li ha ya
fin hu  महिला li ha ya
fit hu  योग्य li ha ya
lif hu  बाएं li ha ya
tul hu  ओजार li ha ya
lik hu  आवेश li ha ya
fam hu  परिवार li ha ya
lin hu  लंबाई li ha ya
ciy hu  हरा li ha ya
cif hu  डिवाइड li ha ya
lis hu  लीव li ha ya
cis hu  जीवन li ha ya
lit hu  ग्लिफ़ li ha ya
cim hu  सुन-रहे li ha ya
cay hu  सही li ha ya
cin hu  संकेत li ha ya
myut hu  आयात-करना li ha ya
cum hu  आकार li ha ya
cak hu  चीज li ha ya
myil hu  मित्र li ha ya
myit hu  याद li ha ya
cal hu  चाल li ha ya
can hu  संभावना li ha ya
myun hu  रोजगार li ha ya
kyul hu  राज li ha ya
kyip hu  कपड़ोँ li ha ya
mwut hu  विरोध li ha ya
kyim hu  खेल li ha ya
myat hu  गणित li ha ya
myan hu  शीतल li ha ya
kwit hu  गंभीरता li ha ya
kyam hu  ले-जाना li ha ya
myul hu  नेतिक li ha ya
kyit hu  प्रत्येक li ha ya
myin hu  सपना li ha ya
kyus hu  मस्ती li ha ya
kyap hu  प्रतिलिपि li ha ya
kyil hu  गोला li ha ya
kwat hu  मज़बूत li ha ya
kyin hu  सामान्य li ha ya
ksat hu  सटीक li ha ya
ksiy hu  विशेषज्ञ li ha ya
kyup hu  गट li ha ya
ksit hu  बाहर-जाएं li ha ya
ksil hu  क्रिस्टल li ha ya
kyat hu  मुश्किल li ha ya
ksip hu  प्रवेश li ha ya
ksap hu  रस्सी li ha ya
ksam hu  अंधेरा li ha ya
ksin hu  प्रसंग li ha ya
ksal hu  आकाशगंगा li ha ya
ksan hu  का-आयोजन li ha ya
kliy hu  क्लियर li ha ya
ksum hu  संवाद li ha ya
klin hu  इलेक्ट्रॉन li ha ya
klim hu  विज्ञान li ha ya
kcat hu  आठ li ha ya
ksuf hu  वर्णन li ha ya
ktin hu  धर्म li ha ya
pyik hu  टूट li ha ya
ksut hu  इकट्ठा li ha ya
pyit hu  फोर li ha ya
klum hu  स्तंभ li ha ya
ksul hu  स्कूल li ha ya
klut hu  निकालना li ha ya
klun hu  भूख li ha ya
kfit hu  प्रभाव li ha ya
klac hu  सिवाय li ha ya
pyaw hu  कपल li ha ya
klas hu  कक्षा li ha ya
kcil hu  कौशल li ha ya
kfat hu  विशेषण li ha ya
klat hu  धारा li ha ya
kcut hu  गंदगी li ha ya
kcuf hu  काफी li ha ya
kcun hu  एकत्रित li ha ya
kcim hu  रासायनिक li ha ya
kwal hu  भाषा li ha ya
pyil hu  अपील li ha ya
kfin hu  कॉन्फ़िग li ha ya
pyin hu  अनुभव li ha ya
pyan hu  फैलाव li ha ya
pyif hu  क्रिया li ha ya
pyas hu  तेज li ha ya
pyam hu  कार्यक्रम li ha ya
klaw hu  हंसी li ha ya
pyat hu  शीघ्र li ha ya
pyum hu  सर्वनाम li ha ya
pyaf hu  प्रदर्शन li ha ya
pyut hu  प्रोटॉन li ha ya
pyun hu  पक्षी li ha ya
pyal hu  समानांतर li ha ya
pyac hu  आश्चर्य-है li ha ya
psil hu  जादू li ha ya
pyul hu  फोड़ा li ha ya
pyuf hu  प्रमाण li ha ya
pwas hu  जवाब li ha ya
pwil hu  परिवर्तनशील li ha ya
psin hu  स्पिन li ha ya
pwut hu  मंजूर li ha ya
psiy hu  दबाव li ha ya
psit hu  गति li ha ya
pyuc hu  परियोजना li ha ya
psan hu  अंतरिक्ष li ha ya
psaf hu  उत्तर li ha ya
psun hu  स्रोत li ha ya
psat hu  सतह li ha ya
psal hu  पाल li ha ya
nyip hu  आईना li ha ya
psut hu  वादा li ha ya
