hi li hu  인가 li ha ya
ha li hu  를 li ha ya
hu li hu  가 li ha ya
mi li hu  나는 li ha ya
ma li hu  무엇 li ha ya
mu li hu  남성의 li ha ya
ki li hu  과 li ha ya
ka li hu  으로 li ha ya
ku li hu  경우 li ha ya
yi li hu  이 li ha ya
yu li hu  당신 li ha ya
ya li hu  요 li ha ya
pi li hu  의 li ha ya
pa li hu  그-일 li ha ya
pu li hu  한 li ha ya
wi li hu  우리 li ha ya
wa li hu  또는 li ha ya
wu li hu  로 li ha ya
ni li hu  에 li ha ya
na li hu  숫자 li ha ya
si li hu  그들은 li ha ya
nu li hu  지금 li ha ya
ti li hu  그 li ha ya
su li hu  부터 li ha ya
ta li hu  게 li ha ya
tu li hu  그대 li ha ya
li li hu  리터럴 li ha ya
fa li hu  약 li ha ya
la li hu  이봐 li ha ya
lu li hu  복수의 li ha ya
fi li hu  여성의 li ha ya
ci li hu  응? li ha ya
fu li hu  의지 li ha ya
mya li hu  아마 li ha ya
ca li hu  중성 li ha ya
myi li hu  많은 li ha ya
kyi li hu  조건부의 li ha ya
mwa li hu  와 li ha ya
kya li hu  곁에 li ha ya
sa li hu  이전-그 li ha ya
kyu li hu  때문에 li ha ya
kwa li hu  그-있는 li ha ya
ksa li hu  인용을-끝-맺다 li ha ya
kli li hu  그를 li ha ya
kla li hu  하지만 li ha ya
klu li hu  절-꼬리 li ha ya
kfa li hu  형용사-접사 li ha ya
kca li hu  하아 li ha ya
pyi li hu  동사-접사 li ha ya
pya li hu  에 li ha ya
psu li hu  원본에서 li ha ya
psi li hu  전에 li ha ya
pwa li hu  또는-아 li ha ya
pli li hu  대한-예 li ha ya
pci li hu  또한 li ha ya
pca li hu  서 li ha ya
pcu li hu  또한 li ha ya
nyi li hu  아니 li ha ya
nya li hu  즉 li ha ya
nyu li hu  나 li ha ya
sya li hu  단수 li ha ya
syi li hu  대단히 li ha ya
syu li hu  그래서 li ha ya
swa li hu  그렇지-않으면 li ha ya
swi li hu  동안 li ha ya
sli li hu  다른-IF li ha ya
sla li hu  안녕하세요 li ha ya
tya li hu  후 li ha ya
tyi li hu  시세 li ha ya
twu li hu  이중의 li ha ya
tsa li hu  untill li ha ya
tsi li hu  예 li ha ya
tsu li hu  명사-접사 li ha ya
tla li hu  용 li ha ya
fyi li hu  그녀의 li ha ya
twa li hu  그때 li ha ya
tcu li hu  아웃 li ha ya
tli li hu  기사 li ha ya
fyu li hu  조금 li ha ya
cya li hu  그렇지-않으면 li ha ya
min hu  적게 li ha ya
miy hu  기억 li ha ya
mik hu  확인 li ha ya
mip hu  지난 li ha ya
mit hu  중간 li ha ya
mak hu  낱말 li ha ya
man hu  생각 li ha ya
mat hu  어머니 li ha ya
mun hu  남성 li ha ya
mas hu  질량 li ha ya
mut hu  도움 li ha ya
mac hu  기계 li ha ya
mul hu  완전한 li ha ya
kim hu  비교 li ha ya
kiy hu  가기 li ha ya
kip hu  유능한 li ha ya
kin hu  주요 li ha ya
kam hu  왔다 li ha ya
kis hu  높은 li ha ya
kit hu  끝 li ha ya
kap hu  머리 li ha ya
kan hu  알고 li ha ya
kas hu  경력 li ha ya
kaf hu  음극 li ha ya
kuy hu  성장 li ha ya
kat hu  도착 li ha ya
kal hu  모든 li ha ya
kum hu  무역 li ha ya
kus hu  음식 li ha ya
kuc hu  작은 li ha ya
yis hu  쓰기 li ha ya
kul hu  골 li ha ya
kup hu  사기 li ha ya
kun hu  빨간 li ha ya
yik hu  부정 li ha ya
yit hu  대기 li ha ya
yum hu  수족 li ha ya
yat hu  읽기 li ha ya
yun hu  덜다 li ha ya
yak hu  약 li ha ya
yuw hu  년 li ha ya
yac hu  폭 li ha ya
pis hu  곱 li ha ya
pit hu  화이트 li ha ya
pic hu  소변 li ha ya
yus hu  용도 li ha ya
pay hu  더 li ha ya
pam hu  팔 li ha ya
yul hu  전체의 li ha ya
pas hu  패스 li ha ya
paw hu  장소 li ha ya
pak hu  몸 li ha ya
pat hu  아버지 li ha ya
pus hu  똥 li ha ya
pat ha ya
puk hu  나쁜 li ha ya
win hu  승리 li ha ya
put hu  판매 li ha ya
pul hu  푸른 li ha ya
puc hu  빈 li ha ya
pan hu  모임 li ha ya
pac hu  즐거움 li ha ya
wan hu  러브 li ha ya
wut hu  빛 li ha ya
niy hu  필요가있다 li ha ya
puy hu  어린이 li ha ya
wat hu  이야기 li ha ya
nay hu  숨을-내쉬다 li ha ya
nim hu  이름 li ha ya
nat hu  밤 li ha ya
nut hu  양극 li ha ya
nic hu  에너지 li ha ya
nit hu  그물 li ha ya
nal hu  벌거-벗은 li ha ya
sip hu  한모금 li ha ya
nuy hu  새로운 li ha ya
sit hu  세트 li ha ya
fut hu  미래 li ha ya
sim hu  비슷한 li ha ya
san hu  자기 li ha ya
saw hu  검정 li ha ya
sik hu  신장 li ha ya
sil hu  쉽게 li ha ya
nul hu  널-(null) li ha ya
sak hu  동의합니다 li ha ya
suy hu  손실 li ha ya
sap hu  단순한 li ha ya
say hu  말 li ha ya
sam hu  같은 li ha ya
tim hu  팀 li ha ya
tik hu  보유 li ha ya
sat hu  소리 li ha ya
sup hu  지불 li ha ya
wap hu  꼬리 li ha ya
tis hu  흡입 li ha ya
sut hu  크기 li ha ya
tiy hu  하루 li ha ya
tiw hu  벽 li ha ya
tip hu  시작 li ha ya
tin hu  참조 li ha ya
til hu  낮은 li ha ya
tam hu  주제 li ha ya
wul hu  큰 li ha ya
tak hu  추가 li ha ya
tuk hu  한잔 li ha ya
tay hu  넣어 li ha ya
tap hu  터치 li ha ya
tal hu  넥타이 li ha ya
tan hu  주기 li ha ya
tas hu  선택 li ha ya
tuy hu  반복 li ha ya
tup hu  깊이 li ha ya
tum hu  온도 li ha ya
tuf hu  어려운 li ha ya
ton hu  톤 li ha ya
fin hu  여성 li ha ya
fit hu  에-맞게 li ha ya
tul hu  수단 li ha ya
lif hu  좌회전 li ha ya
lik hu  전기-요금 li ha ya
lin hu  길이 li ha ya
fam hu  가족 li ha ya
ciy hu  녹색 li ha ya
cif hu  분할 li ha ya
nam hu  번호 li ha ya
lis hu  살고있다 li ha ya
cis hu  생활 li ha ya
lit hu  글꼴 li ha ya
cin hu  기호 li ha ya
cay hu  권리 li ha ya
cim hu  듣다 li ha ya
myut hu  수입 li ha ya
cum hu  모양 li ha ya
myit hu  기억 li ha ya
myil hu  동맹국 li ha ya
cal hu  움직임 li ha ya
cak hu  일 li ha ya
myun hu  고용 li ha ya
naw hu  현재 li ha ya
can hu  기회 li ha ya
kyim hu  경기 li ha ya
mwut hu  저항 li ha ya
myat hu  수학 li ha ya
kyul hu  규칙 li ha ya
kyup hu  그룹 li ha ya
kyip hu  옷 li ha ya
myan hu  부드러운 li ha ya
kyam hu  수행 li ha ya
kyit hu  각각의 li ha ya
kwit hu  중량 li ha ya
kyus hu  재미 li ha ya
myul hu  도덕의 li ha ya
myin hu  꿈 li ha ya
kwat hu  강한 li ha ya
kyap hu  복사 li ha ya
kyil hu  원 li ha ya
ksiy hu  전문가 li ha ya
kyin hu  일반 li ha ya
ksit hu  출구 li ha ya
ksil hu  결정 li ha ya
ksat hu  정확한 li ha ya
kyat hu  단단한 li ha ya
ksap hu  로프 li ha ya
ksam hu  어두운 li ha ya
ksip hu  액세스 li ha ya
ksin hu  문맥 li ha ya
ksal hu  은하 li ha ya
kliy hu  명확한 li ha ya
ksum hu  통신 li ha ya
klac hu  외 li ha ya
klim hu  과학 li ha ya
kcat hu  여덟 li ha ya
ksuf hu  설명 li ha ya
ktin hu  종교 li ha ya
pyik hu  단절 li ha ya
ksan hu  조직 li ha ya
pyit hu  네 li ha ya
klum hu  기둥 li ha ya
klin hu  전자 li ha ya
klut hu  제외 li ha ya
klun hu  굶주림 li ha ya
kfit hu  효과 li ha ya
ksut hu  수집 li ha ya
pyaw hu  한-쌍 li ha ya
ksul hu  학교 li ha ya
kcil hu  숙련 li ha ya
kfat hu  형용사 li ha ya
klas hu  클래스 li ha ya
kcut hu  엉망 li ha ya
kcuf hu  충분히 li ha ya
kcun hu  공액 li ha ya
klat hu  절 li ha ya
pyil hu  호소 li ha ya
kcim hu  화학 li ha ya
kfin hu  설정 li ha ya
pyif hu  동사 li ha ya
pyan hu  전파 li ha ya
pyas hu  빠른 li ha ya
pyin hu  경험 li ha ya
pyam hu  프로그램 li ha ya
pyat hu  신속한 li ha ya
pyut hu  양성자 li ha ya
pyum hu  대명사 li ha ya
pyaf hu  수행 li ha ya
pyal hu  평행 li ha ya
pyun hu  새 li ha ya
psil hu  주문 li ha ya
pyac hu  경이 li ha ya
pyul hu  종기 li ha ya
pyuf hu  증명 li ha ya
pwas hu  답변 li ha ya
pwil hu  변수 li ha ya
pwut hu  승인 li ha ya
psin hu  회전 li ha ya
psiy hu  압박 li ha ya
psit hu  속도 li ha ya
pyuc hu  계획 li ha ya
psan hu  공간 li ha ya
psun hu  출처 li ha ya
psaf hu  대답 li ha ya
psat hu  표면 li ha ya
psal hu  돛 li ha ya
nyip hu  거울 li ha ya
psut hu  약속 li ha ya
nyat hu  입력 li ha ya
plum hu  문제 li ha ya
plam hu  혈장 li ha ya
plin hu  평면 li ha ya
pluy hu  인기있는 li ha ya
nyul hu  롤 li ha ya
pfic hu  선호 li ha ya
plun hu  아마 li ha ya
plut hu  먼지 li ha ya
syim hu  일곱 li ha ya
pfal hu  실패 li ha ya
pcum hu  기대 li ha ya
syip hu  깨끗한 li ha ya
pcit hu  감사 li ha ya
pcil hu  특별한 li ha ya
plan hu  계획 li ha ya
plat hu  행성 li ha ya
syan hu  시안 li ha ya
pfus hu  버스 li ha ya
syak hu  깨어 li ha ya
swit hu  스위치 li ha ya
play hu  놀이 li ha ya
syiw hu  서브 li ha ya
nlic hu  영어 li ha ya
syic hu  연구 li ha ya
syam hu  유지 li ha ya
nyit hu  단위 li ha ya
nyus hu  이온화하다 li ha ya
slin hu  하나의 li ha ya
nyut hu  중성자 li ha ya
nyis hu  참고 li ha ya
syat hu  고체 li ha ya
tyik hu  부식 li ha ya
syut hu  지원 li ha ya
syun hu  우주 li ha ya
swun hu  수면 li ha ya
swat hu  물 li ha ya
swuy hu  문제 li ha ya
swil hu  영혼 li ha ya
syit hu  보내 li ha ya
slac hu  그릇된 li ha ya
klaw hu  웃음 li ha ya
slat hu  측면 li ha ya
slof hu  어휘 li ha ya
slam hu  승화하다 li ha ya
tkun hu  중국어 li ha ya
tyip hu  다시 li ha ya
tyap hu  시험 li ha ya
tyaw hu  생각 li ha ya
tyim hu  떨다 li ha ya
tyas hu  던져 li ha ya
tyic hu  방향 li ha ya
twis hu  참된 li ha ya
tyus hu  경우 li ha ya
tyif hu  번역 li ha ya
tsuk hu  가게 li ha ya
tyis hu  변화 li ha ya
tsiy hu  이야기 li ha ya
tsip hu  단계 li ha ya
tyuk hu  대상 li ha ya
tyuc hu  가르쳐 li ha ya
tyuf hu  다른 li ha ya
tyil hu  감기 li ha ya
twal hu  환영 li ha ya
twuf hu  두 li ha ya
tyam hu  원자 li ha ya
tyak hu  외침 li ha ya
tyin hu  세 li ha ya
tsil hu  자격 li ha ya
tyan hu  현 li ha ya
tyup hu  로봇 li ha ya
tsiw hu  위성 li ha ya
tsim hu  함께 li ha ya
tsic hu  시도 li ha ya
tsin hu  명령 li ha ya
tsuy hu  앉아 li ha ya
tsak hu  공격 li ha ya
tsam hu  목적 li ha ya
tsan hu  학생 li ha ya
tsay hu  스타 li ha ya
tsal hu  상태 li ha ya
tsac hu  증가 li ha ya
tsum hu  연구 li ha ya
tlas hu  요리 li ha ya
tsap hu  재산 li ha ya
tsaf hu  미각 li ha ya
tsun hu  명사 li ha ya
tsul hu  성인 li ha ya
tlak hu  구형 li ha ya
tlay hu  겹 li ha ya
tlis hu  욕구 li ha ya
tcap hu  투명한 li ha ya
tlum hu  늙은 li ha ya
tlik hu  전기 li ha ya
tlan hu  전통 li ha ya
tlun hu  트리플-포인트 li ha ya
tfim hu  일시적인 li ha ya
tfan hu  이전 li ha ya
tfas hu  재앙 li ha ya
fwap hu  다섯 li ha ya
tfun hu  신탁 li ha ya
tfin hu  개인 li ha ya
tfak hu  더러운 li ha ya
tcan hu  나무 li ha ya
tciy hu  변화 li ha ya
flan hu  홍수 li ha ya
flat hu  플랫 li ha ya
tcik hu  점검 li ha ya
tcil hu  교도소 li ha ya
tcuk hu  비결 li ha ya
tfus hu  손해 li ha ya
tcum hu  가입 li ha ya
fyis hu  offical-한 li ha ya
tcin hu  체인 li ha ya
fyut hu  과일 li ha ya
tcuy hu  외부 li ha ya
tcun hu  힘 li ha ya
tfal hu  파일 li ha ya
fwil hu  힘 li ha ya
flay hu  파리 li ha ya
fwas hu  상 li ha ya
mink hu  마음 li ha ya
fyas hu  구 li ha ya
fluc hu  흐름 li ha ya
flun hu  하십시오 li ha ya
cyin hu  배우 li ha ya
cyan hu  포함 li ha ya
cwuy hu  주의 li ha ya
flit hu  플루트 li ha ya
clan hu  출발지 li ha ya
clin hu  관계 li ha ya
mayn hu  조화 li ha ya
clum hu  문장 li ha ya
mant hu  마젠타 li ha ya
flut hu  꽃 li ha ya
miyn hu  미성년자 li ha ya
miyt hu  인식 li ha ya
clut hu  초-임계-유체 li ha ya
slim hu  모범 li ha ya
mist hu  측정 li ha ya
milt hu  용해 li ha ya
musk hu  음악 li ha ya
mayc hu  영상 li ha ya
mank hu  뇌 li ha ya
mayp hu  지도 li ha ya
mayt hu  허수-단위 li ha ya
mans hu  사람의 li ha ya
malp hu  보수 li ha ya
mast hu  문제 li ha ya
kiyn hu  하나 li ha ya
kint hu  개-심자 li ha ya
miyk hu  보내 li ha ya
muyn hu  바보 li ha ya
muyp hu  개선 li ha ya
muyk hu  주요한 li ha ya
mint hu  방법 li ha ya
must hu  가장 li ha ya
munk hu  가능한 li ha ya
munt hu  기분 li ha ya
muyt hu  동맹국 li ha ya
muft hu  주사위 li ha ya
malt hu  자료 li ha ya
mack hu  상상 li ha ya
kiyp hu  종이 li ha ya
kant hu  상수 li ha ya
kasp hu  잡기 li ha ya
kist hu  교체 li ha ya
kast hu  생성 li ha ya
mult hu  모듈 li ha ya
kift hu  용서 li ha ya
kisp hu  대표자 li ha ya
kays hu  문법의-경우 li ha ya
kayn hu  흐름의-현재 li ha ya
kaws hu  가스 li ha ya
kanp hu  연결 li ha ya
tkic hu  번역,-사전 li ha ya
kimt hu  걸림-새 li ha ya
kump hu  복잡한 li ha ya
kumt hu  명령 li ha ya
yinp hu  반환 li ha ya
yilk hu  황색 li ha ya
kunp hu  종료 li ha ya
kuym hu  공통의 li ha ya
tlin hu  순서를-나타내는 li ha ya
yawt hu  해 li ha ya
kuyt hu  중요한-점 li ha ya
kuls hu  잔인한 li ha ya
kuct hu  범죄 li ha ya
kusp hu  붕괴 li ha ya
kust hu  상수 li ha ya
kunt hu  제어 li ha ya
yist hu  수출 li ha ya
yisk hu  풍부한 li ha ya
yimt hu  리듬 li ha ya
yink hu  링 li ha ya
kuwt hu  코드 li ha ya
yamt hu  감탄 li ha ya
yasp hu  작업 li ha ya
yift hu  가치 li ha ya
miwk hu  사람들 li ha ya
yilt hu  오일러-번호 li ha ya
yalt hu  일찍 li ha ya
yask hu  반응 li ha ya
yusk hu  동쪽 li ha ya
yaft hu  열 li ha ya
yumt hu  자비 li ha ya
yuyp hu  유럽 li ha ya
yuns hu  천왕성 li ha ya
yunt hu  컨테이너 li ha ya
yast hu  무료로 li ha ya
yust hu  휴식 li ha ya
kult hu  문화 li ha ya
muys hu  감정 li ha ya
piyn hu  ...라는-의견을-내-세우다 li ha ya
pist hu  허가 li ha ya
piyt hu  따라 li ha ya
pint hu  운영 li ha ya
yalk hu  차량 li ha ya
piys hu  파이 li ha ya
pamt hu  퍼머넌트 li ha ya
yulp hu  역할 li ha ya
pays hu  베이스 li ha ya
yult hu  유틸리티 li ha ya
pans hu  스페인어 li ha ya
puyk hu  문법-객체 li ha ya
puyt hu  깨물다 li ha ya
past hu  생산 li ha ya
