hi li hu  ser li ha ya
ha li hu  ob li ha ya
hu li hu  su li ha ya
mi li hu  me li ha ya
ma li hu  o-quê li ha ya
mu li hu  masculino li ha ya
ki li hu  e li ha ya
ka li hu  como li ha ya
ku li hu  se li ha ya
yi li hu  este li ha ya
yu li hu  você li ha ya
ya li hu  ya li ha ya
pi li hu  de li ha ya
pa li hu  que-coisa- li ha ya
pu li hu  feito li ha ya
wi li hu  nós li ha ya
wa li hu  ou li ha ya
wu li hu  por li ha ya
ni li hu  em li ha ya
na li hu  numeral li ha ya
si li hu  eles li ha ya
nu li hu  agora li ha ya
ti li hu  tha li ha ya
su li hu  a-partir-de li ha ya
ta li hu  para li ha ya
tu li hu  ti li ha ya
li li hu  literal li ha ya
fa li hu  sobre-o-que li ha ya
la li hu  Ei li ha ya
lu li hu  plural li ha ya
fi li hu  feminino li ha ya
ci li hu  Hein? li ha ya
sa li hu  o li ha ya
fu li hu  vontade li ha ya
ca li hu  neutral li ha ya
myi li hu  muitos li ha ya
mya li hu  pode-se li ha ya
mwa li hu  com li ha ya
kyi li hu  condicionalmente li ha ya
kya li hu  de-lado li ha ya
kyu li hu  por-que li ha ya
kwa li hu  dizer-o-que li ha ya
ksa li hu  fin-de-la-nomeação li ha ya
kli li hu  ele li ha ya
kla li hu  mas li ha ya
klu li hu  cláusula-de-la-cola li ha ya
kfa li hu  adjetivo-afixo li ha ya
kca li hu  ha li ha ya
pyi li hu  verbo-afixo li ha ya
pya li hu  em li ha ya
psu li hu  de-fonte li ha ya
psi li hu  antes li ha ya
pwa li hu  yaor li ha ya
pli li hu  por-exemplo li ha ya
pci li hu  também li ha ya
pca li hu  alegre li ha ya
pcu li hu  também li ha ya
nyi li hu  não li ha ya
nya li hu  saber li ha ya
nyu li hu  um li ha ya
sya li hu  singular li ha ya
syi li hu  muito li ha ya
syu li hu  ou-seja li ha ya
swa li hu  caso-contrário li ha ya
swi li hu  enquanto li ha ya
sli li hu  else-if li ha ya
sla li hu  Olá li ha ya
tya li hu  depois li ha ya
tyi li hu  nomeação li ha ya
twu li hu  dual li ha ya
tsa li hu  até-o li ha ya
tsi li hu  sim li ha ya
tsu li hu  substantivo-afixo- li ha ya
tla li hu  para li ha ya
fyi li hu  sua li ha ya
twa li hu  em-seguida li ha ya
tcu li hu  fora li ha ya
tli li hu  ord li ha ya
fyu li hu  poucos li ha ya
cya li hu  Mais li ha ya
min hu  a-menos li ha ya
miy hu  memória li ha ya
mik hu  fazer li ha ya
mip hu  passado li ha ya
mit hu  meios li ha ya
mak hu  palavra li ha ya
man hu  pensar li ha ya
mat hu  mãe li ha ya
mun hu  masculino li ha ya
mas hu  massa li ha ya
mut hu  Socorro li ha ya
mac hu  máquina li ha ya
mul hu  completo li ha ya
kim hu  comparar li ha ya
kiy hu  ir li ha ya
kip hu  capaz li ha ya
kam hu  vir li ha ya
kin hu  principal li ha ya
kis hu  alto li ha ya
kit hu  fim li ha ya
kap hu  cabeça li ha ya
kan hu  saber li ha ya
kaf hu  cátodo li ha ya
kas hu  causa li ha ya
kuy hu  crescer li ha ya
kat hu  para-obter li ha ya
kal hu  tudo li ha ya
kus hu  comida li ha ya
kuc hu  pequeno li ha ya
kum hu  comércio li ha ya
yis hu  escrever li ha ya
kul hu  objetivo li ha ya
kup hu  comprar li ha ya
kun hu  vermelho li ha ya
yum hu  membro li ha ya
yit hu  esperar li ha ya
yat hu  ler li ha ya
yun hu  subtrair li ha ya
yak hu  poucos li ha ya
yac hu  largura li ha ya
yuw hu  ano li ha ya
pis hu  multiplicar li ha ya
pit hu  branco li ha ya
pic hu  mijo li ha ya
yus hu  uso li ha ya
yik hu  negar li ha ya
pay hu  a-mais li ha ya
pam hu  braço li ha ya
yul hu  all-round li ha ya
pas hu  mudança li ha ya
paw hu  lugar li ha ya
pak hu  corpo li ha ya
pus hu  poo li ha ya
pat hu  pai li ha ya
win hu  vitória li ha ya
puk hu  ruim li ha ya
pan hu  conheça li ha ya
pac hu  alegria li ha ya
puy hu  criança li ha ya
puc hu  vácuo li ha ya
put hu  vender li ha ya
pul hu  azul li ha ya
fut hu  futuro li ha ya
wan hu  amar li ha ya
wut hu  luz li ha ya
niy hu  precisar li ha ya
wap hu  cauda li ha ya
nay hu  exalar li ha ya
wat hu  falar li ha ya
nat hu  noite li ha ya
nut hu  anódio li ha ya
nim hu  nome li ha ya
nit hu  líquido li ha ya
nal hu  nu li ha ya
sip hu  sorvo li ha ya
sit hu  conjunto li ha ya
nuy hu  novo li ha ya
nic hu  energia li ha ya
wul hu  grande li ha ya
sim hu  similar li ha ya
saw hu  preto li ha ya
nam hu  número li ha ya
sil hu  fácil li ha ya
sik hu  altura li ha ya
sak hu  concordar li ha ya
suy hu  desperdiçar li ha ya
nul hu  nulo li ha ya
sap hu  simples li ha ya
say hu  dizer li ha ya
tim hu  equipamento li ha ya
tik hu  manter li ha ya
sam hu  mesmo li ha ya
san hu  EU li ha ya
sat hu  sonar li ha ya
tis hu  inalar li ha ya
sup hu  pagar li ha ya
sut hu  tamanho li ha ya
tiw hu  parede li ha ya
tiy hu  dia li ha ya
naw hu  presente li ha ya
tip hu  início li ha ya
til hu  baixo li ha ya
tin hu  ver li ha ya
tam hu  tópico li ha ya
tuk hu  bebida li ha ya
tak hu  adicionar-à li ha ya
tay hu  vestir li ha ya
tal hu  desenhar li ha ya
tan hu  dar li ha ya
tas hu  escolher li ha ya
tuy hu  repita li ha ya
tup hu  profundidade li ha ya
tum hu  temperatura li ha ya
tuf hu  difícil li ha ya
fin hu  feminino li ha ya
ton hu  tonelada li ha ya
fit hu  caber li ha ya
tap hu  tocar li ha ya
lif hu  esquerda li ha ya
tul hu  ferramenta li ha ya
lik hu  poder-de-encargos li ha ya
fam hu  família li ha ya
ciy hu  verde li ha ya
cif hu  dividir li ha ya
lin hu  comprimento li ha ya
lis hu  viver li ha ya
cis hu  vida li ha ya
myut hu  importação li ha ya
lit hu  glifo li ha ya
cay hu  direito li ha ya
cin hu  sinal li ha ya
cim hu  ouvir li ha ya
cum hu  forma li ha ya
myit hu  lembrar li ha ya
myil hu  aliado li ha ya
cak hu  coisa li ha ya
can hu  oportunidade li ha ya
myun hu  uso li ha ya
cal hu  movimento li ha ya
myat hu  matemática li ha ya
kyim hu  jogo li ha ya
mwut hu  resistir li ha ya
myan hu  macio li ha ya
myul hu  moral li ha ya
kyip hu  roupas li ha ya
kwit hu  gravidade li ha ya
kyam hu  transportar li ha ya
kyit hu  cada li ha ya
myin hu  sonhar li ha ya
kyus hu  engraçado li ha ya
kyil hu  círculo li ha ya
kyin hu  geral li ha ya
kyap hu  cópia li ha ya
kwat hu  forte li ha ya
kyup hu  grupo li ha ya
ksat hu  exato li ha ya
ksiy hu  especialista li ha ya
kyat hu  duro li ha ya
ksit hu  Saída li ha ya
ksil hu  vidro li ha ya
kyul hu  regra li ha ya
kwal hu  língua li ha ya
ksap hu  corda li ha ya
ksip hu  acesso li ha ya
ksam hu  escuro li ha ya
ksin hu  contexto li ha ya
ksal hu  galáxia li ha ya
ksan hu  organizar li ha ya
ksum hu  comunicar li ha ya
klin hu  elétron li ha ya
klim hu  ciência li ha ya
kliy hu  claro li ha ya
ksuf hu  descrever li ha ya
ktin hu  religião li ha ya
kcat hu  oito li ha ya
pyik hu  pausa li ha ya
ksut hu  pegar li ha ya
klum hu  coluna li ha ya
pyit hu  quatro li ha ya
klut hu  excluir li ha ya
klun hu  fome li ha ya
kfit hu  efeito li ha ya
ksul hu  escola li ha ya
klaw hu  riso li ha ya
pyaw hu  casal li ha ya
kcil hu  capacidade li ha ya
kfat hu  adjetivo li ha ya
klas hu  classe li ha ya
kcut hu  confusão li ha ya
kcuf hu  suficiente li ha ya
kcun hu  conjugado li ha ya
klat hu  cláusula li ha ya
kcim hu  químico li ha ya
klac hu  exceto li ha ya
kfin hu  configuração li ha ya
pyil hu  apelação li ha ya
pyan hu  propagação li ha ya
pyif hu  verbo li ha ya
pyas hu  rápido li ha ya
pyin hu  experiência li ha ya
pyam hu  programa li ha ya
pyat hu  rápido li ha ya
pyum hu  pronome li ha ya
pyaf hu  realizar li ha ya
pyun hu  pássaro li ha ya
pyal hu  paralelo li ha ya
pyac hu  maravilha li ha ya
psil hu  decifrar li ha ya
pyut hu  próton li ha ya
pyul hu  fervura li ha ya
pwas hu  responder li ha ya
pwil hu  variável li ha ya
pwut hu  aprovar li ha ya
