hi li hu  ser li ha ya
ha li hu  ob li ha ya
hu li hu  su li ha ya
mi li hu  mí li ha ya
ma li hu  qué li ha ya
mu li hu  masculino li ha ya
ki li hu  y li ha ya
ka li hu  como li ha ya
ku li hu  si li ha ya
yi li hu  este li ha ya
yu li hu  ustedes li ha ya
ya li hu  yah li ha ya
pi li hu  de li ha ya
pa li hu  que-cosa li ha ya
pu li hu  hizo li ha ya
wi li hu  nosotros li ha ya
wa li hu  o li ha ya
wu li hu  por li ha ya
ni li hu  en li ha ya
na li hu  numeral li ha ya
si li hu  ellos li ha ya
nu li hu  ahora ha ya
ti li hu  ello ha ya
su li hu  desde li ha ya
ta li hu  a li ha ya
tu li hu  tí li ha ya
li li hu  literal li ha ya
fa li hu  acerca-de li ha ya
la li hu  ¡eh li ha ya
lu li hu  plural li ha ya
fi li hu  femenino li ha ya
ci li hu  ¿eh? li ha ya
fu li hu  será li ha ya
mya li hu  puede-ser li ha ya
ca li hu  neutro li ha ya
cu li hu  y-/-o li ha ya
myi li hu  muchos li ha ya
kyi li hu  condicionalmente ha ya
mwa li hu  con li ha ya
kya li hu  aparte li ha ya
sa li hu  lo li ha ya
kyu li hu  porque li ha ya
kwa li hu  que li ha ya
ksi li hu  extremo li ha ya
ksa li hu  fin-de-la-cita li ha ya
ksu li hu  de li ha ya
kli li hu  él li ha ya
kla li hu  pero li ha ya
klu li hu  cláusula-de-la-cola li ha ya
kfa li hu  adjetivo-afijo li ha ya
kca li hu  ja li ha ya
pyi li hu  verbo-afijo li ha ya
pya li hu  sobre li ha ya
psu li hu  de-fuente li ha ya
psi li hu  antes li ha ya
psa li hu  ex li ha ya
pwa li hu  sío li ha ya
pli li hu  por-ejemplo li ha ya
pfi li hu  binary-valor li ha ya
pci li hu  también li ha ya
pca li hu  alegre li ha ya
pcu li hu  también li ha ya
nyi li hu  no li ha ya
nya li hu  a-saber li ha ya
nyu li hu  una li ha ya
sya li hu  singular li ha ya
syi li hu  muy li ha ya
syu li hu  asi li ha ya
swa li hu  de-otra-manera li ha ya
swu li hu  asi-que li ha ya
swi li hu  mientras li ha ya
sli li hu  else-if li ha ya
sla li hu  hola li ha ya
tya li hu  después li ha ya
tyu li ha ya
tyi li hu  cita li ha ya
twu li hu  dual li ha ya
tsa li hu  hasta-el li ha ya
tsi li hu  sí li ha ya
tsu li hu  sustantivo-afijo li ha ya
tla li hu  para li ha ya
fyi li hu  ella li ha ya
tfa li hu  a li ha ya
tci li hu  Aquí li ha ya
twa li hu  entonces li ha ya
tcu li hu  fuera li ha ya
fwa li hu  para li ha ya
cyi li hu  su li ha ya
tli li hu  ord ha ya
cwa li hu  adios li ha ya
fyu li hu  pocos li ha ya
cya li hu  más li ha ya
min hu  menos li ha ya
miy hu  memoria li ha ya
mik hu  hacer li ha ya
mic hu  máquina li ha ya
mip hu  pasado ha ya
mit hu  medio li ha ya
mak hu  palabra ha ya
man hu  pensar li ha ya
mat hu  madre li ha ya
mun hu  macho li ha ya
mus hu  masculino li ha ya
mas hu  masa li ha ya
mut hu  Ayuda li ha ya
mac hu  máquina li ha ya
mul hu  completo li ha ya
kim hu  comparar ha ya
kiy hu  ir ha ya
kip hu  capaz li ha ya
kic hu  cada li ha ya
kam hu  que-venga li ha ya
kin hu  principal li ha ya
kis hu  alto li ha ya
kit hu  fin li ha ya
kap hu  cabeza ha ya
kan hu  saber li ha ya
kaf hu  cátodo li ha ya
kas hu  causa li ha ya
kuy hu  crecer li ha ya
kat hu  llegar li ha ya
kal hu  todos li ha ya
kus hu  comida li ha ya
kuc hu  pequeño li ha ya
kum hu  comercio li ha ya
yis hu  a-escribir li ha ya
kul hu  meta li ha ya
kup hu  comprar li ha ya
kun hu  rojo li ha ya
yum hu  miembro li ha ya
yit hu  esperar li ha ya
yat hu  leer li ha ya
yup hu  arriba li ha ya
yun hu  sustraer li ha ya
yak hu  algunos li ha ya
yac hu  ancho li ha ya
yuw hu  año li ha ya
yuc hu  bien li ha ya
pis hu  multiplicar li ha ya
pit hu  blanco li ha ya
pic hu  mear li ha ya
yus hu  uso li ha ya
yik hu  negar ha ya
pay hu  más li ha ya
pam hu  brazo li ha ya
yul hu  todo li ha ya
pas hu  pasar li ha ya
paw hu  lugar li ha ya
pak hu  cuerpo ha ya
pum hu  camino li ha ya
pus hu  poo li ha ya
pat hu  padre li ha ya
win hu  victoria li ha ya
puk hu  malo li ha ya
pan hu  conocer ha ya
pac hu  alegría li ha ya
wik hu  semana li ha ya
puy hu  niño ha ya
wit hu  nivel li ha ya
puc hu  vacío li ha ya
put hu  vender li ha ya
pul hu  azul li ha ya
fut hu  futuro ha ya
nik hu  aún li ha ya
wan hu  amar li ha ya
nip hu  sin li ha ya
wut hu  luz li ha ya
niy hu  necesitar li ha ya
wap hu  cola ha ya
nay hu  exhalar li ha ya
wat hu  hablar li ha ya
nas hu  hermano li ha ya
nat hu  noche li ha ya
nut hu  ánodo li ha ya
nim hu  nombre li ha ya
nit hu  neto li ha ya
nal hu  desnudo li ha ya
sip hu  sorbo li ha ya
sit hu  el-conjunto li ha ya
nuy hu  nuevo li ha ya
nic hu  energía li ha ya
wul hu  grande ha  payhmap hi ya
sim hu  similar li ha ya
saw hu  negro li ha ya
nam hu  número ha ya
sil hu  fácil li ha ya
sik hu  altura li ha ya
sak hu  acordar li ha ya
suy hu  perder li ha ya
saf hu  espacio li ha ya
suk hu  chupar li ha ya
nul hu  nulo li ha ya
sap hu  simple li ha ya
sun hu  propio li ha ya
say hu  decir li ha ya
tim hu  equipo li ha ya
tik hu  mantener li ha ya
sam hu  mismo li ha ya
san hu  yo li ha ya
sat hu  sonar li ha ya
tis hu  inhalar li ha ya
sup hu  pagar li ha ya
sut hu  tamaño li ha ya
tiw hu  pared li ha ya
tiy hu  día li ha ya
naw hu  presente ha ya
tip hu  comenzar li ha ya
taw hu  vía li ha ya
til hu  bajo li ha ya
tin hu  ver li ha ya
tam hu  tema li ha ya
tac hu  abajo li ha ya
tuk hu  bebida li ha ya
tak hu  añadir li ha ya
tay hu  poner li ha ya
tal hu  empate li ha ya
tun hu  abajo li ha ya
tus hu  resultado li ha ya
tan hu  dar li ha ya
tas hu  elegir li ha ya
tuc hu  juguete li ha ya
tuy hu  repetición li ha ya
tup hu  profundidad li ha ya
tum hu  temperatura li ha ya
tuf hu  difícil li ha ya
fin hu  hembra li ha ya
lat hu  fin li ha ya
lac hu  amor li ha ya
ton hu  tonelada li ha ya
fit hu  en-forma li ha ya
tap hu  tocar li ha ya
fas hu  suceder li ha ya
fuy hu  arriba li ha ya
lif hu  izquierda li ha ya
tul hu  herramienta li ha ya
cik hu  movimiento li ha ya
lik hu  eléctrica-de-carga li ha ya
fam hu  familia li ha ya
ciy hu  verde li ha ya
cit hu  debe li ha ya
cif hu  divisoria li ha ya
cam hu  casa li ha ya
lin hu  longitud li ha ya
lis hu  vivir li ha ya
cis hu  vida li ha ya
cat hu  golpear li ha ya
myut hu  importación li ha ya
cus hu  espectáculo li ha ya
lit hu  glifo li ha ya
cay hu  derecho li ha ya
cin hu  signo li ha ya
cim hu  escuchar li ha ya
cum hu  forma li ha ya
myal hu  valor li ha ya
myac hu  empresa li ha ya
myit hu  se-acuerdan li ha ya
myil hu  aliado li ha ya
cak hu  cosa li ha ya
myuf hu  oponerse-a li ha ya
mwis hu  promedio li ha ya
mwit hu  miembro li ha ya
mwas hu  mojado li ha ya
mwat hu  sustancia li ha ya
can hu  oportunidad li ha ya
myun hu  emplear li ha ya
cal hu  movimiento li ha ya
myat hu  matemáticas li ha ya
kyis hu  de li ha ya
kyim hu  juego li ha ya
mwut hu  resistir li ha ya
kyic hu  corporación li ha ya
myan hu  suave li ha ya
kyas hu  cerrar li ha ya
myul hu  moral li ha ya
kyac hu  emergencia li ha ya
kyip hu  ropa li ha ya
kwit hu  gravedad li ha ya
kyam hu  llevar li ha ya
kyuc hu  excusa li ha ya
kyit hu  cada li ha ya
kwic hu  pueblo li ha ya
myin hu  soñar li ha ya
kwul hu  llamada li ha ya
ksim hu  esperar li ha ya
kyus hu  divertido li ha ya
kyil hu  círculo li ha ya
kyin hu  general li ha ya
kyap hu  copia li ha ya
kwat hu  fuerte li ha ya
ksic hu  competir li ha ya
kyup hu  grupo li ha ya
ksay hu  contar li ha ya
ksat hu  exacto li ha ya
ksiy hu  experto li ha ya
kyat hu  duro li ha ya
ksit hu  Salida li ha ya
