hi li hu  -e li ha ya
ha li hu  -yu li ha ya
hu li hu  su li ha ya
mi li hu  beni li ha ya
ma li hu  ne li ha ya
mu li hu  eril li ha ya
ki li hu  ve li ha ya
ka li hu  olarak li ha ya
ku li hu  eğer li ha ya
yi li hu  bu li ha ya
yu li hu  sen li ha ya
ya li hu  ya li ha ya
pi li hu  -nin li ha ya
pa li hu  Bu-şey li ha ya
pu li hu  yaptım li ha ya
wi li hu  biz li ha ya
wa li hu  veya li ha ya
wu li hu  tarafından li ha ya
ni li hu  -de li ha ya
na li hu  rakam li ha ya
si li hu  onlar li ha ya
nu li hu  şimdi li ha ya
ti li hu  Tha li ha ya
su li hu  itibaren li ha ya
ta li hu  -ya li ha ya
tu li hu  sana li ha ya
li li hu  basim li ha ya
fa li hu  hakkında li ha ya
la li hu  hey li ha ya
lu li hu  çoğul li ha ya
fi li hu  kadınsı li ha ya
ci li hu  ha? li ha ya
fu li hu  irade li ha ya
mya li hu  olabilir li ha ya
ca li hu  kısırlaştırmak li ha ya
myi li hu  çok li ha ya
kyi li hu  şartlı-olarak li ha ya
mwa li hu  ile li ha ya
kya li hu  bir-kenara li ha ya
sa li hu  bud li ha ya
kyu li hu  çünkü li ha ya
kwa li hu  Bu-ki li ha ya
ksa li hu  tırnak-işareti-koymak li ha ya
kli li hu  onu li ha ya
kla li hu  ama li ha ya
klu li hu  fıkra-kuyruk li ha ya
kfa li hu  sıfat-ek li ha ya
kca li hu  ha li ha ya
pyi li hu  fiil-ek li ha ya
pya li hu  üzerinde li ha ya
psu li hu  dan-kaynak li ha ya
psi li hu  önce li ha ya
pwa li hu  yaor li ha ya
pli li hu  örneğin li ha ya
pci li hu  ayrıca li ha ya
pca li hu  neşeli li ha ya
pcu li hu  ayrıca li ha ya
nyi li hu  değil li ha ya
nya li hu  yani li ha ya
nyu li hu  bir li ha ya
sya li hu  tekil li ha ya
syi li hu  çok li ha ya
syu li hu  demek-ki li ha ya
swa li hu  aksi-halde li ha ya
swi li hu  iken li ha ya
sli li hu  else-if li ha ya
sla li hu  merhaba li ha ya
tya li hu  sonra li ha ya
tyi li hu  Gönder li ha ya
twu li hu  çift li ha ya
tsa li hu  e-kadar li ha ya
tsi li hu  evet li ha ya
tsu li hu  isim-ek li ha ya
tla li hu  için li ha ya
fyi li hu  onu li ha ya
twa li hu  sonra li ha ya
tcu li hu  dışarı li ha ya
tli li hu  ord li ha ya
fyu li hu  az li ha ya
cya li hu  başka li ha ya
min hu  daha-az li ha ya
miy hu  bellek li ha ya
mik hu  yapmak li ha ya
mip hu  geçmiş li ha ya
mit hu  orta li ha ya
mak hu  kelime li ha ya
man hu  düşünmek li ha ya
mat hu  valide li ha ya
mun hu  erkek li ha ya
mas hu  kitle li ha ya
mut hu  yardım li ha ya
mac hu  makine li ha ya
mul hu  tam li ha ya
kim hu  karşılaştırmak li ha ya
kiy hu  gitmek li ha ya
