hi li hu  бути li ha ya
ha li hu  о li ha ya
hu li hu  а li ha ya
mi li hu  мені li ha ya
ma li hu  що li ha ya
mu li hu  чоловічий li ha ya
ki li hu  і li ha ya
ka li hu  як li ha ya
ku li hu  якщо li ha ya
yi li hu  оцей li ha ya
yu li hu  ви li ha ya
ya li hu  я li ha ya
pi li hu  щодо li ha ya
pa li hu  що-що li ha ya
pu li hu  зробив li ha ya
wi li hu  ми li ha ya
wa li hu  або li ha ya
wu li hu  по li ha ya
ni li hu  в li ha ya
na li hu  цифра li ha ya
si li hu  вони li ha ya
nu li hu  зараз li ha ya
ti li hu  то li ha ya
su li hu  від li ha ya
ta li hu  до li ha ya
tu li hu  тебе li ha ya
li li hu  буквальний li ha ya
fa li hu  об li ha ya
la li hu  агов li ha ya
lu li hu  множина li ha ya
fi li hu  жіночий li ha ya
ci li hu  а? li ha ya
fu li hu  воля li ha ya
mya li hu  може-бути li ha ya
ca li hu  середній li ha ya
myi li hu  багато li ha ya
kyi li hu  умовно li ha ya
mwa li hu  з li ha ya
kya li hu  в-бік li ha ya
sa li hu  пов li ha ya
kyu li hu  тому-що li ha ya
kwa li hu  то-що li ha ya
ksa li hu  закривати-лапки li ha ya
kli li hu  його li ha ya
kla li hu  але li ha ya
klu li hu  Пропозиція-хвіст li ha ya
kfa li hu  прикметник-афікс li ha ya
kca li hu  ха li ha ya
pyi li hu  дієслово-афікс li ha ya
pya li hu  на li ha ya
psu li hu  від-джерела li ha ya
psi li hu  перш,--ніж li ha ya
pwa li hu  дили li ha ya
pli li hu  наприклад li ha ya
pci li hu  також li ha ya
pca li hu  веселий li ha ya
pcu li hu  також li ha ya
nyi li hu  НЕ li ha ya
nya li hu  а-саме li ha ya
nyu li hu  ин li ha ya
sya li hu  однина li ha ya
syi li hu  дуже li ha ya
syu li hu  так li ha ya
swa li hu  в-іншому-випадку li ha ya
swi li hu  в-те-час-як li ha ya
sli li hu  ще-якщо li ha ya
sla li hu  здрастуйте li ha ya
tya li hu  після li ha ya
tyi li hu  цитата li ha ya
twu li hu  подвійний li ha ya
tsa li hu  доти-поки li ha ya
tsi li hu  да li ha ya
tsu li hu  іменник-афікс li ha ya
tla li hu  для li ha ya
fyi li hu  її li ha ya
twa li hu  потім li ha ya
tcu li hu  з li ha ya
tli li hu  ога li ha ya
fyu li hu  кілька li ha ya
cya li hu  ще li ha ya
min hu  менше li ha ya
miy hu  пам'ять li ha ya
mik hu  зробити li ha ya
mip hu  повз li ha ya
mit hu  середній li ha ya
mak hu  слово li ha ya
man hu  думати li ha ya
mat hu  мати li ha ya
mun hu  чоловік li ha ya
mas hu  маса li ha ya
mut hu  Допоможіть li ha ya
mac hu  машина li ha ya
mul hu  повний li ha ya
kim hu  порівняти li ha ya
kiy hu  йти li ha ya
kip hu  здатний li ha ya
kin hu  головний li ha ya
kam hu  приїхати li ha ya
kis hu  висока li ha ya
kit hu  кінець li ha ya
kap hu  глава li ha ya
kan hu  знати li ha ya
kas hu  причина li ha ya
kaf hu  катод li ha ya
kuy hu  зростати li ha ya
kat hu  отримати li ha ya
kal hu  всі li ha ya
kum hu  торгівля li ha ya
kus hu  їжа li ha ya
kuc hu  невеликої li ha ya
yis hu  запис li ha ya
kul hu  мета li ha ya
kup hu  купити li ha ya
kun hu  червоний li ha ya
yik hu  заперечувати li ha ya
yit hu  чекати li ha ya
yum hu  кінцівку li ha ya
yat hu  читати li ha ya
yun hu  віднімати li ha ya
yak hu  деякі li ha ya
yuw hu  рік li ha ya
yac hu  ширина li ha ya
pis hu  помножити li ha ya
pit hu  білий li ha ya
pic hu  сеча li ha ya
yus hu  використання li ha ya
pay hu  ще-більше li ha ya
pam hu  рука li ha ya
yul hu  всі li ha ya
pas hu  проходити li ha ya
paw hu  місце li ha ya
pak hu  тіло li ha ya
pat hu  батько li ha ya
pus hu  мочитися li ha ya
pan hu  зустріч li ha ya
puk hu  поганий li ha ya
win hu  перемога li ha ya
pac hu  радість li ha ya
puy hu  дитина li ha ya
puc hu  порожній li ha ya
put hu  продавати li ha ya
pul hu  синій li ha ya
fut hu  майбутнє li ha ya
wan hu  любов li ha ya
wut hu  світло li ha ya
niy hu  необхідність li ha ya
wap hu  хвіст li ha ya
wat hu  говорити li ha ya
nay hu  видихати li ha ya
nim hu  ім'я li ha ya
nat hu  ніч li ha ya
nut hu  анод li ha ya
nit hu  чистий li ha ya
nal hu  голий li ha ya
nic hu  енергія li ha ya
sip hu  ковток li ha ya
nuy hu  новий li ha ya
sit hu  набір li ha ya
wul hu  великий li ha ya
sim hu  аналогічний li ha ya
nam hu  кількість li ha ya
saw hu  чорний li ha ya
sik hu  висота li ha ya
sil hu  да-легко li ha ya
sak hu  згодні li ha ya
nul hu  нуль li ha ya
suy hu  втратити li ha ya
sap hu  простий li ha ya
say hu  сказати li ha ya
sam hu  то-же-саме li ha ya
tim hu  команда li ha ya
tik hu  тримати li ha ya
san hu  себе li ha ya
sat hu  звук li ha ya
sup hu  платити li ha ya
tis hu  вдихати li ha ya
sut hu  розмір li ha ya
tiw hu  стіна li ha ya
tiy hu  день li ha ya
naw hu  Нині li ha ya
tip hu  почати li ha ya
til hu  низький li ha ya
tin hu  бачити li ha ya
tam hu  тема li ha ya
tak hu  додавати li ha ya
tuk hu  напій li ha ya
tay hu  покласти li ha ya
tal hu  галстук li ha ya
tan hu  дати li ha ya
tas hu  вибирати li ha ya
tuy hu  повторення li ha ya
tup hu  глибина li ha ya
tum hu  температура li ha ya
tap hu  торкнутися li ha ya
tuf hu  важко li ha ya
ton hu  тонна li ha ya
fin hu  жіноча-стать li ha ya
fit hu  відповідати li ha ya
lif hu  зліва li ha ya
tul hu  інструмент li ha ya
lik hu  електричного-заряду li ha ya
fam hu  сім'я li ha ya
lin hu  довжина li ha ya
ciy hu  зелений li ha ya
cif hu  поділ li ha ya
lis hu  жити li ha ya
cis hu  життя li ha ya
lit hu  mwak-test li ha ya
myut hu  імпорт li ha ya
cay hu  право li ha ya
cin hu  знак li ha ya
cim hu  почути li ha ya
cum hu  форма li ha ya
myit hu  запам'ятати li ha ya
myil hu  союзник li ha ya
cak hu  річ li ha ya
can hu  шанс li ha ya
myun hu  використовувати li ha ya
cal hu  крок li ha ya
myan hu  м'який li ha ya
kyim hu  гра li ha ya
mwut hu  чинити-опір li ha ya
myat hu  математичний li ha ya
kyip hu  одяг li ha ya
myul hu  моральний li ha ya
kwit hu  вага li ha ya
kyam hu  нести li ha ya
kyit hu  кожен li ha ya
myin hu  мріяти li ha ya
kyus hu  веселощі li ha ya
kyil hu  коло li ha ya
kyin hu  генеральний li ha ya
kyap hu  копія li ha ya
kwat hu  сильний li ha ya
kyup hu  група li ha ya
ksat hu  точна li ha ya
ksiy hu  експерт li ha ya
kyat hu  жорсткий li ha ya
ksit hu  Вихід li ha ya
ksil hu  кристал li ha ya
kyul hu  правило li ha ya
kwal hu  мову li ha ya
ksap hu  мотузка li ha ya
ksip hu  доступ li ha ya
ksam hu  темно li ha ya
ksin hu  контекст li ha ya
ksal hu  галактика li ha ya
ksan hu  організувати li ha ya
ksum hu  спілкуватися li ha ya
kliy hu  ясно li ha ya
klim hu  наука li ha ya
klin hu  електрон li ha ya
ksuf hu  описувати li ha ya
ktin hu  релігія li ha ya
kcat hu  вісім li ha ya
pyik hu  перерву li ha ya
ksut hu  збирати li ha ya
klum hu  колонка li ha ya
pyit hu  чотири li ha ya
klut hu  виключати li ha ya
klun hu  голод li ha ya
kfit hu  ефект li ha ya
ksul hu  школа li ha ya
klaw hu  сміх li ha ya
pyaw hu  пара li ha ya
kcil hu  вміння li ha ya
kfat hu  прикметник li ha ya
klas hu  клас li ha ya
kcut hu  безлад li ha ya
kcuf hu  достатньо li ha ya
kcun hu  пов'язаний li ha ya
klat hu  пункт li ha ya
kcim hu  хімічна li ha ya
klac hu  крім li ha ya
pyil hu  звернення li ha ya
kfin hu  конфиг li ha ya
pyan hu  поширення li ha ya
pyif hu  дієслово li ha ya
pyas hu  швидко li ha ya
pyin hu  досвід li ha ya
pyam hu  програма li ha ya
pyat hu  підказка li ha ya
pyum hu  займенник li ha ya
pyaf hu  виконувати li ha ya
pyun hu  птах li ha ya
pyal hu  паралельно li ha ya
pyac hu  дивуватися li ha ya
pyut hu  протон li ha ya
psil hu  заклинання li ha ya
pyul hu  кип'ятити li ha ya
pwas hu  відповідь li ha ya
pwil hu  змінна li ha ya
pwut hu  затвердити li ha ya
psin hu  спин li ha ya
psiy hu  тиск li ha ya
pyuf hu  доказ li ha ya
psit hu  швидкість li ha ya
pyuc hu  проект li ha ya
psan hu  простір li ha ya
psaf hu  відповісти li ha ya
psat hu  поверхню li ha ya
psal hu  вітрило li ha ya
nyip hu  дзеркало li ha ya
psut hu  обіцянку li ha ya
nyat hu  увійти-в li ha ya
plum hu  проблема li ha ya
plam hu  плазма li ha ya
pluy hu  популярний li ha ya
plin hu  літак li ha ya
nyul hu  рулон li ha ya
pfic hu  воліти li ha ya
plut hu  пилу li ha ya
plun hu  ймовірно li ha ya
syim hu  сім li ha ya
pfal hu  провал li ha ya
pcum hu  сподіватися li ha ya
syip hu  чистий li ha ya
pcit hu  цінувати li ha ya
pcil hu  спеціальний li ha ya
plan hu  план li ha ya
plat hu  планета li ha ya
syan hu  блакитний li ha ya
pfus hu  автобус li ha ya
psun hu  джерело li ha ya
swit hu  перемикач li ha ya
play hu  грати li ha ya
syiw hu  служити li ha ya
nlic hu  Англійська li ha ya
syic hu  дослідження li ha ya
syam hu  залишатися li ha ya
nyit hu  блок li ha ya
nyus hu  іонізувати li ha ya
slin hu  один li ha ya
nyut hu  нейтрон li ha ya
nyis hu  посилання li ha ya
syat hu  твердий li ha ya
tyik hu  розпад li ha ya
syut hu  підтримка li ha ya
syun hu  всесвіт li ha ya
swil hu  душа li ha ya
swat hu  вода li ha ya
swuy hu  питання li ha ya
swun hu  сон li ha ya
syit hu  послати li ha ya
slac hu  неправильно li ha ya
slat hu  сторона li ha ya
syak hu  прокинутися li ha ya
slof hu  словник li ha ya
slam hu  сублімувати li ha ya
tkun hu  Китайський li ha ya
tyip hu  знову li ha ya
tyap hu  намагатися li ha ya
tyaw hu  ідея li ha ya
tyas hu  кидати li ha ya
tyic hu  напрямок li ha ya
tkic hu  переклад-словник li ha ya
tyus hu  справа li ha ya
tyif hu  перевести li ha ya
tyim hu  тремтіти li ha ya
tyis hu  перехід li ha ya
tsiy hu  історія li ha ya
tsip hu  крок li ha ya
tyuc hu  вчити li ha ya
tyuk hu  об'єкт li ha ya
tyuf hu  інший li ha ya
tyil hu  холодний li ha ya
tyam hu  атом li ha ya
twal hu  Ласкаво-просимо li ha ya
twuf hu  два li ha ya
tyak hu  крик li ha ya
tyin hu  три li ha ya
tyan hu  рядок li ha ya
tyup hu  робот li ha ya
twis hu  вірно li ha ya
tsiw hu  супутникове li ha ya
tsim hu  разом li ha ya
tsic hu  випробування li ha ya
tsin hu  інструкція li ha ya
tsil hu  заслуговувати li ha ya
tsuy hu  сидіти li ha ya
tsak hu  атака li ha ya
tsan hu  студент li ha ya
tsam hu  мета li ha ya
tsay hu  зірка li ha ya
tsac hu  збільшення li ha ya
tsap hu  властивість li ha ya
tsum hu  дослідження li ha ya
tlas hu  блюдо li ha ya
tsal hu  стан li ha ya
tsaf hu  смак li ha ya
tsuk hu  магазин li ha ya
tsun hu  іменник li ha ya
tlak hu  прямокутник li ha ya
tsul hu  для-дорослих li ha ya
tlay hu  скласти li ha ya
tlik hu  електрику li ha ya
tlum hu  старий li ha ya
tlis hu  бажання li ha ya
tcap hu  прозорий li ha ya
slim hu  приклад li ha ya
tlun hu  потрійний-точкою li ha ya
tfan hu  переклад li ha ya
tfas hu  катастрофа li ha ya
tfim hu  тимчасовий li ha ya
tfun hu  довіру li ha ya
tfin hu  людина li ha ya
fwap hu  п'ять li ha ya
tfak hu  бруд li ha ya
tciy hu  зміна li ha ya
tlan hu  традиція li ha ya
flan hu  повінь li ha ya
tcik hu  перевіряти li ha ya
flat hu  квартира li ha ya
tcuk hu  трюк li ha ya
tcil hu  в'язниця li ha ya
tcum hu  приєднатися li ha ya
fyis hu  Офіційний li ha ya
tfus hu  пошкодження li ha ya
fyut hu  фрукти li ha ya
tcin hu  ланцюг li ha ya
tcuy hu  поза li ha ya
tcun hu  потужність li ha ya
tfal hu  файл li ha ya
tcan hu  дерево li ha ya
flay hu  літати li ha ya
fwil hu  сила li ha ya
fwas hu  фаза li ha ya
mink hu  розум li ha ya
flun hu  Будь-ласка li ha ya
fyas hu  фраза li ha ya
cyan hu  включати li ha ya
cwuy hu  догляд li ha ya
cyin hu  вчитися li ha ya
clan hu  походження li ha ya
clin hu  ставлення li ha ya
flit hu  флейта li ha ya
tlin hu  порядковий li ha ya
mayn hu  гармонія li ha ya
flut hu  квітка li ha ya
mant hu  пурпурний li ha ya
miyn hu  неповнолітній li ha ya
miyt hu  знати li ha ya
fluc hu  текти li ha ya
clut hu  сверхкритической-рідини li ha ya
clum hu  вирок li ha ya
miyk hu  послати li ha ya
mist hu  вимірювати li ha ya
mank hu  мозок li ha ya
mayc hu  зображення li ha ya
milt hu  розплав li ha ya
musk hu  музика li ha ya
malp hu  нагорода li ha ya
mayp hu  карта li ha ya
mans hu  людина li ha ya
mayt hu  мнимого-блок li ha ya
mast hu  питання li ha ya
kiyn hu  один li ha ya
muyn hu  дурень li ha ya
muyp hu  поліпшувати li ha ya
kint hu  конвертувати li ha ya
muyk hu  основний li ha ya
muys hu  емоція li ha ya
must hu  найбільше li ha ya
munk hu  можливий li ha ya
munt hu  настрій li ha ya
muft hu  померти li ha ya
mint hu  метод li ha ya
muyt hu  союзник li ha ya
malt hu  матеріал li ha ya
mack hu  уявити li ha ya
kist hu  замінювати li ha ya
miwk hu  людина li ha ya
kiyp hu  папір li ha ya
kant hu  постійна li ha ya
kasp hu  улов li ha ya
kast hu  створити li ha ya
mult hu  по-модулю li ha ya
kift hu  прощати li ha ya
kisp hu  експонента li ha ya
kays hu  граматична-випадку li ha ya
kayn hu  потік-струму li ha ya
kanp hu  підключати li ha ya
kaws hu  газ li ha ya
kimt hu  вішати li ha ya
kump hu  комплекс li ha ya
kunp hu  закрити li ha ya
kumt hu  команда li ha ya
kamt hu  граматика li ha ya
yinp hu  повернення li ha ya
kuym hu  загальний li ha ya
yilk hu  жовтий li ha ya
yawt hu  шкоду li ha ya
kuct hu  злочин li ha ya
kuyt hu  критичної-точки li ha ya
kuls hu  жорстокий li ha ya
kusp hu  колапс li ha ya
kust hu  постійна li ha ya
yisk hu  багаті li ha ya
yist hu  експорт li ha ya
yimt hu  ритм li ha ya
kuwt hu  код li ha ya
